1 2 3 4 5 6
1 2 3 4 5 6
1 2 3 4 5 6
1 2 3 4 5 6
7 8 9 10 11 12
7 8 9 10 11 12
7 8 9 10 11 12
13 9 14 15 16 17
13 9 14 15 16 17
18 19 20 21 22 3
18 19 20 21 22 3
9 23 15 20 4 24
9 23 15 20 4 24
18 25 26 27 28 2
18 25 26 27 28 2
29 30 31 32 23 16
29 30 31 32 23 16
18 26 33 34 22 12
18 26 33 34 22 12
35 36 1 26 27 37
35 36 1 26 27 37
25 19 38 36 32 4
25 19 38 36 32 4
39 40 21 10 24 37
39 40 21 10 24 37
18 40 8 22 5 12
18 40 8 22 5 12
35 18 1 20 29 6
35 18 1 20 29 6
41 25 1 9 27 16
41 25 1 9 27 16
20 42 43 30 24 22
20 42 43 30 24 22
25 13 42 4 10 2
25 13 42 4 10 2
18 29 33 13 8 44
18 29 33 13 8 44
18 29 42 15 34 2
18 29 42 15 34 2
49 50 51 52 53 54
49 50 51 52 53 54
55 56 57 58 59 60
55 56 57 58 59 60
61 62 63 64 65 66
61 62 63 64 65 66
61 55 67 65 52 60
61 55 67 65 52 60
61 68 53 69 56 59
61 68 53 69 56 59
70 71 50 55 66 72
70 71 50 55 66 72
73 61 63 57 58 54
73 61 63 57 58 54
51 68 63 52 74 59
51 68 63 52 74 59
61 51 65 74 75 57
61 51 65 74 75 57
50 76 77 78 56 79
50 76 77 78 56 79
67 71 52 54 69 72
67 71 52 54 69 72
67 52 80 54 56 59
67 52 80 54 56 59
81 76 52 75 58 60
81 76 52 75 58 60
50 57 52 56 59 79
50 57 52 56 59 79
61 70 71 82 64 58
61 70 71 82 64 58
82 74 52 69 56 59
82 74 52 69 56 59
61 49 83 50 57 59
61 49 83 50 57 59
61 80 54 57 56 72
61 80 54 57 56 72
83 50 62 84 69 58
83 50 62 84 69 58
81 55 53 66 73 60
81 55 53 66 73 60
41 14 30 45 31 21
40 43 31 17 28 39
35 23 16 34 27 3
35 39 40 34 5 44
35 46 10 24 47 44
7 21 20 23 12 37
