Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Munich,1972,100m,Backstroke,0,Men,GDR,Roland Matthes,56.580,2
Munich,1972,100m,Backstroke,0,Men,USA,Michael Eugene Stamm,57.700,3
Munich,1972,100m,Backstroke,0,Men,USA,John Joseph Murphy,58.350,4
Munich,1972,100m,Backstroke,0,Men,USA,Mitchell Ivey,58.480,4
Munich,1972,100m,Backstroke,0,Men,URS,Igor Grivennikov,59.500,4
Munich,1972,100m,Backstroke,0,Men,GDR,Lutz Wanja,59.800,4
Munich,1972,100m,Backstroke,0,Men,GDR,Jürgen Krüger,59.930,4
Munich,1972,100m,Backstroke,0,Men,JPN,Tadashi Honda,00:01:00.410000,1
Munich,1972,100m,Backstroke,0,Women,USA,Melissa Louise Belote,00:01:05.780000,1
Munich,1972,100m,Backstroke,0,Women,HUN,Andrea Gyarmati,00:01:06.260000,2
Munich,1972,100m,Backstroke,0,Women,USA,Susanne Jean Atwood,00:01:06.340000,3
Munich,1972,100m,Backstroke,0,Women,USA,Karen Patricia Moe-Thornton,00:01:06.690000,4
Munich,1972,100m,Backstroke,0,Women,CAN,Wendy Cook-Hogg,00:01:06.700000,4
Munich,1972,100m,Backstroke,0,Women,NED,Enith Brigitha,00:01:06.820000,4
Munich,1972,100m,Backstroke,0,Women,GDR,Christine Herbst,00:01:07.270000,4
Munich,1972,100m,Backstroke,0,Women,FRG,Silke Pielen,00:01:07.360000,4
Munich,1972,100m,Breaststroke,0,Men,JPN,Nobutaka Taguchi,00:01:04.940000,1
Munich,1972,100m,Breaststroke,0,Men,USA,Thomas Edwin Bruce,00:01:05.430000,2
Munich,1972,100m,Breaststroke,0,Men,USA,John Frederick Hencken,00:01:05.610000,3
Munich,1972,100m,Breaststroke,0,Men,USA,Mark Webster Chatfield,00:01:06.010000,4
Munich,1972,100m,Breaststroke,0,Men,FRG,Walter Kusch,00:01:06.230000,4
Munich,1972,100m,Breaststroke,0,Men,BRA,Jose Sylvio Fiolo,00:01:06.240000,4
Munich,1972,100m,Breaststroke,0,Men,URS,Nikolai Pankin,00:01:06.360000,4
Munich,1972,100m,Breaststroke,0,Men,GBR,David Andrew Wilkie,00:01:06.520000,4
Munich,1972,100m,Breaststroke,0,Women,USA,Catherine L. Carr,00:01:13.580000,1
Munich,1972,100m,Breaststroke,0,Women,URS,Halyna Prozumenshchykova-Stepanova,00:01:14.990000,2
Munich,1972,100m,Breaststroke,0,Women,AUS,Beverley Joy Whitfield,00:01:15.730000,3
Munich,1972,100m,Breaststroke,0,Women,HUN,Agnes Kaczander-Kiss,00:01:16.260000,4
Munich,1972,100m,Breaststroke,0,Women,USA,Judith Ellen Melick,00:01:16.340000,4
Munich,1972,100m,Breaststroke,0,Women,FRG,Verena (Vreni) Eberle,00:01:17.160000,4
Munich,1972,100m,Breaststroke,0,Women,SWE,Britt-Marie Smedh,00:01:17.190000,4
Munich,1972,100m,Breaststroke,0,Women,GBR,Dorothy Elizabeth Harrison,00:01:17.490000,4
Munich,1972,100m,Butterfly,0,Men,USA,Mark Spitz,54.270,1
Munich,1972,100m,Butterfly,0,Men,CAN,Bruce Richard Robertson,55.560,2
Munich,1972,100m,Butterfly,0,Men,USA,Jerry Alan Heidenreich,55.740,3
Munich,1972,100m,Butterfly,0,Men,GDR,Roland Matthes,55.870,4
Munich,1972,100m,Butterfly,0,Men,USA,David Holmes Edgar,56.110,4
Munich,1972,100m,Butterfly,0,Men,CAN,Byron Mac Donald,57.270,4
Munich,1972,100m,Butterfly,0,Men,GDR,Hartmut Flöckner,57.400,4
Munich,1972,100m,Butterfly,0,Men,AUS,Neil Rogers,57.900,4
Munich,1972,100m,Butterfly,0,Women,JPN,Mayumi Aoki,00:01:03.340000,1
Munich,1972,100m,Butterfly,0,Women,GDR,Roswitha Beier,00:01:03.610000,2
Munich,1972,100m,Butterfly,0,Women,HUN,Andrea Gyarmati,00:01:03.730000,3
Munich,1972,100m,Butterfly,0,Women,USA,Deena Diana Deardruff,00:01:03.950000,4
Munich,1972,100m,Butterfly,0,Women,USA,Dana Jayne Shrader,00:01:03.980000,4
Munich,1972,100m,Butterfly,0,Women,USA,Eleanor Suzanne Daniel,00:01:04.080000,4
Munich,1972,100m,Butterfly,0,Women,FRG,Gudrun Beckmann,00:01:04.150000,4
Munich,1972,100m,Butterfly,0,Women,JPN,Noriko Asano,00:01:04.250000,4
Munich,1972,100m,Freestyle,0,Men,USA,Mark Spitz,51.220,1
Munich,1972,100m,Freestyle,0,Men,USA,Jerry Alan Heidenreich,51.650,2
Munich,1972,100m,Freestyle,0,Men,URS,Vladimir Bure,51.770,3
Munich,1972,100m,Freestyle,0,Men,USA,John Joseph Murphy,52.080,4
Munich,1972,100m,Freestyle,0,Men,AUS,Michael Vincent Wenden,52.410,4
Munich,1972,100m,Freestyle,0,Men,URS,Igor Grivennikov,52.440,4
Munich,1972,100m,Freestyle,0,Men,FRA,Michel Rousseau,52.900,4
Munich,1972,100m,Freestyle,0,Men,FRG,Klaus Steinbach,52.920,4
Munich,1972,100m,Freestyle,0,Women,USA,Alexandra Lynn Neilson,58.590,3
Munich,1972,100m,Freestyle,0,Women,USA,Shirley Farber Babashoff,59.020,4
Munich,1972,100m,Freestyle,0,Women,AUS,Shane Gould,59.060,4
Munich,1972,100m,Freestyle,0,Women,GDR,Gabriele Wetzko,59.210,4
Munich,1972,100m,Freestyle,0,Women,FRG,Heidemarie Reineck,59.730,4
Munich,1972,100m,Freestyle,0,Women,GDR,Andrea Eife,59.910,4
Munich,1972,100m,Freestyle,0,Women,HUN,Magdolna Patoh,00:01:00.020000,1
Munich,1972,100m,Freestyle,0,Women,NED,Enith Brigitha,00:01:00.090000,2
Munich,1972,1500m,Freestyle,0,Men,USA,Mike Burton,00:15:52.580000,1
Munich,1972,1500m,Freestyle,0,Men,AUS,Graham Claud Windeatt,00:15:58.480000,2
Munich,1972,1500m,Freestyle,0,Men,USA,Douglas Dale Northway,00:16:09.250000,3
