621: 1,2,3
555: 1,2
452: 4
360: 5
288: 1
258: 4,5
246: 2,1
240: 1,2,4
234: 6
202: 5,4
194: 2,1,3
187: 4,5,7
161: 1,2,8
159: 4,8
157: 1,2,6
154: 8
150: 1,2,5
149: 6,8
131: 4,5,8
129: 5,4,7
127: 4,8,5
126: 6,8,3
121: 1,4,2
118: 4,8,6
117: 1,3,2
116: 2
112: 4,1,2
108: 6,8,4
108: 4,1
104: 4,8,1
103: 3,1,2
100: 4,8,7
99: 1,2,3,6
92: 4,5,1
91: 8,4
90: 6,3,8
89: 8,4,6
88: 4,1,8
85: 6,8,7
83: 8,6,3
83: 1,3
83: 3
81: 5,4,8
80: 1,2,3,8
80: 2,1,4
80: 4,7
79: 8,6
78: 1,4,8
78: 1,4
74: 6,3
73: 4,1,5
72: 4,6,8
68: 6,4,8
67: 4,7,8
65: 4,6
62: 8,6,4
61: 1,3,6
61: 8,4,7
60: 8,4,1
60: 1,8,2
59: 5,4,1
57: 1,3,8
57: 2,1,8
56: 3,6,8
56: 1,6,2
56: 3,6
56: 1,8
55: 1,2,3,4
54: 8,4,5
53: 1,2,7
53: 8,6,7
52: 1,6
51: 4,2,1
51: 3,1
49: 6,1
48: 4,7,5
48: 1,8,3
48: 6,4
47: 1,6,8
47: 5,1,2
46: 1,4,5
46: 1,5,2
46: 4,5,6
46: 1,8,6
45: 1,2,3,6,8
45: 1,2,4,3
45: 7
44: 6,8,3,4
44: 6,1,8
44: 1,8,4
43: 6,8,1
43: 2,1,6
42: 6,3,1
41: 1,2,8,3
41: 4,1,3
41: 3,8,6
41: 8,4,3
41: 4,5,2
41: 1,5
40: 1,6,3
40: 3,1,6
39: 3,6,1
39: 1,3,4
39: 8,3,6
39: 2,1,5
38: 4,1,6
37: 1,2,4,5
37: 6,8,3,7
37: 8,7
36: 1,2,8,6
35: 1,2,3,8,6
35: 8,6,4,7
35: 8,4,6,7
35: 5,7,4
35: 5,2,1
35: 8,1,6
35: 4,8,3
34: 4,5,8,7
34: 1,2,3,5
33: 1,2,6,8
33: 1,3,2,6
33: 8,1
32: 1,2,4,8
32: 6,8,3,1
32: 6,1,2
32: 5,8,4
32: 5,4,2
32: 5,1
31: 1,4,3
31: 1,4,6
31: 8,6,1
31: 6,7,8
31: 4,3
30: 1,2,3,7
30: 6,8,4,7
30: 3,2,1
30: 8,1,4
30: 4,2
29: 6,3,8,7
29: 6,1,3
29: 4,1,7
29: 4,6,5
29: 1,8,5
28: 6,8,4,3
28: 4,8,7,6
28: 1,2,6,3
28: 4,5,9
28: 3,8
28: 6,7
28: 5,2
27: 8,6,4,3
27: 4,8,7,5
27: 4,6,7
27: 5,8
26: 8,4,6,3
26: 1,2,8,4
26: 4,8,5,7
26: 8,1,2
26: 3,1,8
26: 1,5,4
26: 5,7
25: 4,5,7,8
25: 4,8,6,7
25: 1,2,5,4
25: 3,1,2,6
25: 2,1,7
24: 2,4,1
24: 4,2,8
23: 6,4,8,7
23: 6,8,7,4
23: 4,8,3,6
23: 4,3,1
23: 5,6
23: 8,5
22: 6,4,8,3
22: 1,8,3,6
22: 1,4,2,5
22: 5,4,7,8
22: 2,1,3,6
22: 2,1,3,8
22: 8,4,7,6
22: 4,1,2,5
22: 4,3,8
22: 4,6,1
22: 2,3
21: 5,4,8,7
21: 8,7,4
21: 8,6,5
21: 3,7
