# UNIQUE PLAYERS: 195
5192: 8,14,66
4246: 60,81,24
3823: 60,24,81
3574: 66,8,14
2784: 8,66,14
1603: 93,133,66
1503: 14,8,66
1476: 34,71,128
1463: 34,67,57
1261: 71,34,128
1025: 90,77,100
961: 81,60,24
926: 24,60,81
785: 30,77,188
784: 66,14,8
760: 137,17,102
753: 66,27,11
720: 119,81,24
680: 104,86,110
674: 64,15,45
631: 52,53,54
621: 39,115,102
611: 11,27,66
609: 34,57,67
600: 93,66,133
599: 90,91,92
589: 141,3,124
587: 129,48,39
581: 64,45,15
569: 30,188,77
539: 39,102,115
527: 90,100,77
507: 115,39,102
503: 137,102,17
491: 71,22,56,49
489: 77,90,100
487: 66,11,27
482: 141,160,187
474: 45,64,15
473: 34,128,71
464: 89,15,49
440: 115,102,39
440: 93,37,168
438: 88,91,20
426: 71,72,73
411: 180,61,127
407: 67,73,4
407: 88,2,178
406: 85,86,87
403: 71,73,72
399: 25,26,27
398: 12,109,74
397: 71,56,22,49
396: 43,47,50
396: 37,93,168
388: 69,44,191
383: 77,54,11
382: 89,49,15
381: 134,33,135
373: 71,4,84
365: 88,178,2
356: 93,168,37
355: 25,64,101
355: 72,14,11
354: 15,64,45
352: 86,104,110
350: 84,24,28
347: 90,129,95
345: 103,7,173
343: 66,155,156
341: 60,140,132
331: 5,6,7
331: 71,128,34
322: 91,90,92
319: 71,74,78
319: 134,135,33
316: 25,101,64
316: 77,30,188
315: 16,17,18
315: 71,84,4
315: 102,39,115
315: 27,11,66
313: 11,66,27
309: 77,100,90
307: 119,24,81
303: 36,114,45
303: 141,124,3
302: 114,36,45
300: 97,65,43
298: 33,64,157
296: 129,90,95
290: 12,31,133
289: 66,93,133
286: 67,34,57
285: 147,79,102
284: 48,39,129
283: 188,30,77
282: 102,115,39
279: 71,47,123,49
271: 15,89,49
269: 97,43,65
269: 175,31,176
268: 133,93,66
267: 49,89,15
264: 190,158,124
263: 67,4,73
263: 143,71,75
261: 24,84,28
258: 77,11,54
254: 111,14,27
252: 71,137,123,81
251: 39,48,129
250: 48,129,39
249: 53,52,54
249: 71,143,75
249: 34,90,147
247: 81,119,24
246: 96,53,7
246: 103,145,146
245: 93,94,95
244: 14,66,8
242: 168,93,37
240: 44,69,191
236: 47,43,50
236: 104,139,79
235: 71,193,63
234: 6,5,7
234: 90,92,91
229: 27,66,11
228: 141,66,64,28
225: 112,162,149
225: 104,163,39
225: 34,182,56
224: 88,47,39,28
223: 69,191,44
222: 71,22,49,56
220: 66,141,64,28
219: 45,15,64
216: 149,150,151
216: 81,24,60
214: 25,52,53
213: 109,12,74
213: 67,181,125
212: 112,149,162
211: 159,160,15
210: 72,11,14
208: 25,53,52
207: 188,77,30
206: 53,96,7
206: 60,132,140
205: 7,103,173
203: 33,157,64
200: 147,102,79
200: 104,39,163
199: 34,130,131
199: 162,149,112
198: 150,149,151
197: 25,27,26
197: 112,142,59
197: 103,173,7
195: 52,58,59
194: 12,74,109
191: 179,92,26
190: 86,85,87
189: 53,54,52
189: 104,79,139
186: 67,178,95
185: 71,31,158,15
184: 65,189,151
182: 73,67,4
181: 17,137,102
180: 34,147,90
180: 24,28,84
179: 6,24,194
177: 111,27,14
175: 24,81,60
174: 14,28,29
174: 152,153,56
172: 160,159,15
172: 172,7,24
172: 137,8,33,24
171: 112,59,142
171: 66,156,155
171: 104,195,116
170: 104,100,14,11
170: 31,12,133
169: 141,64,28,66
169: 102,137,17
167: 137,138,49,66
165: 66,82,53,49
165: 38,56,127,14
163: 104,110,86
163: 180,127,61
162: 28,14,29
162: 172,24,7
162: 190,124,158
159: 31,175,176
158: 7,6,5
158: 141,106,19
158: 55,77,174
157: 57,116,117
157: 91,88,20
157: 166,82,167
156: 159,15,160
155: 33,134,135
155: 65,151,189
154: 36,45,114
154: 47,50,43
154: 59,171,11
154: 44,191,69
152: 100,77,90
152: 71,31,15,158
152: 137,8,24,33
151: 129,39,48
151: 157,33,64
150: 43,97,65
150: 112,36,81,11
150: 77,188,30
149: 34,88,125,126
149: 164,22,56
149: 154,31,177
149: 24,6,194
146: 38,127,14,56
146: 34,43,160,33
145: 3,141,124
144: 160,141,187
143: 64,33,157
142: 26,7,68
142: 34,53,32,102
142: 11,14,72
140: 27,111,14
140: 57,34,67
140: 88,20,91
139: 100,90,77
139: 11,77,54
139: 12,133,31
139: 43,86,101,49
138: 54,77,11
138: 56,71,22,49
137: 14,111,27
137: 67,57,34
137: 38,14,127,56
137: 77,55,174
136: 34,56,182
136: 141,185,125
135: 6,7,5
135: 4,67,73
134: 85,87,86
134: 57,67,34
134: 173,103,7
132: 53,7,96
130: 19,4,20
130: 149,162,112
128: 12,13,14,15
128: 168,37,93
127: 112,81,36,11
127: 112,93,121,24
127: 141,19,106
127: 102,17,137
126: 12,107,108
126: 114,45,36
126: 90,95,129
126: 37,168,93
126: 8,137,33,24
125: 4,71,84
125: 49,15,89
125: 43,50,47
125: 71,123,137,81
125: 166,167,82
124: 139,104,79
124: 153,152,56
123: 5,7,6
123: 98,14,99
122: 1,2,3,4
122: 15,49,89
122: 155,66,156
122: 14,72,11
122: 71,141,65,102
121: 91,73,144
121: 55,174,77
120: 52,59,58
120: 34,5,61,80
120: 17,102,137
119: 74,109,12
119: 179,26,92
118: 66,137,138,49
117: 74,12,109
116: 86,110,104
116: 38,136,115
115: 26,68,7
115: 150,53,74,81
115: 154,35,155
113: 34,69,24,70
113: 15,45,64
113: 12,108,107
113: 71,9,113,46
113: 52,53,25
113: 88,79,125,15
113: 131,183,184
112: 141,187,160
111: 41,42,39,14
111: 7,68,26
111: 7,26,68
111: 94,93,95
111: 112,36,11,81
111: 157,64,33
111: 164,56,22
111: 8,137,24,33
110: 66,53,82,49
110: 71,137,81,123
110: 52,137,121,56
110: 71,65,141,102
108: 91,92,90
108: 84,28,24
108: 86,43,101,49
107: 67,125,181
107: 71,123,47,49
107: 131,184,183
106: 14,29,28
106: 12,105,106
106: 41,43,8,77
105: 24,119,81
105: 162,112,149
105: 141,125,185
104: 12,13,15,14
104: 173,7,103
104: 112,137,75,15
104: 41,8,43,77
103: 34,35,36,7
103: 21,31,67,24
103: 104,42,56,49
103: 137,49,138,66
103: 9,138,61,81
103: 34,104,169,170
103: 178,88,2
103: 1,30,47,102
102: 109,74,12
102: 106,141,19
102: 9,32,92,81
101: 24,102,122,66
101: 71,56,49,22
101: 2,88,178
101: 183,184,131
100: 72,71,73
100: 56,10,14,81
100: 134,12,26,66
100: 30,47,1,102
100: 183,131,184
100: 11,171,59
99: 77,36,83
99: 112,9,127,100
98: 141,64,66,28
98: 38,9,148
97: 19,20,4
97: 112,1,86,61
97: 41,88,137,123
97: 71,63,193
97: 150,55,92,11
96: 104,100,11,14
96: 112,81,2,161
96: 34,104,5,95
96: 60,165,103,49
95: 1,65,59,66
95: 116,57,117
95: 34,88,126,125
95: 38,56,14,127
95: 1,47,30,102
94: 34,36,35,7
94: 60,30,33,27
94: 147,34,90
94: 112,39,95,11
94: 91,144,73
94: 85,36,101,45
94: 34,104,170,169
94: 31,154,177
93: 52,54,53
93: 5,63,64
93: 55,120,21
93: 11,72,14
92: 60,48,33,61
92: 62,36,43
92: 34,69,70,24
92: 88,39,47,28
92: 88,47,28,39
92: 98,99,14
92: 38,127,56,14
92: 64,157,33
92: 85,101,36,45
92: 34,43,33,160
92: 56,164,22
92: 30,1,47,102
91: 17,16,18
91: 74,71,78
91: 1,86,112,61
91: 38,115,136
91: 61,127,180
90: 36,50,51
90: 65,97,43
90: 74,4,14,28
90: 112,11,36,81
90: 46,123,92,124
89: 8,9,10,11
89: 81,24,119
89: 112,9,100,127
89: 140,60,132
89: 112,2,81,161
89: 7,173,103
88: 60,48,61,33
88: 21,55,120
88: 34,131,130
88: 31,133,12
88: 104,116,195
87: 16,18,17
87: 92,90,91
87: 93,112,121,24
87: 137,71,123,81
87: 9,38,148
87: 112,39,11,95
87: 73,91,144
87: 71,49,22,56
87: 154,177,31
86: 90,34,147
86: 21,43,40,26
86: 21,43,26,40
86: 14,11,72
86: 137,33,8,24
86: 158,190,124
85: 12,106,105
84: 47,48,24,49
84: 1,59,65,66
84: 1,52,67,56
84: 104,14,100,11
84: 118,37,92,26
84: 128,34,71
84: 149,112,162
84: 34,33,160,43
84: 108,2,28,11
83: 21,22,23,24
83: 79,147,102
83: 34,53,102,32
83: 30,92,132,11
82: 31,115,100,28
81: 41,42,14,39
81: 1,112,86,61
81: 139,79,104
81: 35,154,155
80: 74,28,14,4
80: 128,71,34
80: 138,137,49,66
80: 56,38,127,14
80: 71,158,31,15
80: 34,5,104,95
80: 21,8,67,102
80: 41,8,77,43
79: 9,8,10,11
79: 30,60,33,27
79: 136,115,38
79: 171,59,11
79: 108,2,11,28
78: 36,51,50
78: 107,12,108
78: 141,28,64,66
78: 71,75,143
78: 149,151,150
78: 118,69,2,26
77: 4,19,20
77: 137,66,138,49
77: 103,146,145
77: 73,144,91
77: 28,24,84
76: 71,78,74
76: 56,22,164
76: 34,112,47,9
76: 195,104,116
75: 62,43,36
75: 21,67,31,24
75: 9,74,75,15
75: 15,159,160
75: 71,65,102,141
75: 34,85,77,43
74: 43,65,97
74: 101,64,25
74: 163,104,39
74: 22,164,56
74: 88,79,15,125
73: 5,64,63
73: 47,88,39,28
73: 150,151,149
73: 71,82,10,28
73: 8,33,137,24
72: 51,36,50
72: 90,57,45,66
72: 50,47,43
72: 71,81,137,123
72: 34,90,77,65
72: 52,25,53
72: 41,74,138,39
72: 8,24,137,33
71: 21,23,22,24
71: 104,14,11,100
71: 45,36,114
71: 88,34,125,126
71: 34,88,21,132
71: 38,14,56,127
71: 155,35,154
71: 34,90,65,77
71: 112,137,15,75
71: 71,47,49,123
71: 178,67,95
70: 74,4,28,14
70: 24,81,119
70: 102,24,122,66
70: 124,141,3
69: 52,1,67,56
69: 4,74,14,28
69: 79,104,139
69: 30,103,144,14
69: 102,79,147
69: 55,150,92,11
68: 60,30,27,33
68: 77,83,36
68: 74,14,28,4
68: 53,36,102,103
68: 55,21,120
68: 39,129,48
68: 76,67,109
68: 132,60,140
68: 56,127,14,38
68: 71,141,102,65
67: 60,33,48,61
67: 76,109,67
67: 138,49,137,66
67: 53,150,74,81
67: 154,155,35
67: 38,37,77,186
67: 6,194,24
66: 43,36,62
66: 34,61,5,80
66: 34,88,132,21
66: 136,38,115
66: 56,127,38,14
66: 53,52,25
66: 41,69,171,102
65: 1,3,2,4
65: 71,113,9,46
65: 52,121,137,56
65: 31,71,158,15
65: 106,19,141
65: 34,160,43,33
65: 61,180,127
64: 7,5,6
64: 50,36,51
64: 63,64,5
64: 83,77,36
64: 104,56,42,49
64: 85,37,66,82
64: 130,34,131
64: 133,12,31
64: 141,66,28,64
64: 9,61,138,81
64: 22,71,56,49
64: 77,174,55
64: 181,67,125
63: 28,29,14
63: 7,53,96
63: 85,37,82,66
63: 64,141,28,66
63: 69,118,2,26
63: 8,67,102,21
63: 71,102,65,141
63: 47,71,123,49
62: 30,31,32,33
62: 12,55,56,57
62: 12,55,57,56
62: 63,5,64
62: 74,9,75,15
62: 12,76,56,46
62: 109,76,67
62: 66,141,28,64
62: 3,124,141
62: 160,15,159
62: 34,33,43,160
62: 134,26,12,66
62: 71,28,10,82
62: 141,71,65,102
62: 191,44,69
61: 56,14,10,81
61: 12,76,46,56
61: 57,117,116
61: 33,135,134
61: 142,59,112
61: 21,65,86,4
61: 112,2,161,81
61: 71,10,28,82
61: 171,11,59
61: 21,69,74,151
60: 26,25,27
60: 36,77,83
60: 84,71,4
60: 112,95,39,11
60: 150,74,53,81
60: 35,155,154
60: 64,101,25
60: 34,65,90,77
60: 39,104,163
60: 12,8,32,102
59: 37,38,39,40
59: 51,50,36
59: 43,62,36
59: 112,93,24,121
59: 37,85,82,66
59: 109,67,76
59: 79,102,147
59: 56,24,135,81
59: 1,47,102,30
59: 189,65,151
58: 22,23,24,21
58: 30,60,27,33
58: 104,11,14,100
58: 118,37,26,92
58: 112,86,1,61
58: 112,11,39,95
58: 28,84,24
58: 56,71,49,22
58: 21,67,8,102
58: 67,95,178
58: 59,11,171
58: 193,71,63
57: 43,44,45,46
57: 65,43,97
57: 21,120,55
57: 137,138,66,49
57: 43,21,40,26
57: 34,77,90,65
57: 127,61,180
57: 30,132,92,11
56: 27,14,111
56: 24,13,101,28
56: 56,38,14,127
56: 38,148,9
56: 37,12,138,102
56: 41,69,102,171
56: 43,86,49,101
56: 52,1,55,101
56: 34,85,43,77
55: 9,74,15,75
55: 12,46,76,56
55: 133,31,12
55: 147,90,34
55: 102,147,79
55: 41,74,39,138
55: 8,77,41,43
55: 150,55,11,92
55: 56,28,151,81
54: 60,33,30,27
54: 82,66,53,49
54: 53,49,82,66
54: 30,103,14,144
54: 34,160,33,43
54: 104,34,169,170
54: 141,65,71,102
54: 1,52,55,101
53: 38,37,39,40
53: 50,51,36
53: 59,52,58
53: 53,66,82,49
53: 99,98,14
53: 36,53,102,103
53: 105,12,106
53: 71,9,46,113
53: 55,5,24,82
53: 148,38,9
53: 1,55,52,101
52: 12,57,55,56
52: 53,82,66,49
52: 4,73,67
52: 14,98,99
52: 9,148,38
52: 1,53,138,104
52: 104,34,5,95
52: 33,8,137,24
52: 9,92,32,81
51: 38,31,76,77
51: 53,79,39,7
51: 14,27,111
51: 112,81,11,36
51: 59,112,142
51: 137,71,81,123
51: 52,137,56,121
51: 148,9,38
51: 41,137,88,123
51: 34,32,53,102
51: 2,178,88
51: 1,55,101,52
51: 41,37,2,160
51: 37,38,77,186
51: 66,2,49,192
51: 2,49,192,66
50: 34,36,7,35
50: 58,52,59
50: 106,105,12
50: 59,142,112
50: 104,34,170,169
50: 86,101,43,49
50: 191,69,44
50: 112,34,47,9
49: 1,67,52,56
49: 56,10,81,14
49: 82,53,66,49
49: 53,36,103,102
49: 104,11,100,14
49: 37,85,66,82
49: 11,54,77
49: 66,90,45,57
49: 57,90,45,66
49: 88,34,132,21
49: 67,76,109
49: 65,86,21,4
49: 65,86,4,21
49: 137,112,75,15
49: 11,59,171
48: 37,39,38,40
48: 53,49,66,82
48: 74,14,4,28
48: 66,90,57,45
48: 142,112,59
48: 137,52,121,56
48: 145,103,146
48: 31,71,15,158
48: 85,36,45,101
48: 43,34,160,33
48: 67,8,102,21
48: 8,41,77,43
47: 73,71,72
47: 5,39,14,27
47: 64,28,141,66
47: 30,144,103,14
47: 56,153,152
47: 43,34,33,160
47: 165,60,103,49
47: 12,134,26,66
47: 71,49,56,22
47: 12,8,102,32
47: 41,43,77,8
47: 30,92,11,132
47: 21,69,151,74
46: 9,8,11,10
46: 41,39,42,14
46: 58,59,52
46: 74,9,15,75
46: 96,7,53
46: 67,109,76
46: 124,3,141
46: 13,24,101,28
46: 143,75,71
46: 155,154,35
46: 12,37,138,102
46: 12,37,102,138
46: 8,77,43,41
45: 4,84,71
45: 84,4,71
45: 71,46,9,113
45: 46,92,123,124
45: 9,112,127,100
45: 55,5,82,24
45: 152,56,153
45: 41,88,123,137
45: 74,150,53,81
45: 21,86,4,65
45: 66,133,93
45: 22,56,164
45: 22,71,49,56
45: 71,102,141,65
45: 137,24,8,33
45: 184,183,131
45: 95,67,178
45: 124,190,158
44: 48,47,24,49
44: 1,67,56,52
44: 73,4,67
44: 87,85,86
44: 92,91,90
44: 36,53,103,102
44: 76,12,56,46
44: 39,14,5,27
44: 55,24,5,82
44: 34,21,88,132
44: 135,134,33
44: 153,56,152
44: 129,95,90
44: 86,65,4,21
44: 85,101,45,36
44: 56,135,24,81
44: 69,41,171,102
44: 65,71,141,102
44: 33,137,8,24
44: 9,32,81,92
43: 21,23,24,22
43: 38,37,40,39
43: 53,82,49,66
43: 86,87,85
43: 36,112,81,11
43: 1,86,61,112
43: 120,55,21
43: 71,81,123,137
43: 7,24,172
43: 43,101,86,49
42: 26,27,25
42: 60,61,48,33
42: 64,63,5
42: 67,31,24,21
42: 34,5,80,61
42: 44,101,14,7
42: 74,53,150,81
42: 9,138,81,61
42: 60,165,49,103
42: 88,125,79,15
42: 31,177,154
42: 34,43,85,77
42: 37,77,186,38
42: 160,187,141
42: 34,47,112,9
41: 36,43,62
41: 64,5,63
41: 34,24,69,70
41: 107,108,12
41: 112,100,9,127
41: 9,112,100,127
41: 28,64,141,66
41: 46,79,101,103
41: 71,158,15,31
41: 19,141,106
41: 144,91,73
41: 1,53,104,138
41: 34,170,104,169
41: 92,179,26
41: 1,30,102,47
41: 85,34,77,43
41: 41,37,160,2
41: 37,41,2,160
40: 47,48,49,24
40: 68,7,26
40: 9,75,74,15
40: 112,1,61,86
40: 66,102,24,122
40: 88,137,123,41
40: 71,15,31,158
40: 15,160,159
40: 86,65,21,4
40: 43,21,26,40
40: 144,73,91
40: 82,166,167
40: 82,71,10,28
40: 112,75,137,15
40: 182,34,56
40: 184,131,183
40: 192,2,49,66
40: 34,47,9,112
39: 30,32,31,33
39: 83,36,77
39: 36,83,77
39: 44,101,7,14
39: 53,102,36,103
39: 105,106,12
39: 108,12,107
39: 37,118,26,92
39: 90,66,45,57
39: 137,88,123,41
39: 155,156,66
39: 43,44,39,57
39: 60,103,165,49
39: 41,39,74,138
39: 174,55,77
39: 185,125,141
39: 37,2,160,41
38: 74,28,4,14
38: 106,12,105
38: 45,114,36
38: 66,24,102,122
38: 24,122,102,66
38: 90,57,66,45
38: 50,43,47
38: 79,139,104
38: 138,9,61,81
38: 1,104,53,138
38: 24,135,56,81
38: 26,92,179
38: 86,101,49,43
38: 8,41,43,77
38: 37,2,41,160
38: 38,77,37,186
38: 150,92,55,11
37: 20,19,4
37: 29,14,28
37: 65,1,59,66
37: 39,88,47,28
37: 103,53,36,102
37: 53,103,36,102
37: 56,14,127,38
37: 112,95,11,39
37: 21,86,65,4
37: 39,163,104
37: 56,22,71,49
37: 195,116,104
36: 8,9,11,10
36: 44,43,45,46
36: 54,53,52
36: 53,103,102,36
36: 9,71,113,46
36: 37,118,92,26
36: 150,53,81,74
36: 19,106,141
36: 118,69,26,2
36: 12,32,8,102
36: 178,2,88
36: 137,112,15,75
36: 86,43,49,101
36: 158,124,190
35: 37,39,40,38
35: 60,33,61,48
35: 68,26,7
35: 67,31,21,24
35: 28,74,14,4
35: 4,74,28,14
35: 44,7,101,14
35: 104,56,49,42
35: 5,39,27,14
35: 1,112,61,86
35: 46,123,124,92
35: 90,66,57,45
35: 30,144,14,103
35: 137,88,41,123
35: 71,15,158,31
35: 133,66,93
35: 141,71,102,65
35: 52,55,1,101
35: 43,41,8,77
35: 37,77,38,186
35: 55,150,11,92
35: 34,9,47,112
35: 32,9,92,81
34: 34,35,7,36
34: 43,44,46,45
34: 69,34,24,70
34: 79,53,39,7
34: 10,56,14,81
34: 7,96,53
34: 100,104,14,11
34: 110,104,86
34: 112,121,93,24
34: 93,121,112,24
34: 34,125,88,126
34: 82,55,5,24
34: 13,101,24,28
34: 65,21,86,4
34: 69,118,26,2
34: 81,24,56,135
34: 34,65,77,90
34: 90,34,65,77
34: 71,82,28,10
34: 8,67,21,102
34: 56,34,182
34: 49,2,192,66
34: 56,81,28,151
33: 1,2,4,3
33: 30,31,33,32
33: 37,38,40,39
33: 39,53,79,7
33: 44,7,14,101
33: 39,5,14,27
33: 112,11,81,36
33: 36,112,11,81
33: 120,21,55
33: 93,112,24,121
33: 24,102,66,122
33: 66,138,137,49
33: 56,152,153
33: 21,4,86,65
33: 104,1,53,138
33: 24,56,135,81
33: 1,101,55,52
33: 2,49,66,192
33: 56,81,151,28
33: 56,28,81,151
32: 59,58,52
32: 49,53,82,66
32: 53,66,49,82
32: 110,86,104
32: 88,34,126,125
32: 9,127,100,112
32: 115,136,38
32: 49,138,137,66
32: 53,150,81,74
32: 9,81,61,138
32: 37,138,102,12
32: 60,103,49,165
32: 71,10,82,28
32: 22,56,71,49
32: 24,7,172
32: 92,26,179
32: 41,77,8,43
32: 8,43,41,77
31: 21,24,23,22
31: 48,60,61,33
31: 60,61,33,48
31: 47,88,28,39
31: 103,53,102,36
31: 34,132,88,21
31: 66,137,49,138
31: 31,100,115,28
31: 71,123,81,137
31: 90,147,34
31: 112,11,95,39
31: 61,9,138,81
31: 37,12,102,138
31: 26,134,12,66
31: 88,15,79,125
31: 67,8,21,102
31: 21,67,102,8
31: 43,8,77,41
30: 12,15,13,14
30: 22,23,21,24
30: 36,62,43
30: 53,39,79,7
30: 104,42,49,56
30: 9,71,46,113
30: 37,26,92,118
30: 112,127,9,100
30: 5,55,24,82
30: 103,101,79,46
30: 88,137,41,123
30: 95,90,129
30: 1,138,53,104
30: 37,138,12,102
30: 81,24,135,56
30: 90,34,77,65
30: 44,43,57,39
30: 43,44,57,39
30: 187,160,141
30: 108,28,2,11
30: 194,6,24
29: 12,14,13,15
29: 34,7,36,35
29: 47,24,48,49
29: 67,24,31,21
29: 31,67,24,21
29: 53,79,7,39
29: 5,34,61,80
29: 53,102,103,36
29: 54,11,77
29: 92,123,124,46
29: 140,132,60
29: 30,14,144,103
29: 137,52,56,121
29: 86,21,65,4
29: 101,25,64
29: 37,102,12,138
29: 82,167,166
29: 79,88,15,125
29: 34,169,104,170
29: 8,12,102,32
29: 8,21,67,102
29: 8,24,33,137
29: 85,34,43,77
29: 2,108,11,28
29: 69,74,151,21
29: 69,74,21,151
29: 56,151,28,81
29: 81,151,56,28
28: 1,3,4,2
28: 12,14,15,13
28: 23,22,24,21
28: 22,24,23,21
28: 48,47,49,24
28: 9,75,15,74
28: 77,76,31,38
28: 38,76,77,31
28: 14,99,98
28: 56,76,12,46
28: 5,14,39,27
28: 49,137,138,66
28: 115,31,100,28
28: 66,64,141,28
28: 46,79,103,101
28: 95,129,90
28: 21,65,4,86
28: 43,26,40,21
28: 9,61,81,138
28: 12,134,66,26
28: 175,176,31
28: 8,12,32,102
28: 1,102,47,30
28: 47,1,30,102
28: 38,37,186,77
28: 108,11,2,28
28: 2,108,28,11
28: 74,69,151,21
27: 13,12,14,15
27: 24,22,23,21
27: 24,23,22,21
27: 34,7,35,36
27: 38,76,31,77
27: 56,81,10,14
27: 82,53,49,66
27: 5,27,39,14
27: 81,112,36,11
27: 102,24,66,122
27: 9,100,127,112
27: 81,112,2,161
27: 37,102,138,12
27: 34,104,95,5
27: 33,34,160,43
27: 41,39,138,74
27: 26,179,92
27: 1,52,101,55
27: 41,77,43,8
27: 125,185,141
27: 125,141,185
27: 66,2,192,49
27: 24,194,6
26: 8,10,9,11
26: 31,30,32,33
26: 46,44,43,45
26: 44,43,46,45
26: 24,48,47,49
26: 9,15,75,74
26: 76,77,38,31
26: 66,53,49,82
26: 101,44,7,14
26: 56,104,42,49
26: 86,1,112,61
26: 102,66,24,122
26: 24,55,5,82
26: 88,34,21,132
26: 21,34,88,132
26: 137,66,49,138
26: 28,141,64,66
26: 101,13,28,24
26: 145,146,103
26: 88,41,137,123
26: 53,74,150,81
26: 64,25,101
26: 112,161,2,81
26: 163,39,104
26: 165,60,49,103
26: 79,88,125,15
26: 56,22,49,71
26: 67,102,8,21
26: 24,8,137,33
26: 33,8,24,137
26: 8,43,77,41
26: 34,77,85,43
26: 185,141,125
26: 38,186,77,37
26: 2,192,49,66
26: 30,132,11,92
26: 34,112,9,47
26: 116,104,195
25: 41,14,42,39
25: 41,39,14,42
25: 52,67,1,56
25: 31,67,21,24
25: 74,75,9,15
25: 9,15,74,75
25: 53,39,7,79
25: 87,86,85
25: 28,14,74,4
25: 44,14,7,101
25: 76,12,46,56
25: 46,12,76,56
25: 11,112,36,81
25: 37,92,26,118
25: 85,82,37,66
25: 81,71,137,123
25: 127,56,14,38
25: 9,81,138,61
25: 66,12,134,26
25: 177,154,31
25: 8,32,12,102
25: 8,33,24,137
25: 116,195,104
24: 43,46,44,45
24: 1,56,67,52
24: 72,73,71
24: 31,21,67,24
24: 77,76,38,31
24: 81,56,10,14
24: 112,100,127,9
24: 31,115,28,100
24: 24,101,13,28
24: 13,101,28,24
24: 137,121,52,56
24: 21,40,43,26
24: 104,53,1,138
24: 24,135,81,56
24: 24,81,135,56
24: 81,56,24,135
24: 34,77,65,90
24: 34,102,53,32
24: 53,25,52
24: 34,170,169,104
24: 74,41,138,39
24: 124,158,190
24: 2,192,66,49
24: 192,49,2,66
24: 69,21,74,151
24: 81,56,151,28
24: 32,9,81,92
24: 9,92,81,32
24: 9,81,32,92
23: 1,4,2,3
23: 13,12,15,14
23: 23,24,22,21
23: 31,30,33,32
23: 30,33,31,32
23: 67,21,31,24
23: 38,77,76,31
23: 38,31,77,76
23: 53,7,79,39
23: 34,61,80,5
23: 14,74,28,4
