1: 1,2,3,4,5,6,7,8,9,10,11
1: 9,1,5,10,2,3,7,6,4,8,11
1: 5,1,9,7,2,4,6,3,11,10,8
1: 1,7,6,4,5,9,2,8,11,3,10
1: 9,2,1,5,7,4,8,11,6,3,10
1: 8,6,9,4,2,1,3,11,10,5,7
1: 7,1,9,6,4,2,8,5,11,3,10
1: 1,8,2,4,5,7,9,3,6,11,10
1: 10,1,2,11,4,6,7,8,3,9,5
1: 8,7,9,5,2,1,4,6,3,11,10
1: 5,9,2,11,1,7,8,6,4,3,10
1: 2,7,1,4,5,9,10,8,3,6,11
1: 2,9,1,7,3,4,5,6,11,8,10
1: 10,9,4,5,2,1,7,6,3,8,11
1: 1,7,10,9,2,5,8,4,3,6,11
1: 9,2,5,1,4,7,3,8,10,6,11
1: 9,1,6,2,8,10,11,5,3,7,4
1: 8,1,2,7,11,5,3,6,9,4,10
1: 7,1,5,9,2,4,8,10,3,6,11
1: 2,5,1,9,11,3,4,7,8,6,10
1: 5,9,2,1,4,3,11,6,10,7,8
1: 2,5,4,11,6,1,8,9,7,3,10
1: 9,2,5,4,7,10,1,11,3,8,6
1: 9,2,1,5,4,7,6,11,10,8,3
1: 10,7,4,6,1,3,2,9,8,5,11
1: 1,9,4,2,5,7,11,3,6,8,10
1: 8,3,4,2,1,5,10,9,6,7,11
1: 1,10,5,9,2,4,7,8,3,6,11
1: 10,7,6,4,8,1,2,3,9,5,11
1: 9,2,7,1,8,5,4,11,3,6,10
