# UNIQUE PLAYERS: 102
3: 20,27,36,3,100,47,10,34,26,101
3: 27,36,20,47,100,34,10,3,101,26
3: 27,36,20,47,100,34,3,10,101,26
3: 3,27,36,20,47,100,10,101,26,34
3: 27,20,36,3,47,100,34,10,101,26
3: 20,47,36,27,10,3,100,34,26,101
2: 20,27,100,47,36,34,3,10,26,101
2: 47,20,10,3,100,34,101,26,36,27
2: 20,47,10,34,26,100,101,3,36,27
2: 20,47,27,36,3,10,100,34,26,101
2: 20,36,27,47,100,3,34,101,10,26
2: 20,36,27,47,34,10,3,100,101,26
2: 20,36,27,3,100,47,10,34,26,101
2: 20,27,47,3,10,100,34,36,26,101
2: 20,47,36,3,34,100,10,101,26,27
2: 27,20,47,34,36,100,10,3,101,26
2: 20,47,36,27,34,100,10,3,101,26
2: 20,100,3,34,47,10,26,101,36,27
2: 20,36,27,100,47,34,10,3,101,26
2: 20,47,34,101,10,100,26,3,36,27
2: 3,20,47,100,10,34,36,27,101,26
2: 27,100,20,47,10,3,101,26,34,36
2: 20,36,100,47,3,101,10,26,34,27
2: 20,36,3,27,47,10,100,34,101,26
2: 3,20,27,47,36,100,10,101,34,26
2: 27,36,20,47,100,34,10,26,3,101
2: 36,27,100,34,20,47,10,26,101,3
2: 20,27,3,36,100,10,47,101,34,26
2: 100,20,47,10,3,34,101,26,36,27
2: 47,3,100,36,20,10,34,26,27,101
2: 20,36,10,27,47,100,34,3,26,101
2: 101,3,27,100,20,47,36,10,26,34
2: 36,20,27,3,100,47,34,10,26,101
2: 27,20,36,100,34,47,10,3,101,26
2: 20,3,27,36,47,100,34,10,26,101
2: 20,27,36,47,100,3,34,101,10,26
2: 20,27,36,47,3,34,100,10,26,101
2: 27,36,20,47,100,3,34,10,101,26
2: 20,27,36,47,10,3,34,100,26,101
2: 20,27,36,47,3,100,34,10,101,26
2: 27,20,36,3,10,47,34,26,101,100
2: 27,36,20,100,34,3,47,101,10,26
