# UNIQUE PLAYERS: 12
169: 0,1,2,3
129: 0,6,7,8
91: 0,9,10,11
88: 1,0,2,3
86: 0,6,8,7
78: 0,1,3,2
76: 0,2,1,3
75: 6,0,7,8
74: 0,4,5,1
71: 0,7,6,8
66: 0,5,1,4
64: 9,0,10,11
59: 0,10,9,11
58: 0,9,11,10
56: 0,5,4,1
52: 6,0,8,7
50: 9,0,11,10
49: 0,10,11,9
46: 0,4,1,5
46: 0,11,9,10
44: 0,7,8,6
43: 1,0,3,2
42: 5,0,4,1
42: 0,1,4,5
42: 0,8,6,7
41: 4,0,5,1
38: 4,0,1,5
36: 4,5,0,1
35: 0,1,5,4
35: 0,11,10,9
34: 7,0,6,8
33: 4,1,0,5
33: 9,10,0,11
32: 0,3,1,2
31: 4,1,5,0
31: 0,8,7,6
30: 5,1,4,0
30: 7,6,0,8
30: 10,0,9,11
29: 10,9,0,11
27: 0,2,3,1
27: 5,4,0,1
27: 6,7,0,8
27: 9,10,11,0
26: 2,0,1,3
26: 2,1,0,3
26: 1,2,0,3
26: 5,0,1,4
26: 11,0,9,10
25: 1,2,3,0
25: 0,3,2,1
24: 4,5,1,0
24: 6,8,0,7
22: 1,0,5,4
22: 10,0,11,9
22: 10,9,11,0
22: 9,11,10,0
20: 1,4,0,5
20: 5,4,1,0
19: 2,1,3,0
19: 5,1,0,4
19: 1,5,4,0
19: 1,4,5,0
19: 10,11,9,0
19: 9,11,0,10
19: 11,9,10,0
19: 11,10,9,0
18: 2,0,3,1
18: 11,0,10,9
17: 1,0,4,5
17: 6,7,8,0
17: 11,10,0,9
16: 3,0,1,2
16: 6,8,7,0
15: 3,1,0,2
15: 2,3,0,1
15: 7,8,6,0
14: 8,0,6,7
13: 1,3,0,2
13: 7,0,8,6
13: 8,6,0,7
13: 8,7,6,0
12: 3,0,2,1
12: 2,3,1,0
12: 1,5,0,4
12: 8,7,0,6
11: 3,2,1,0
11: 7,8,0,6
11: 8,6,7,0
11: 11,9,0,10
10: 7,6,8,0
10: 8,0,7,6
9: 10,11,0,9
8: 3,2,0,1
8: 1,3,2,0
6: 3,1,2,0
