# UNIQUE PLAYERS: 5
9551: 1
7698: 2
7037: 3
6935: 5
6107: 4
2266: 2,3,4,5,1
1809: 1,4
1803: 3,2,4,5,1
1802: 2,4,3,5,1
1776: 1,3
1751: 4,1
1739: 4,5
1687: 3,4,5,2,1
1622: 5,4
1590: 1,3,4,2,5
1561: 2,3
1552: 2,4
1506: 3,4,2,5,1
1499: 2,1
1410: 4,3,2,5,1
1371: 1,2
1344: 1,3,4,5,2
1335: 3,5
1292: 2,5
1288: 1,5
1261: 5,2
1252: 2,3,5,4,1
1251: 5,1
1249: 4,3,5,2,1
1244: 3,4
1240: 1,4,3,5,2
1226: 1,4,3,2,5
1197: 3,2,5,4,1
1177: 4,2,3,5,1
1176: 2,4,5,3,1
1165: 3,2
1159: 5,3,4,2,1
1147: 2,5,1,4,3
1138: 5,3
1137: 3,5,4,2,1
1129: 5,1,2,4,3
1119: 4,3
1118: 4,5,3,2,1
1114: 1,5,2,4,3
1109: 2,5,4,3,1
1105: 2,5,3,4,1
1088: 3,1
1065: 3,5,2,4,1
1065: 1,2,5,4,3
1048: 2,1,5,4,3
1046: 5,4,3,2,1
1042: 4,2
1039: 3,1,4,2,5
1026: 3,4,1,5,2
1023: 4,3,1,5,2
1023: 4,1,3,5,2
1016: 4,1,5,2,3
1009: 1,3,2,4,5
992: 4,5,1,2,3
985: 1,3,5,4,2
983: 1,5,4,2,3
964: 2,4,5,1,3
963: 1,5,3,4,2
961: 4,2,5,1,3
947: 1,4,2,5,3
947: 5,2,4,3,1
939: 2,1,3,4,5
935: 1,4,5,3,2
934: 4,1,3,2,5
930: 1,2,4,3,5
925: 1,5,4,3,2
912: 4,3,5,1,2
907: 1,4,5,2,3
904: 1,2,3,4,5
904: 5,1,3,4,2
899: 3,4,5,1,2
899: 3,5,1,4,2
895: 4,5,2,3,1
893: 4,2,1,5,3
884: 1,2,4,5,3
883: 3,1,4,5,2
881: 1,3,5,2,4
877: 4,2,5,3,1
877: 3,1,2,4,5
876: 4,5,1,3,2
868: 2,5,1,3,4
864: 2,4,3,1,5
864: 4,1,5,3,2
860: 3,5,1,2,4
859: 2,3,4,1,5
856: 4,5,3,1,2
852: 5,4,2,3,1
849: 3,4,1,2,5
848: 3,1,5,2,4
845: 5,4,1,2,3
842: 3,1,5,4,2
838: 2,4,1,5,3
838: 5,1,4,2,3
828: 1,4,2,3,5
828: 5,2,3,4,1
827: 5,2,1,4,3
825: 2,1,4,3,5
821: 5,1,2,3,4
813: 5,1,4,3,2
812: 2,3,5,1,4
812: 4,1,2,5,3
810: 1,3,2,5,4
808: 3,4,2,1,5
799: 4,5,2,1,3
796: 3,5,4,1,2
782: 5,3,2,4,1
776: 4,3,2,1,5
774: 3,2,4,1,5
757: 5,3,4,1,2
754: 1,5,2,3,4
750: 2,1,4,5,3
750: 2,5,4,1,3
748: 2,1,5,3,4
736: 5,4,2,1,3
725: 5,3,1,2,4
723: 2,5,3,1,4
720: 1,2,5,3,4
705: 3,1,2,5,4
703: 2,3,1,4,5
699: 5,4,3,1,2
698: 2,3,1,5,4
698: 4,3,1,2,5
694: 3,2,1,4,5
691: 5,3,1,4,2
687: 5,2,4,1,3
670: 3,2,5,1,4
670: 2,4,1,3,5
666: 1,2,3,5,4
663: 4,1,2,3,5
656: 1,5,3,2,4
639: 4,2,3,1,5
639: 2,1,3,5,4
637: 4,2,1,3,5
636: 3,2,1,5,4
622: 5,4,1,3,2
615: 5,1,3,2,4
611: 5,2,1,3,4
