# UNIQUE PLAYERS: 84
4: 0,1,2,3,4,5
3: 6,7,8,9,10,11
2: 12,8,13,14,15,16
2: 17,18,19,20,21,2
2: 8,22,14,19,3,23
2: 17,24,25,26,27,1
2: 28,29,30,31,22,15
2: 17,25,32,33,21,11
2: 34,35,0,25,26,36
2: 24,18,37,35,31,3
2: 38,39,20,9,23,36
2: 17,39,7,21,4,11
2: 34,17,0,19,28,5
2: 40,24,0,8,26,15
2: 19,41,42,29,23,21
2: 24,12,41,3,9,1
2: 17,28,32,12,7,43
2: 17,28,41,14,33,1
2: 48,49,50,51,52,53
2: 54,55,56,57,58,59
2: 60,61,62,63,64,65
2: 60,54,66,64,51,59
2: 60,67,52,68,55,58
2: 69,70,49,54,65,71
2: 72,60,62,56,57,53
2: 50,67,62,51,73,58
2: 60,50,64,73,74,56
2: 49,75,76,77,55,78
2: 66,70,51,53,68,71
2: 66,51,79,53,55,58
2: 80,75,51,74,57,59
2: 49,56,51,55,58,78
2: 60,69,70,81,63,57
2: 81,73,51,68,55,58
2: 60,48,82,49,56,58
2: 60,79,53,56,55,71
2: 82,49,61,83,68,57
2: 80,54,52,65,72,59
1: 40,13,29,44,30,20
1: 39,42,30,16,27,38
1: 34,22,15,33,26,2
1: 34,38,39,33,4,43
1: 34,45,9,23,46,43
1: 6,20,19,22,11,36
1: 34,44,38,40,15,11
1: 35,31,0,37,7,20
1: 18,13,8,16,31,2
1: 22,8,14,19,23,3
1: 42,21,29,41,19,23
1: 41,43,21,27,6,14
1: 38,42,30,39,27,16
1: 34,33,2,22,26,15
1: 20,13,40,44,29,30
1: 24,9,3,14,36,46
1: 30,0,22,5,1,47
1: 29,10,3,31,21,4
1: 25,33,26,20,4,39
1: 32,4,27,14,0,23
1: 12,28,21,43,16,41
1: 24,18,31,35,37,3
1: 17,32,12,7,28,43
1: 35,6,27,10,45,37
1: 17,42,25,36,46,5
1: 39,38,45,19,47,1
1: 31,7,15,10,41,22
1: 5,12,38,46,21,14
1: 19,42,45,3,43,30
1: 40,37,29,11,33,27
1: 17,44,28,2,9,16
1: 42,47,8,27,28,32
1: 34,22,44,14,37,19
1: 17,7,39,4,11,21
1: 5,31,3,30,40,23
1: 41,18,9,15,10,16
1: 13,35,0,12,33,43
1: 34,22,19,46,40,2
1: 28,14,42,6,25,8
1: 30,25,45,47,7,20
1: 17,4,13,9,3,16
1: 29,42,26,28,18,31
1: 33,39,5,15,8,37
1: 12,38,0,11,36,23
1: 29,32,7,31,15,43
1: 40,33,26,23,37,16
1: 30,11,22,10,47,34
1: 12,41,24,9,1,3
1: 35,39,27,38,4,5
1: 17,18,19,2,20,21
1: 0,13,44,45,46,36
1: 39,37,15,8,33,5
1: 17,13,4,9,3,16
1: 17,25,33,21,11,32
1: 44,7,37,41,16,46
1: 6,27,35,45,10,37
1: 29,22,28,30,15,31
1: 32,13,37,47,12,2
1: 40,30,31,23,3,5
1: 17,7,4,11,21,39
1: 34,44,19,22,14,37
1: 42,27,8,47,32,28
1: 24,38,25,1,46,26
1: 42,18,26,31,28,29
1: 6,45,20,36,2,29
1: 12,11,0,38,23,36
1: 47,34,11,10,22,30
1: 35,39,5,4,38,27
1: 45,46,0,44,13,36
1: 29,32,15,7,43,31
1: 37,40,33,23,16,26
1: 29,21,4,31,3,10
1: 6,22,19,20,36,11
1: 34,45,9,43,23,46
1: 6,42,25,28,8,14
1: 9,20,39,23,38,36
1: 42,6,12,40,18,8
1: 35,12,0,13,33,43
1: 30,22,5,0,1,47
1: 17,32,28,12,7,43
1: 42,19,41,29,21,23
1: 24,9,14,36,46,3
1: 34,17,5,19,28,0
1: 32,41,4,1,39,20
1: 39,33,20,26,25,4
1: 13,31,18,8,2,16
1: 34,40,44,15,11,38
1: 35,37,7,0,31,20
1: 39,34,38,33,43,4
1: 29,18,47,9,5,46
1: 30,13,15,40,10,21
1: 6,26,2,3,44,27
1: 42,47,43,24,11,40
1: 7,10,29,30,31,36
1: 44,46,37,41,7,16
1: 34,27,24,19,14,10
1: 24,0,8,26,40,15
1: 0,24,40,26,15,8
1: 42,6,40,12,18,8
1: 35,47,13,45,26,43
1: 41,22,7,31,15,10
1: 12,21,5,14,38,46
