# UNIQUE PLAYERS: 2059
1: 0,1,2,3,4,5,6,7
1: 8,9,10,11,12,13,14,15
1: 16,17,18,19,20,21,22,23
1: 24,25,26,27,28,29,30,31
1: 32,33,9,23,34,35,36,37
1: 38,39,40,41,42,43,44,45
1: 46,47,48,49,50,51,52,53
1: 54,55,56,57,58,59,60,61
1: 62,63,64,65,66,67,68,69
1: 39,41,38,70,44,43,71,72
1: 33,73,74,75,32,76,77,78
1: 79,80,81,82,83,84,85,86
1: 87,88,89,90,91,92,93,94
1: 95,96,97,98,99,100,101,102
1: 103,104,105,106,107,108,109,110
1: 111,112,113,114,115,86,116,117
1: 118,119,120,121,122,123,124,125
1: 126,127,128,129,130,131,132,133
1: 134,118,135,136,137,138,139,140
1: 141,142,143,144,145,146,147,148
1: 83,149,150,151,84,152,153,154
1: 87,155,156,90,157,91,158,92
1: 159,160,96,161,100,95,102,162
1: 109,163,164,105,165,103,166,167
1: 168,169,112,170,171,114,111,172
1: 173,174,175,119,176,121,123,177
1: 129,178,133,126,179,180,181,182
1: 134,135,183,136,184,185,138,186
1: 141,178,187,188,189,190,143,179
1: 135,191,183,175,186,192,184,136
1: 193,168,149,194,188,82,195,189
1: 191,196,197,198,199,200,136,201
1: 175,135,202,186,203,204,173,205
1: 206,207,208,209,210,211,212,213
1: 214,215,216,217,218,219
1: 220,221,222,223,224,225,226
1: 227,228,229,230,231,232,233,234
1: 235,236,237,238,239,240,241,242
1: 235,239,238,237,236,243,242,244
1: 227,228,229,215,231,219,245,246
1: 247,248,249,250,251,252,253,254
1: 255,256,257,258,259,260,261,262
1: 263,264,265,266,267,268,269,270
1: 271,272,273,274,275,276,277,278
1: 279,280,281,282,283,284,285,286
1: 255,287,288,289,290,137,291,292
1: 280,293,294,295,296,297,128,298
1: 255,299,289,300,260,301,302,137
1: 141,303,304,305,306,307,308,309
1: 249,252,310,250,311,312,313,314
1: 256,315,257,259,261,316,317,318
1: 319,320,321,322,323,324,325,326
1: 273,277,272,271,327,328,274,329
1: 283,330,331,285,332,333,334,279
1: 335,287,291,336,337,338,292,137
1: 339,340,280,341,283,342,343,344
1: 345,260,300,346,347,348,349,350
1: 351,352,286,353,354,355,356,357
1: 358,359,360,361,362,363,364,365
1: 304,339,341,305,306,303,308,340
1: 366,345,367,368,369,370,349,347
1: 351,371,372,319,352,312,373,354
1: 366,360,358,359,335,361,364,374
1: 280,375,295,376,377,378,379,297
1: 255,380,381,382,383,384,289,385
1: 366,386,387,367,368,369,370,388
1: 389,390,391,392,150,79,393,394
1: 395,258,317,90,363,318,396,397
1: 398,266,97,263,399,400,401,402
1: 403,404,405,406,107,407,408,409
1: 283,410,411,412,281,331,413,79
1: 291,414,415,416,417,418,137,419
1: 420,421,128,422,376,294,423,424
1: 425,426,416,137,427,185,428,429
1: 430,431,303,307,432,433,434,435
1: 389,436,437,438,392,439,440,441
1: 317,442,363,443,444,318,90,397
1: 266,445,446,268,447,101,448,449
1: 404,408,328,407,450,451,108,452
1: 282,283,412,410,331,285,453,454
1: 291,455,419,425,456,457,458,137
1: 283,422,344,459,423,460,461,462
1: 346,463,416,427,137,185,419,464
1: 465,410,466,467,398,468,439,469
1: 406,425,427,122,470,329,471,472
1: 431,473,474,303,432,309,461,179
1: 475,476,185,477,464,478,479,480
1: 465,438,481,482,483,484,172,485
1: 406,486,471,487,488,489,490,472
1: 475,491,476,464,492,478,493,494
1: 495,496,497,498,499,500,501,502
1: 503,504,505,506,507,508,509,510
1: 511,512,513,514,515,516,517,518
1: 519,520,521,522,523,524,525,526
1: 527,528,529,530,531,532,533,534
1: 535,536,537,538,539,540,541,542
1: 543,544,545,546,547,548,549,550
1: 551,535,503,552,553,554,555,556
1: 557,558,559,560,561,562,563,564
1: 565,495,497,566,567,498,568,569
1: 504,505,508,507,570,571,572,573
1: 511,515,513,574,575,576,577,578
1: 520,519,579,521,522,580,581,582
1: 527,583,584,585,586,587,588,589
1: 590,591,537,592,593,594,595,596
1: 527,597,598,599,600,601,602,603
1: 604,605,606,607,608,609,610,611
1: 527,583,565,612,613,614,615,500
1: 616,504,503,607,617,526,618,619
1: 597,563,561,598,557,558,560,620
1: 621,607,622,623,604,608,610,509
1: 527,583,565,624,625,626,627,612
1: 616,504,607,570,628,629,630,631
1: 546,632,543,633,634,544,635,550
1: 551,302,636,535,555,637,638,639
1: 621,628,640,608,631,641,642,643
1: 251,644,248,645,646,647,648,311
1: 256,649,650,261,651,652,653,654
1: 655,656,657,658,659,265,320,263
1: 660,661,662,663,664,665,329,666
1: 410,667,279,668,332,669,645,670
1: 288,671,289,292,672,673,674,675
1: 676,677,294,678,280,298,679,295
1: 299,680,674,681,289,682,683,301
1: 684,685,686,303,687,688,689,690
1: 645,646,372,691,692,693,694,695
1: 256,696,261,650,697,649,260,698
1: 322,656,320,321,264,657,699,658
1: 700,364,661,660,663,701,329,702
1: 332,703,704,667,705,706,707,708
1: 673,292,672,709,675,710,711,712
1: 713,340,714,341,715,716,342,717
1: 681,674,718,289,719,720,721,722
1: 351,723,724,725,726,727,728,357
1: 364,673,358,359,729,730,731,732
1: 713,684,340,341,733,734,303,703
1: 696,366,735,736,718,370,737,720
1: 351,738,373,371,726,352,739,740
1: 256,364,673,735,741,358,742,732
1: 676,280,375,743,744,745,295,746
1: 380,299,747,289,680,748,683,749
1: 366,735,750,751,752,753,736,370
1: 0,6,1,3,754,755,756,757
1: 758,759,760,761,762,763,764,765
1: 766,767,768,769,770,771,772,764
1: 773,24,774,775,776,777,778,779
1: 32,780,781,782,783,766,784,785
1: 39,41,40,786,787,788,789,790
1: 791,792,793,51,794,795,796,797
