6: 70,58
4: 68,70
4: 31,99
4: 31,89
4: 70,73
4: 70,109
3: 68,36
3: 70,68
3: 70,49
3: 58,49
3: 58,70
3: 58,89
3: 31,11
3: 31,49
3: 31,57
2: 57,31
2: 68,61
2: 49,23
2: 70,81
2: 70,69
2: 49,85
2: 58,23
2: 70,51
2: 68,31
2: 11,85
2: 99,31
2: 11,49
2: 85,23
2: 99,58
2: 109,99
2: 11,58
2: 89,122
2: 99,23
2: 109,31
2: 49,107
2: 109,85
2: 99,109
2: 49,99
2: 31,102
2: 31,58
2: 58,102
2: 85,58
2: 59,130
2: 58,68
2: 58,31
2: 31,146
2: 70,111
2: 73,31
2: 57,99
2: 73,81
2: 146,57
2: 70,146
2: 109,23
2: 70,57
2: 146,70
2: 58,57
2: 70,99
1: 1,2
1: 3,4
1: 5,6
1: 7,8
1: 9,10
1: 11,12
1: 13,14
1: 15,16
1: 17,18
1: 19,20
1: 21,22
1: 23,24
1: 25,26
1: 27,28
1: 29,30
1: 31,32
1: 1,3
1: 5,7
1: 11,9
1: 15,13
1: 17,19
1: 23,21
1: 27,25
1: 29,31
1: 15,5,17,29
1: 11,1,23,27
1: 15,11
1: 23,33
1: 34,35
1: 36,25
1: 37,38
1: 39,5
1: 40,41
1: 42,43
1: 11,44
1: 45,46
1: 47,48
1: 49,50
1: 51,52
1: 3,53
1: 54,4
1: 31,55
1: 19,56
1: 23,34
1: 36,37
1: 40,39
1: 11,42
1: 47,45
1: 51,49
1: 54,3
1: 31,19
1: 31,36,54,51
1: 11,23,40,47
1: 11,36
1: 31,23
1: 11,31
1: 1,31,49,51
1: 57,58,54,55
1: 59,60,37,47
1: 61,11,62,25
1: 58,1
1: 61,60
1: 11,59
1: 61,58
1: 11,57
1: 61,11
1: 63,64,23,65
1: 54,66,56,67
1: 68,69,37,5
1: 61,70,10,71
1: 61,69
1: 63,66
1: 64,54
1: 61,63
1: 68,64
1: 72,61,71,5
1: 73,69,74,37
1: 68,49,75,76
1: 23,56,11,1
1: 69,72
1: 61,73
1: 68,56
1: 69,49
1: 69,68
1: 69,77,45,51
1: 49,68,34,78
1: 55,27,79,31
1: 70,56,80,23
1: 58,57,2,1
1: 36,81,82,83
1: 69,58
1: 68,55
1: 36,49
1: 80,38,23,61
1: 68,51,56,84
1: 85,70,54,86
1: 58,49,31,87
1: 55,88,89,63
1: 90,59,27,48
1: 55,70
1: 68,80
1: 58,90
1: 49,68
1: 58,55
1: 49,58
1: 91,55,81,92
1: 31,93,89,46
1: 56,34,69,94
1: 49,15,86,38
1: 70,23,80,95
1: 96,58,5,27
1: 45,97,54,98
1: 99,100,51,11
1: 31,23,45,100
1: 49,96,93,97
1: 58,70,55,56
1: 91,99,34,15
1: 96,91
1: 96,31
1: 70,96
1: 70,54,81,82
1: 89,91,101,45
1: 96,102,80,103
1: 86,51,5,36
1: 104,63,105,68
1: 58,57,56,106
1: 47,49,27,55
1: 11,7,31,2
1: 96,49,86,63
1: 104,51,11,57
1: 58,89,102,54
1: 70,7,47,91
1: 7,104
1: 96,89
