Location,Year,Distance (in meters),Stroke,Relay?,Gender,Team,Athlete,Results,Rank
Seoul,1988,100m,Backstroke,0,Men,JPN,Daichi Suzuki,55.050,1
Seoul,1988,100m,Backstroke,0,Men,USA,David Charles Berkoff,55.180,2
Seoul,1988,100m,Backstroke,0,Men,URS,Igor Polyanski,55.200,3
Seoul,1988,100m,Backstroke,0,Men,URS,Sergei Zabolotnov,55.370,4
Seoul,1988,100m,Backstroke,0,Men,CAN,Mark Tewksbury,56.090,4
Seoul,1988,100m,Backstroke,0,Men,GDR,Frank Baltrusch,56.100,4
Seoul,1988,100m,Backstroke,0,Men,FRG,Frank Hoffmeister,56.190,4
Seoul,1988,100m,Backstroke,0,Men,CAN,Sean Murphy,56.320,4
Seoul,1988,100m,Backstroke,0,Women,GDR,Kristin Otto,00:01:00.890000,1
Seoul,1988,100m,Backstroke,0,Women,HUN,Krisztina Egerszegi,00:01:01.560000,2
Seoul,1988,100m,Backstroke,0,Women,GDR,Cornelia Sirch,00:01:01.570000,3
Seoul,1988,100m,Backstroke,0,Women,USA,Elizabeth Mitchell,00:01:02.710000,4
Seoul,1988,100m,Backstroke,0,Women,USA,Elizabeth Cynthia Barr,00:01:02.780000,4
Seoul,1988,100m,Backstroke,0,Women,CRC,Silvia Poll Ahrens,00:01:03.340000,4
Seoul,1988,100m,Backstroke,0,Women,AUS,Nicole Livingstone,00:01:04.150000,4
Seoul,1988,100m,Backstroke,0,Women,FRG,Marion Aizpors,00:01:04.190000,4
Seoul,1988,100m,Breaststroke,0,Men,GBR,Adrian David Moorhouse,00:01:02.040000,1
Seoul,1988,100m,Breaststroke,0,Men,HUN,Karoly Guttler,00:01:02.050000,2
Seoul,1988,100m,Breaststroke,0,Men,URS,Dmitri Volkov,00:01:02.200000,3
Seoul,1988,100m,Breaststroke,0,Men,CAN,Victor Davis,00:01:02.380000,4
Seoul,1988,100m,Breaststroke,0,Men,HUN,Tamas Debnar,00:01:02.500000,4
Seoul,1988,100m,Breaststroke,0,Men,USA,Richard Alan Schroeder,00:01:02.550000,4
Seoul,1988,100m,Breaststroke,0,Men,ITA,Gianni Minervini,00:01:02.930000,4
Seoul,1988,100m,Breaststroke,0,Men,GDR,Christian Poswiat,00:01:03.430000,4
Seoul,1988,100m,Breaststroke,0,Women,BUL,Tania Bogomilova-Dangalakova,00:01:07.950000,1
Seoul,1988,100m,Breaststroke,0,Women,BUL,Antoaneta Frenkeva,00:01:08.740000,2
Seoul,1988,100m,Breaststroke,0,Women,GDR,Silke Hörner,00:01:08.830000,3
Seoul,1988,100m,Breaststroke,0,Women,CAN,Allison Ann Higson,00:01:08.860000,4
Seoul,1988,100m,Breaststroke,0,Women,URS,Elena Volkova,00:01:09.240000,4
Seoul,1988,100m,Breaststroke,0,Women,USA,Tracey Mcfarlane,00:01:09.600000,4
Seoul,1988,100m,Breaststroke,0,Women,CHN,Xiao-Min Huang,00:01:10.530000,4
Seoul,1988,100m,Breaststroke,0,Women,GDR,Annett Rex,00:01:10.670000,4
Seoul,1988,100m,Butterfly,0,Men,SUR,Anthony Conrad Nesty,53.000,1
Seoul,1988,100m,Butterfly,0,Men,USA,Matthew Biondi,53.010,2
Seoul,1988,100m,Butterfly,0,Men,GBR,Andrew David Jameson,53.300,3
Seoul,1988,100m,Butterfly,0,Men,AUS,Jonathan Sieben,53.330,4
Seoul,1988,100m,Butterfly,0,Men,FRG,Michael Gross,53.440,4
Seoul,1988,100m,Butterfly,0,Men,USA,Jay Paul Mortenson,54.070,4
Seoul,1988,100m,Butterfly,0,Men,CAN,Thomas Ponting,54.090,4
Seoul,1988,100m,Butterfly,0,Men,URS,Vadim Yaroshchuk,54.600,4
Seoul,1988,100m,Butterfly,0,Women,GDR,Kristin Otto,59.000,4
Seoul,1988,100m,Butterfly,0,Women,GDR,Birte Weigang,59.450,4
Seoul,1988,100m,Butterfly,0,Women,CHN,Hong Qian,59.520,4
Seoul,1988,100m,Butterfly,0,Women,FRA,Catherine Plewinski,59.580,4
Seoul,1988,100m,Butterfly,0,Women,USA,Janet Simone Jorgensen,00:01:00.480000,1
Seoul,1988,100m,Butterfly,0,Women,NED,Conny Van Bentum,00:01:00.620000,2
Seoul,1988,100m,Butterfly,0,Women,USA,Mary T. Meagher,00:01:00.970000,3
Seoul,1988,100m,Butterfly,0,Women,CHN,Xiaohong Wang,00:01:01.150000,4
Seoul,1988,100m,Freestyle,0,Men,USA,Matthew Biondi,48.630,1
Seoul,1988,100m,Freestyle,0,Men,USA,Christopher Charles Jacobs,49.080,2
Seoul,1988,100m,Freestyle,0,Men,FRA,Stephan Caron,49.620,3
Seoul,1988,100m,Freestyle,0,Men,URS,Gennady Prigoda,49.750,4
