prop_ho_greater_std,prop_hol_greater_std,N,M,K1,K2,trainsize,rep,model
0.37547892720306514,0.4540229885057471,1000,1000,5,7,0.47863009232263826,0,hol
0.47242798353909465,0.3934156378600823,1000,1500,2,6,0.19054607179632474,4,ho
0.4588323353293413,0.4086826347305389,1000,1500,2,4,0.1096478196143185,13,hol
0.46215139442231074,0.3904382470119522,1000,1500,2,6,0.3311311214825911,19,ho
0.28292682926829266,0.22578397212543555,1000,1500,2,6,0.04365158322401661,1,hol
0.5224489795918368,0.44081632653061226,1000,1000,8,9,0.020892961308540396,17,ho
0.318974358974359,0.18051282051282053,1000,1000,2,6,0.025118864315095794,1,ho
0.4692556634304207,0.4077669902912621,1000,1000,2,6,0.6918309709189366,15,ho
0.38588235294117645,0.42823529411764705,1000,1000,2,6,0.5754399373371569,1,hol
0.218475073313783,0.21994134897360704,1000,1500,2,2,0.09120108393559097,8,ho
0.5501618122977346,0.37216828478964403,1000,1000,5,5,0.6918309709189366,5,ho
0.39700996677740863,0.3853820598006645,1000,1000,2,3,0.3981071705534973,2,hol
0.25813692480359146,0.24579124579124578,1000,1000,2,3,0.1096478196143185,0,ho
0.44336569579288027,0.3948220064724919,1000,1000,2,3,0.6918309709189366,16,ho
0.43438219493476593,0.40521872601688413,1000,1500,2,6,0.13182567385564073,10,hol
0.47653958944281527,0.40615835777126097,1000,1500,2,6,0.09120108393559097,15,ho
0.5777777777777777,0.4419753086419753,1000,1000,5,6,0.19054607179632474,4,ho
0.5777777777777777,0.42345679012345677,1000,1000,5,6,0.19054607179632474,1,ho
0.47441217150760717,0.3789764868603043,1000,1500,2,6,0.03630780547701014,18,ho
0.3934262948207171,0.44322709163346613,1000,1500,2,6,0.3311311214825911,18,hol
0.4128933231005372,0.35149654643131234,1000,1500,2,4,0.13182567385564073,10,ho
0.4045307443365696,0.4627831715210356,1000,1000,5,5,0.6918309709189366,19,hol
0.3690579083837511,0.3690579083837511,1000,1500,2,2,0.22908676527677735,12,ho
0.17923186344238975,0.14864864864864866,1000,1500,2,2,0.06309573444801933,0,hol
0.6350210970464135,0.4978902953586498,1000,1000,8,9,0.05248074602497726,2,ho
0.47572815533980584,0.4174757281553398,1000,1000,2,3,0.6918309709189366,10,ho
0.1665465032444124,0.167267483777938,1000,1500,2,2,0.07585775750291836,12,ho
0.39381003201707576,0.3287086446104589,1000,1000,5,7,0.06309573444801933,9,hol
0.4686373467916366,0.410958904109589,1000,1500,2,6,0.07585775750291836,7,hol
0.30721649484536084,0.1670103092783505,1000,1000,5,6,0.03019951720402016,15,hol
0.15587044534412955,0.13866396761133604,1000,1000,5,5,0.012022644346174132,12,ho
0.6835051546391753,0.5051546391752577,1000,1000,8,9,0.03019951720402016,4,ho
0.4439461883408072,0.3602391629297459,1000,1000,2,3,0.3311311214825911,10,hol
0.43853820598006643,0.4900332225913621,1000,1000,5,7,0.3981071705534973,9,hol
0.34545454545454546,0.061952861952861954,1000,1500,2,4,0.01,7,ho
0.43051201671891326,0.38662486938349006,1000,1000,8,9,0.04365158322401661,19,hol
0.40129449838187703,0.459546925566343,1000,1000,8,9,0.6918309709189366,13,hol
0.47149643705463185,0.45961995249406173,1000,1000,5,5,0.15848931924611134,17,hol
0.5302530253025303,0.40924092409240925,1000,1000,5,6,0.09120108393559097,16,ho
0.466403162055336,0.3952569169960474,1000,1500,2,4,0.8317637711026709,15,ho
0.3082474226804124,0.20103092783505155,1000,1000,5,7,0.03019951720402016,18,hol
0.41793103448275865,0.46620689655172415,1000,1000,5,5,0.2754228703338166,6,hol
0.33608247422680415,0.28144329896907216,1000,1000,5,6,0.03019951720402016,12,ho
0.4326530612244898,0.35714285714285715,1000,1000,7,8,0.020892961308540396,3,ho
0.4776500638569604,0.388250319284802,1000,1500,2,6,0.47863009232263826,5,ho
0.39846743295019155,0.4425287356321839,1000,1000,7,8,0.47863009232263826,15,hol
0.3888888888888889,0.5012345679012346,1000,1000,8,9,0.19054607179632474,10,hol
0.42081949058693247,0.42524916943521596,1000,1500,2,6,0.3981071705534973,13,hol
0.3658810325476992,0.3479236812570146,1000,1000,2,6,0.1096478196143185,12,hol
0.4223245109321059,0.4177215189873418,1000,1000,5,6,0.13182567385564073,6,hol
0.44224422442244227,0.41254125412541254,1000,1000,5,7,0.09120108393559097,12,hol
0.35477178423236516,0.25,1000,1000,5,7,0.03630780547701014,15,hol
0.5930232558139535,0.35714285714285715,1000,1000,5,7,0.3981071705534973,15,ho
0.025252525252525252,0.026262626262626262,1000,1000,2,3,0.01,17,hol
0.4054336468129572,0.3500522466039707,1000,1000,8,9,0.04365158322401661,3,hol
0.3022312373225152,0.12170385395537525,1000,1000,8,9,0.014454397707459272,11,hol
0.4499252615844544,0.515695067264574,1000,1000,7,8,0.3311311214825911,11,hol
0.40768409818569906,0.3575240128068303,1000,1000,5,7,0.06309573444801933,5,hol
0.2793522267206478,0.5175438596491229,1000,1500,2,6,0.012022644346174132,17,ho
0.2717171717171717,0.1292929292929293,1000,1000,8,9,0.01,7,hol
0.6973532796317606,0.4407364787111623,1000,1000,2,3,0.13182567385564073,11,ho
0.38636363636363635,0.34824046920821117,1000,1500,2,6,0.09120108393559097,2,hol
0.37369207772795215,0.34379671150971597,1000,1000,2,3,0.3311311214825911,10,ho
0.38482758620689655,0.4772413793103448,1000,1000,8,9,0.2754228703338166,9,hol
0.3408163265306122,0.3489795918367347,1000,1000,7,8,0.020892961308540396,12,hol
0.43586206896551727,0.48551724137931035,1000,1000,5,6,0.2754228703338166,7,hol
0.4283452098178939,0.36262866191607285,1000,1500,2,4,0.15848931924611134,1,hol
0.3811764705882353,0.4117647058823529,1000,1000,7,8,0.5754399373371569,15,hol
0.1123213070115725,0.09802586793737236,1000,1500,2,4,0.020892961308540396,11,hol
0.48520710059171596,0.4378698224852071,1000,1000,7,8,0.8317637711026709,12,hol
0.4540229885057471,0.5172413793103449,1000,1000,8,9,0.47863009232263826,11,hol
0.40264026402640263,0.3773377337733773,1000,1000,5,6,0.09120108393559097,14,hol
0.24183673469387756,0.21122448979591837,1000,1000,5,5,0.020892961308540396,13,ho
0.5620328849028401,0.32884902840059793,1000,1000,7,8,0.3311311214825911,3,ho
0.5375982042648709,0.4276094276094276,1000,1000,5,6,0.1096478196143185,6,ho
0.3381742738589212,0.20228215767634855,1000,1000,5,6,0.03630780547701014,18,hol
0.48816768086544965,0.45368492224476,1000,1500,2,6,0.014454397707459272,0,ho
0.6102418207681366,0.5718349928876245,1000,1500,2,4,0.06309573444801933,14,ho
0.4093836246550138,0.4047838086476541,1000,1500,2,2,0.2754228703338166,7,ho
0.4816414686825054,0.46004319654427644,1000,1500,2,2,0.6918309709189366,14,hol
0.37236286919831224,0.2795358649789029,1000,1000,5,7,0.05248074602497726,18,hol
0.5949367088607594,0.46375143843498273,1000,1000,5,6,0.13182567385564073,15,ho
0.43942992874109266,0.5380047505938242,1000,1000,8,9,0.15848931924611134,6,hol
0.5411764705882353,0.28,1000,1000,5,7,0.5754399373371569,17,ho
0.4368932038834951,0.41423948220064727,1000,1000,2,3,0.6918309709189366,1,hol
0.5979381443298969,0.44742268041237115,1000,1000,8,9,0.03019951720402016,6,ho
0.5534441805225653,0.5166270783847982,1000,1000,2,3,0.15848931924611134,19,hol
0.42548596112311016,0.4708423326133909,1000,1500,2,4,0.6918309709189366,15,hol
0.6096345514950167,0.40863787375415284,1000,1000,5,6,0.3981071705534973,4,ho
0.6447058823529411,0.28941176470588237,1000,1000,7,8,0.5754399373371569,7,ho
0.6015325670498084,0.3716475095785441,1000,1000,5,7,0.47863009232263826,19,ho
0.47509578544061304,0.3524904214559387,1000,1000,2,6,0.47863009232263826,2,ho
0.3627586206896552,0.463448275862069,1000,1000,7,8,0.2754228703338166,7,hol
0.31347962382445144,0.21212121212121213,1000,1000,5,5,0.04365158322401661,14,hol
0.7295918367346939,0.6377551020408163,1000,1000,8,9,0.020892961308540396,8,ho
0.6350053361792957,0.5026680896478122,1000,1000,7,8,0.06309573444801933,13,ho
0.44362139917695476,0.4378600823045268,1000,1500,2,4,0.19054607179632474,19,hol
0.3333333333333333,0.2737373737373737,1000,1000,8,9,0.01,1,ho
0.11814345991561181,0.13150492264416316,1000,1500,2,2,0.05248074602497726,13,ho
0.4692556634304207,0.3300970873786408,1000,1000,5,5,0.6918309709189366,18,ho
0.3675889328063241,0.4308300395256917,1000,1500,2,6,0.8317637711026709,9,hol
0.3735408560311284,0.522697795071336,1000,1000,7,8,0.22908676527677735,17,hol
0.4833887043189369,0.3754152823920266,1000,1000,2,6,0.3981071705534973,3,ho
0.4588607594936709,0.39662447257383965,1000,1000,5,6,0.05248074602497726,16,ho
0.48221343873517786,0.4426877470355731,1000,1500,2,2,0.8317637711026709,0,hol
0.4437869822485207,0.48520710059171596,1000,1000,2,3,0.8317637711026709,10,hol
0.5564784053156147,0.33554817275747506,1000,1000,5,7,0.3981071705534973,6,ho
