newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
-1.576947818620531,-1.461243689220352,-1.5377343501281724,-1.4347617866978493,-1.5416034243386083,-1.4762591837078116,-4.589633962411865,-4.245674482825901,-4.7579995515125555,158,0.1905
-1.307823319084884,-1.2205319467034714,-1.3450935363546526,-1.1972903773526293,-1.4634981390922914,-1.338075854868897,-2.0423238207900214,-1.8232827346103526,-1.482500011956528,189,0.8318
-1.6144993664285252,-1.5058458678418007,-1.5700733368446795,-1.489507035446769,-1.5633505712183338,-1.511234048059461,-5.195963082007125,-4.935596083345956,-8.715427419074297,168,0.1096
-1.606013106355361,-1.4801214496442041,-1.5696759901894801,-1.4656082662830274,-1.5589692606450725,-1.4990505699703534,-5.354516615622649,-5.068467585909504,-7.2823271997228955,156,0.1318
-1.2663541517906547,-1.1686300722626242,-1.3060579120973133,-1.152057923502708,-1.4592372500337838,-1.3481935773279448,-2.0496071691360616,-1.8092594515989908,-1.4727288581363627,81,0.8318
-1.6388418043161934,-1.5420265668396185,-1.5998792756078075,-1.5325001697986171,-1.5812116265175205,-1.5420305073922373,-4.597364073193952,-4.448990699186194,-11.577351897804462,54,0.0631
-1.6292824292294092,-1.559503594159557,-1.5964744425470307,-1.5495306742486257,-1.5835549429976454,-1.5570880050670877,-4.237687356947095,-4.096760684000214,-12.079820816056127,57,0.0525
-1.5849544590415632,-1.48089800414295,-1.5477067098077772,-1.4729148438341235,-1.5566451035161255,-1.5065815436036953,-5.513993791536806,-5.225586453708302,-7.81470600872518,27,0.1096
-1.6307423582086114,-1.5886919827832062,-1.6120741677892907,-1.5829352706311255,-1.6007793244279713,-1.5839920643073817,-2.8997315764716363,-2.8439062172822753,-11.305398165322122,232,0.0251
-1.601882990991844,-1.4664225804808335,-1.5549038541762934,-1.446365793461564,-1.5453138192342224,-1.4790088700196797,-5.024221153787378,-4.692177179226129,-5.863303907359661,84,0.1585
-1.5920966144109037,-1.4846620128940733,-1.5507066153105566,-1.472586766546484,-1.5520801342921584,-1.5045802027970718,-5.429740177633907,-5.157658660834384,-8.346469357852992,226,0.1096
-1.517874882342592,-1.3926680000890452,-1.494855810907761,-1.3776913357859555,-1.5229233816763257,-1.4508828514309138,-3.926280779993366,-3.5648358093781494,-3.682733316134419,116,0.2291
-1.4690905694371088,-1.3581363014952017,-1.4645439991260656,-1.3350257707940247,-1.5116207497492626,-1.425132668219661,-2.9733449030550316,-2.5748518623046435,-2.0761233666615557,180,0.3311
-1.632177928540996,-1.597248761484055,-1.6155951151044325,-1.5914641718242706,-1.6118485415704793,-1.6001661681616912,-2.7433638240476763,-2.695405418422259,-10.46538117788802,13,0.0209
-1.6207058053330181,-1.5483112782938708,-1.5902087440362664,-1.5408991067630546,-1.5812375797252523,-1.5495293493455198,-4.154456105690627,-4.027806167976484,-12.34978625499456,149,0.0525
-1.6233336187536311,-1.4964006808251675,-1.5683226672006936,-1.476061542300614,-1.5487838963718221,-1.4934007616025489,-5.279221629896631,-4.988382198549453,-7.251028025414182,184,0.1318
-1.6383161173099348,-1.5776655567135736,-1.6113061777089,-1.5697059896436427,-1.5979582928908473,-1.5747470669169987,-3.459112067527115,-3.3766841229247477,-12.289737591215761,215,0.0363
-1.6302059640376987,-1.5393956841899892,-1.5943573856909012,-1.5303723093504833,-1.5767505586745996,-1.5450944663989712,-4.596659664561178,-4.440492828876649,-11.663328832346824,139,0.0631
-1.605166751466409,-1.4848284548348767,-1.5656397920065999,-1.4754115765822795,-1.5571398907647431,-1.5067665451413457,-5.357961376696586,-5.095787151127083,-8.470927681980708,98,0.1096
-1.6531534853318564,-1.5283162418482965,-1.6042850393193808,-1.5132068019599787,-1.569901902881217,-1.5270458286765125,-5.133319045165526,-4.917469465690338,-9.801951080010465,52,0.0912
-1.629178237143733,-1.5664670522771007,-1.6020073461516529,-1.558330395087361,-1.5895260849603887,-1.5931297750592845,-3.8483305496398206,-3.7439181570141296,-12.42044539403207,14,0.0437
-1.636085721710303,-1.563520404289333,-1.602291808249153,-1.5540058214726133,-1.5838286557460524,-1.5624022331190832,-4.088530114725052,-3.9697986228384665,-12.431655088029983,36,0.0525
-1.595078219681425,-1.457914654564665,-1.5544236880009057,-1.440232184156745,-1.5447758114240242,-1.4889020909540196,-5.143418734286543,-4.824786748098638,-5.809046282001142,178,0.1585
-1.615285692698134,-1.5401473010167668,-1.5856606639309048,-1.534990240237152,-1.5799741965316079,-1.5423832056851545,-4.268767933568938,-4.120776044089039,-12.1810083404554,77,0.0525
-1.6105438134074646,-1.589491530611569,-1.6016447892736003,-1.5876845638537753,-1.599090202208618,-1.5917882786431192,-2.356101308743936,-2.3179542108718563,-8.520153015950749,170,0.0145
-1.6285174686135908,-1.503459000910414,-1.580543684051751,-1.4885065609257901,-1.5567996071395946,-1.5070931752954417,-5.394632780118532,-5.121845551182309,-8.554346693873665,146,0.1096
-1.4470524083380596,-1.3234174785113553,-1.4566655762924745,-1.3013165319535094,-1.50400097240727,-1.411714605265852,-2.586837657951478,-2.2353120376189017,-1.8467674140435593,224,0.3981
-1.4257682696223233,-1.3321192004472622,-1.4372922570714153,-1.3042408150902487,-1.496768971847596,-1.397290571547199,-2.3916138067059665,-2.2545968160530347,-1.8963384328324933,189,0.3981
-1.6293425074744725,-1.5845853363311748,-1.6114989715210375,-1.5801421897703698,-1.6104174492187873,-1.582516145830466,-2.9827628834309223,-2.9235196953912532,-11.136664830465948,87,0.0251
-1.3261624179987421,-1.2340635218754004,-1.360814303603173,-1.2097581073308523,-1.4775252568065709,-1.3539190513122408,-2.0700238100182426,-1.8180726114405419,-1.4889838152940986,196,0.6918
-1.6210790790364533,-1.4841383977513083,-1.5743536264196347,-1.4626952654228693,-1.5517562560151095,-1.4960286331805783,-4.932842653272195,-4.614503399153432,-5.787760945263724,117,0.1585
-1.316634959570579,-1.2178961184820116,-1.3531001018981024,-1.19730545324866,-1.4763427046386222,-1.3619954654100317,-2.095061767282905,-1.8354490324625683,-1.5189148539455983,63,0.6918
-1.6437799367672326,-1.554407450250717,-1.6082945401040427,-1.5456713346027382,-1.5826613180519706,-1.547689217755439,-4.069559538870312,-3.946878324694841,-12.622572862115023,112,0.0525
-1.6175477674384513,-1.5820865110117757,-1.6009067375823107,-1.577170467120437,-1.6035131419338389,-1.5793228309275729,-2.894295228487763,-2.831028672157455,-11.657712452779448,74,0.0251
-1.616534653505803,-1.5039417347140198,-1.5760446413678413,-1.4938485417489065,-1.563739699656949,-1.5217052577614452,-5.224154309421469,-4.990533179835174,-9.592905284323646,98,0.0912
-1.6357858784877792,-1.539016239248207,-1.5935068560056955,-1.5251831099403501,-1.5753277518065347,-1.5390307725492853,-4.908913934284123,-4.727411166438566,-10.862190643189413,166,0.0759
-1.6288598936648764,-1.579787819503062,-1.6039129399202852,-1.5721561442700782,-1.5903044926841456,-1.5768270340530541,-3.5543152706649157,-3.4573064287659308,-12.274310210474981,120,0.0363
-1.6311037361501586,-1.5546763233591692,-1.6042848636052225,-1.5493398199778756,-1.5870043585347637,-1.5551133972719804,-3.8042977181638373,-3.7102328333588095,-12.500178217155248,123,0.0437
-1.6240174766206972,-1.570174924414993,-1.5995729690417817,-1.564373060262341,-1.587762943540401,-1.5712852338101782,-3.5863258379896954,-3.4937275147036306,-12.079847537324351,203,0.0363
-1.587644254473939,-1.4432394704286093,-1.547426904955458,-1.4288665405906549,-1.5422617049884026,-1.4718384114657166,-5.10415175659119,-4.775546315515929,-5.790571711906954,186,0.1585
-1.5924748188586455,-1.4660858276036066,-1.5515556908229529,-1.4549076032971575,-1.5510829121884917,-1.5012626280553856,-5.265363616093027,-4.970043771165485,-7.345151237607971,201,0.1318
-1.6191318819439546,-1.577526797350555,-1.6013885185324908,-1.5736697212319521,-1.6007015687916213,-1.5763038174960224,-2.937941285593845,-2.8766773695866643,-11.39894666539879,118,0.0251
-1.6110663667093792,-1.5946619903036725,-1.6033309126370718,-1.592963413686378,-1.5997251946583397,-1.59365823290558,-2.181014244628133,-2.150550277323597,-7.648662287995258,33,0.0120
-1.6311905544414096,-1.545662731239326,-1.5935752055256431,-1.5355095740186286,-1.5762385608576739,-1.5600221787735449,-4.535844044664021,-4.370803152614613,-11.874442987592134,96,0.0631
-1.6205472307231272,-1.5941925160679222,-1.607472903046375,-1.5901417909294504,-1.6012736675797967,-1.5913539020917449,-2.481812624989911,-2.442247200512615,-9.508278196370822,141,0.0174
-1.5471440493018713,-1.408664739443832,-1.5218775088835326,-1.3911433662359172,-1.533708199862514,-1.4751444869207877,-4.19306632348851,-3.82071116002092,-3.7891172163942515,101,0.2291
-1.5121699227808796,-1.3954558283636054,-1.4972059437443614,-1.3723297503155159,-1.533395571999329,-1.4476138162973826,-3.53380723334607,-3.164069422630938,-2.9092760751895823,23,0.2754
-1.6341554712842894,-1.5478483978061166,-1.6009218981981288,-1.5395208583211302,-1.5855065686853185,-1.5489047132833829,-4.130487354407885,-4.000436746542556,-12.487182887704096,66,0.0525
-1.5504735236410203,-1.4388421041163229,-1.520544691182628,-1.4206706980284405,-1.538264766316578,-1.4615669043350223,-4.454863045414596,-4.111805401192677,-5.020224160559228,137,0.1905
-1.6303429089400552,-1.5487038245352394,-1.5973409701481378,-1.5416262222361408,-1.5919724652812919,-1.5518890323022223,-4.363592364370661,-4.374597284018357,-11.994978156003429,67,0.0525
-1.3674316369570596,-1.2804054243055034,-1.382426812619607,-1.258258401782917,-1.4900818778445466,-1.3853397033276968,-2.419995128536345,-2.0600623243917373,-1.6197368288698795,30,0.4786
-1.6250829850624942,-1.5503907092175113,-1.5932009598052355,-1.5427152920996479,-1.5816803696424133,-1.554216788414249,-4.31681127455837,-4.1792418994544756,-11.981538161052516,73,0.0525
-1.3257203693542885,-1.2478481648507496,-1.3637009841054784,-1.221626745099337,-1.4556247952903754,-1.3717661361254594,-2.0779865716889887,-1.8236550092925026,-1.490907239931968,118,0.6918
-1.6389277312444257,-1.541278519673632,-1.5946833725428284,-1.5278164687245805,-1.5766046364887922,-1.5406997738751855,-4.909670547883614,-4.720295509127889,-10.849175941329886,153,0.0759
-1.61811133881075,-1.5052408634554502,-1.5733824680672464,-1.4901574936467328,-1.566396886175155,-1.5107457660058625,-5.3132776931003285,-5.064288108895704,-8.411100711565417,206,0.1096
-1.6146743850615959,-1.6004041140493654,-1.6078202897017702,-1.598421022967785,-1.6066216744475823,-1.6148251460244434,-2.098211103020735,-2.073486722390839,-6.71468746084548,132,0.0100
-1.6310247013593298,-1.5619700431883614,-1.6032248773703024,-1.5554703518736532,-1.5931435482544873,-1.5652909272647353,-3.820298746053135,-3.7121358496745116,-12.465322799801667,128,0.0437
-1.42246464211,-1.3076884758433476,-1.4302309189577291,-1.2839972632168997,-1.4955087550169381,-1.4148867510178862,-2.5970263916791616,-2.2219171260113533,-1.7283040905804832,90,0.3981
-1.4644239237966161,-1.353282447502041,-1.4617855650744283,-1.3285110739041195,-1.5250294199933891,-1.421582032451641,-3.0427518697413287,-2.6626042284750904,-2.1984258552961573,51,0.3311
-1.3246593703334362,-1.2395824050412423,-1.3590495788255346,-1.2120796350265641,-1.4401745830063248,-1.3545652504204857,-2.079187999525295,-1.828521489773452,-1.5403953977803848,60,0.6918
-1.6417945527457183,-1.533821402284505,-1.595449040908846,-1.5176737768933972,-1.5778883087735676,-1.5323018021905883,-4.990823516709357,-4.774509958270553,-10.247964171285446,41,0.0912
-1.5837577469126272,-1.4798790958044876,-1.5426128203053704,-1.462359491730756,-1.5535703428091736,-1.4970115436233578,-5.453758529876045,-5.132252429542079,-6.769686675708245,234,0.1318
-1.629319170485678,-1.581189566643475,-1.604445124168529,-1.5728453285284247,-1.5915709362207464,-1.5899257327734935,-3.4285649612507756,-3.342762161671562,-12.513460296870926,231,0.0363
-1.4561906526098591,-1.3681026497770903,-1.453175068705697,-1.3365456651268612,-1.4985743148433495,-1.4400767793284934,-2.8594165517378367,-2.466498579643106,-2.125282209542671,97,0.3311
-1.6323622795895185,-1.5868894649607141,-1.6114681873441734,-1.5809098698112047,-1.5972766148745168,-1.5803919949635916,-2.935323882907239,-2.8768453223786943,-11.425768196503897,56,0.0251
-1.6247579631290312,-1.5323613386747412,-1.5865101631197218,-1.5216246948371583,-1.5731318362992863,-1.5324829361310175,-4.957094066142393,-4.771976391100172,-10.705642008243476,157,0.0759
-1.6315366346662967,-1.581998394496821,-1.60927574514637,-1.5756865571242111,-1.602049929173403,-1.5952868356751784,-3.2282345315909096,-3.1512076718427284,-11.83199773003579,244,0.0302
-1.4005962825930303,-1.3094930022412847,-1.4179500917103038,-1.283768337584804,-1.4781307907148864,-1.3880128973226908,-2.288229342925829,-1.9515455929304317,-1.6566249401688249,165,0.4786
-1.6052539215908015,-1.5041617656030262,-1.562783057513787,-1.4890125982858984,-1.5615712738187388,-1.5152474704423529,-5.380334735059758,-5.1280133809483806,-8.404896087475652,239,0.1096
-1.6036749916075657,-1.4720127602084432,-1.5604770520009659,-1.445134603863182,-1.5446291372608218,-1.4797943780610998,-4.628191123814321,-4.292272146663102,-4.843576280493108,61,0.1905
