newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,train,rep
-1.2095623855542272,-1.1017396828384134,-1.2520117468807783,-1.08625674491297,-1.330302838956494,-1.2138796459543482,-1.971219514443021,-1.925436135390012,-1.4746069346054438,0.47863009232263826,5
-1.329123712878855,-1.2491040701303315,-1.373355801978167,-1.22544350507394,-1.4674026198598809,-1.3528988914751368,-2.01213032694024,-1.796174097275418,-1.4890685255418046,0.15848931924611134,212
-1.3890131872293328,-1.3974482232197447,-1.417873503040244,-1.3430438162480838,-1.4808650637456928,-1.3753544819413537,-2.2190524806324663,-1.898406359492395,-1.8761398358314236,0.09120108393559097,23
-1.6272483911060729,-1.5587677111022045,-1.5880044741376635,-1.5398444906120567,-1.5938726182289682,-1.5478424492627467,-4.123846798429933,-3.9259826058591822,-10.912726330879932,0.014454397707459272,192
-1.59824049626402,-1.5156627626910668,-1.5684398392996204,-1.5079072925477008,-1.572702790675402,-1.5240360694035573,-4.179424125645823,-3.975594888819448,-10.720988253335758,0.014454397707459272,25
-1.2318097666683316,-1.1197603013382105,-1.2744918813501298,-1.106340816347363,-1.338394288728831,-1.2865564061834431,-1.9480899466802608,-1.9394557115486544,-1.480444850963088,0.5754399373371569,100
-1.244478781061257,-1.1277287194741423,-1.288219144754854,-1.114762064091343,-1.3627805804514797,-1.2587618913342504,-1.9245853464965443,-1.8980313853714488,-1.484099098032604,0.5754399373371569,215
-1.237949636474427,-1.1294631386438123,-1.2831764938041497,-1.1196689933567985,-1.3584004017203772,-1.256678036287846,-1.9340953703719408,-1.868378776529976,-1.4787765625713447,0.3981071705534973,209
-1.2852073769265753,-1.208616270947391,-1.326170156220332,-1.1822545308291956,-1.4254136286442038,-1.3172327575728533,-2.010825121452194,-1.83603286366927,-1.4818943512085547,0.22908676527677735,199
-1.4736356010331146,-1.4140425381788653,-1.4525562338833005,-1.3741311017317144,-1.50095812315672,-1.4234540474825332,-3.3707859301849727,-2.918761759276515,-3.311487741225209,0.05248074602497726,237
-1.207686717864373,-1.0995022642057923,-1.2567465795786867,-1.0785702978092089,-1.3614360557791914,-1.2333323456894738,-1.9943768030925928,-1.9090899582767171,-1.4701914470476327,0.3981071705534973,9
-1.3812483541715508,-1.3228393514736536,-1.4082793006908307,-1.2872837256069574,-1.488674860634954,-1.3483377021897949,-2.131956750214278,-1.8328959788536103,-1.5512375176099709,0.1096478196143185,32
-1.1801140501257994,-1.0346916966998667,-1.2256474637111296,-1.0278370879464105,-1.30632611842309,-1.1969523040447978,-1.9841134865409733,-1.948457552877704,-1.4657546206821233,0.5754399373371569,78
-1.6825062335262857,-1.539546441618061,-1.61759453592323,-1.5139174340306716,-1.5835500198589738,-1.538354156629039,-4.428050750989415,-4.2058088419595085,-8.979656768679844,0.020892961308540396,163
-1.270688626251421,-1.1892084525053772,-1.3142512489093316,-1.1613966457029874,-1.400416484558993,-1.2950492957111257,-1.98990117616982,-1.8298121824138052,-1.4786439238376348,0.22908676527677735,108
-1.5583482507495985,-1.4525395758450077,-1.5234193545042765,-1.4188589295168612,-1.53145549446037,-1.4735198380786951,-3.6428678137961152,-3.26362180472362,-3.40956926256753,0.04365158322401661,238
-1.602295031045124,-1.457640164126329,-1.5597271461355944,-1.4277382220606205,-1.5661707808854397,-1.4660719640658146,-4.077027726190735,-3.73591533260664,-4.592605569635377,0.03630780547701014,246
-1.231615709855183,-1.1167816879350478,-1.2745205952456715,-1.100705187699233,-1.3415397642220308,-1.2351190526441542,-1.954883135853002,-1.9076230891481956,-1.4791752708923205,0.47863009232263826,118
-1.655380077508799,-1.55264345163059,-1.60097690277627,-1.523975327537771,-1.5720118000314702,-1.5305170818783005,-4.283783891615244,-4.058062168574243,-9.42216480163704,0.020892961308540396,201
-1.6174718674570228,-1.5147363159160687,-1.5749501229989546,-1.462882123557273,-1.5472512415741482,-1.5051886999810915,-3.7340047923152873,-3.407980037990217,-4.275986738658421,0.04365158322401661,99
-1.1783082258568909,-1.034692437787594,-1.225461415405751,-1.0272540291395356,-1.2977722984418174,-1.2096403633559,-1.9923863122113503,-1.953075468436681,-1.4642736256594162,0.5754399373371569,62
-1.185355831843385,-1.06150827024327,-1.2307897272680286,-1.0434215025851985,-1.3608063682905491,-1.2108299995009493,-1.9983791707757057,-1.9201720796456403,-1.4658104950761155,0.3981071705534973,78
-1.6455258328166509,-1.5275668046952562,-1.5938744074819753,-1.4988283059389187,-1.5595549249876968,-1.5195514932200118,-4.417413678189441,-4.149127024754881,-7.863923512576616,0.025118864315095794,217
-1.5988946210246593,-1.4815591123100678,-1.5560038313829343,-1.453815138780582,-1.546610263955282,-1.5030250949757762,-4.487567373305018,-4.186182031064392,-5.968091757513306,0.03019951720402016,129
-1.644038815256648,-1.5467591207778253,-1.596922354666606,-1.5255638362140953,-1.603854121230642,-1.5357829841726522,-4.296651856565894,-4.092724145184403,-9.99562925232858,0.017378008287493755,117
-1.595113499649957,-1.503750946886716,-1.5589962968872833,-1.4881616548354444,-1.5548139911972132,-1.5350453237249604,-4.375868595929156,-4.145392415813501,-9.112038523180136,0.020892961308540396,69
-1.6415844756722933,-1.5365300405927145,-1.5925311032635132,-1.5236395739108357,-1.5752756386997866,-1.558061142637772,-4.111247837452013,-3.949610863104784,-10.915827221580368,0.014454397707459272,98
-1.6266901062036347,-1.564526991008552,-1.5905804244523123,-1.549241286994932,-1.584944017234418,-1.5534677138355972,-3.470391346195129,-3.3143766781118025,-13.085966657848694,0.012022644346174132,96
-1.5984254479778393,-1.4893161068336518,-1.5521728418572762,-1.4747895341814452,-1.551785510300003,-1.5067220014796117,-4.512876001775743,-4.232286149416147,-8.874153200539071,0.020892961308540396,15
-1.6346756612446678,-1.558768258845294,-1.5880321420178216,-1.535944755651366,-1.575098946659904,-1.5743437552289512,-4.312542040531498,-4.085097037466275,-10.17093421639356,0.017378008287493755,167
