newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,train,rep
-4.974043142051634,-5.624532995225831,-4.926670500026247,-5.138165427053743,-4.732216248729813,-4.727454180905222,-5.443505338757102,-5.072303283911501,-4.712381256809153,0.47863009232263826,5
-4.977586489088209,-5.677532504925855,-4.916218424533183,-5.167299340560553,-4.7156049312553545,-4.705651099146331,-5.418514239083141,-5.0537879873762686,-4.7102326084511565,0.15848931924611134,212
-4.932129773605212,-5.581671515614106,-4.881612267939652,-5.0973279687499,-4.70536605725134,-4.716613181693525,-5.506392843463314,-5.128944793814281,-4.741593315092758,0.09120108393559097,23
-4.9764468738123,-5.6367530456878825,-4.923331185672694,-5.134452422106426,-4.754777034525033,-4.753531985558339,-5.44742485080168,-5.065938328445622,-4.704413987726437,0.014454397707459272,192
-4.978499720245029,-5.625091310344977,-4.923326059128944,-5.155927831369682,-4.757969827064337,-4.673926927646573,-5.518713650488374,-5.137817601010678,-4.752211757643912,0.014454397707459272,25
-4.931847098325405,-5.519607771552843,-4.885825098495573,-5.052050443887486,-4.694100833718936,-4.6641668975120885,-5.420689568034704,-5.050824617714956,-4.703178823528853,0.5754399373371569,100
-4.991919314902054,-5.690002089158644,-4.941204712618022,-5.185471735861734,-4.719806368832062,-4.729075740106517,-5.381380129814094,-5.030012340533321,-4.715639047043017,0.5754399373371569,215
-4.987359762161663,-5.651092433902199,-4.942789331049568,-5.14438936636424,-4.739664791823932,-4.700724415479427,-5.478214863018992,-5.113291108173781,-4.734550045266399,0.3981071705534973,209
-4.91592556363434,-5.644421111411202,-4.877065429677896,-5.140630702975533,-4.730495883861154,-4.6849416363344405,-5.423274775577997,-5.060253697415447,-4.721561920893246,0.22908676527677735,199
-4.964111467098005,-5.679283048945776,-4.905615967901423,-5.176987629553189,-4.709607180156131,-4.684995548197866,-5.399346857442714,-5.026211315589775,-4.700547327911792,0.05248074602497726,237
-5.103881394013299,-5.79981187533237,-5.026118938881585,-5.288948620285168,-4.719546270419736,-4.712744524497011,-5.560712380114932,-5.163666020153145,-4.855364160605188,0.3981071705534973,9
-4.942016213345728,-5.594901900390194,-4.890812222598398,-5.100488635942295,-4.719903165728432,-4.685069742189633,-5.522131014544022,-5.099913990786296,-4.731913792700159,0.1096478196143185,32
-4.974471357932059,-5.625994392208975,-4.922446524585022,-5.13382032558941,-4.743267159736499,-4.707372848879908,-5.4308557392677885,-5.064902856090128,-4.724409285509641,0.5754399373371569,78
-4.973387476716663,-5.612742283871715,-4.919275561286363,-5.125846067371446,-4.740713210674557,-4.6821435762543695,-5.408750037433754,-5.048359083557818,-4.711066701928745,0.020892961308540396,163
-5.030693130352182,-5.724349383396793,-4.96550592646119,-5.200909495140113,-4.758010506342314,-4.712980057560932,-5.428620980291849,-5.065115863025907,-4.747772329736077,0.22908676527677735,108
-5.062370451890018,-5.71215699519228,-5.017821681098453,-5.225139776902752,-4.73520244891606,-4.669741651826656,-5.4631486582271735,-5.11851241344542,-4.81507350417774,0.04365158322401661,238
-4.958722147109516,-5.6284570397706775,-4.901213819054754,-5.11712816459886,-4.726432250941157,-4.721593917832557,-5.415787257008684,-5.044083241096148,-4.709000848097521,0.03630780547701014,246
-4.985789720078658,-5.663478798805103,-4.926575155620159,-5.163790410981096,-4.726298598981051,-4.662912797847572,-5.417538646870445,-5.049234247567189,-4.734856802531678,0.47863009232263826,118
-4.951713196400526,-5.62983365628558,-4.91133774032976,-5.131975132996946,-4.720062799003882,-4.732697742446668,-5.46959064313996,-5.082698360694935,-4.70836927499828,0.020892961308540396,201
-4.95860300405688,-5.584878123154201,-4.920283739614522,-5.108732465541258,-4.724474511679935,-4.692817895051468,-5.466856258669405,-5.096058163555086,-4.731098626745529,0.04365158322401661,99
-4.916799450252112,-5.577369584013368,-4.871467669914312,-5.080797048998087,-4.709253210611389,-4.68965461058255,-5.42829631614076,-5.060032613853279,-4.692107093026583,0.5754399373371569,62
-4.960348680740744,-5.611161263824148,-4.902938640709371,-5.123521690761884,-4.741451953857779,-4.728458867454545,-5.396635295732517,-5.0394338748261305,-4.717180274589493,0.3981071705534973,78
-4.959854141600408,-5.695058473739867,-4.89670716230642,-5.174439001669412,-4.706458752449586,-4.759818184019561,-5.4100383804374825,-5.030341902189006,-4.707620382597526,0.025118864315095794,217
-4.953905095844731,-5.6544116314958375,-4.896708707550913,-5.141402007007714,-4.714077756897871,-4.694921923106413,-5.42297868306417,-5.050549996038115,-4.701233517667995,0.03019951720402016,129
-4.958101504692495,-5.6424486476489175,-4.907355287786297,-5.136393114216706,-4.717285309768113,-4.713881991338512,-5.392366189420063,-5.055116016470314,-4.713366756601987,0.017378008287493755,117
-5.069515937876444,-5.733703611074626,-5.029941527170125,-5.245450104719842,-4.727712116442506,-4.689226900286061,-5.489179334287348,-5.120714242642702,-4.819095099814893,0.020892961308540396,69
-4.937051700225931,-5.613064527059453,-4.896621916090597,-5.109502215472759,-4.719491017357173,-4.707595611311335,-5.421310271215204,-5.054045263914288,-4.704000207619409,0.014454397707459272,98
-4.985160461304107,-5.725906290298108,-4.917051856284968,-5.214709525036392,-4.716010291445471,-4.7418496993270285,-5.460731309051112,-5.088650771591687,-4.762373139493851,0.012022644346174132,96
-4.928180254725725,-5.628432529056252,-4.870703700299709,-5.124082101891316,-4.722839716341874,-4.688095701506605,-5.462339770877138,-5.054651120792514,-4.68844825143429,0.020892961308540396,15
-4.98802323690411,-5.603127610681895,-4.943316282221061,-5.1305416573278455,-4.707329861101556,-4.69344565612043,-5.470671233413965,-5.087650496338713,-4.748941275289704,0.017378008287493755,167
-4.882533895450512,-5.510563855680651,-4.838003794091686,-5.039470350836469,-4.777292297432961,-4.659670952164391,-5.470957472668434,-5.074191612602581,-4.68628823549669,0.47863009232263826,167
-4.964649885199339,-5.666919008949548,-4.904577036384506,-5.152723436582559,-4.710546337481101,-4.664154680059467,-5.512917645787359,-5.129787366780978,-4.7518295082690525,0.22908676527677735,164
-5.051717164904954,-5.723601411821636,-5.005961204243973,-5.220736025262439,-4.755307458828465,-4.714602379932214,-5.401270507954139,-5.047357404903545,-4.754977401420416,0.1096478196143185,223
-5.027872094564521,-5.71939324883647,-4.98234148344883,-5.224940887330331,-4.710785626556064,-4.676562892225166,-5.446102596213736,-5.098939934632707,-4.782265102771111,0.03019951720402016,197
-5.034719941450711,-5.697008588343542,-4.990879972347692,-5.206133207614564,-4.724230202745957,-4.695757828450863,-5.431413564725996,-5.075515254635182,-4.794726641174399,0.3981071705534973,58
-5.018927923302115,-5.694774036433973,-4.961905354733466,-5.19824121674928,-4.75493198625106,-4.688065620618217,-5.44552667677398,-5.061796334752453,-4.740636373164306,0.2754228703338166,218
-4.921412187680307,-5.613811666386402,-4.872101995366662,-5.100750586766106,-4.726915019583821,-4.6962448254804245,-5.50082738190543,-5.113780821891228,-4.713926774926135,0.04365158322401661,247
-5.026346981593171,-5.750026702660598,-4.971788159688403,-5.237377961927858,-4.730302285170941,-4.749186810607436,-5.51374360308838,-5.107618001932677,-4.747803194812002,0.19054607179632474,38
-4.925622141694399,-5.6607902493388975,-4.864542749214314,-5.133406167380061,-4.730089560192783,-4.716168547194266,-5.420738036060478,-5.049532532891177,-4.693899256038967,0.8317637711026709,160
-5.037712221841346,-5.6983165341365725,-4.990571942965091,-5.200739233366405,-4.747997204200565,-4.676726405471155,-5.448599600773211,-5.077897678329904,-4.7782545965578045,0.8317637711026709,84
-5.014015264250396,-5.725227825290263,-4.964308399188413,-5.21263612142248,-4.728532215647065,-4.7144773925781385,-5.521063085448476,-5.15371138694596,-4.784044178051835,0.01,109
-4.980286247211599,-5.578925909966492,-4.930915523342055,-5.116108836596718,-4.693333833853173,-4.7368482240616485,-5.518333442851906,-5.10945581537547,-4.765616240725749,0.06309573444801933,11
-5.038986115968619,-5.782037190840384,-4.968762280834529,-5.245098254046054,-4.709514789609935,-4.691720880091089,-5.450852362808591,-5.061712013208969,-4.737159818605505,0.01,125
-4.937217226449976,-5.651032316168661,-4.884316709474304,-5.150840121068478,-4.706064885813277,-4.727843787408537,-5.419919906552272,-5.051050503258752,-4.702389913739573,0.012022644346174132,71
-5.010960466563376,-5.693852634621397,-4.957692463855363,-5.183317492184566,-4.721136719973523,-4.714742294259959,-5.475327076201467,-5.11528717483241,-4.745701853503797,0.04365158322401661,187
-4.9931445272060735,-5.61597919876889,-4.941437991255947,-5.142755043612957,-4.7150718485483285,-4.692867411803126,-5.505207520055833,-5.124307726647743,-4.764044480056649,0.15848931924611134,95
-4.959288216756013,-5.617566799267103,-4.919019159775813,-5.128365220311029,-4.699150282538139,-4.690086293077826,-5.425137324357836,-5.068593506844073,-4.697078695582162,0.3981071705534973,153
-4.9398527569421455,-5.609821269416113,-4.900399289449837,-5.115980161601465,-4.69667124461415,-4.730969905592086,-5.412642446424259,-5.045177615363824,-4.695984167060212,0.5754399373371569,147
-4.964111788448741,-5.634797856021781,-4.904681309331204,-5.129613727379978,-4.753576356318916,-4.686322196098217,-5.419123914255168,-5.059246026111699,-4.715184296328986,0.47863009232263826,157
-5.003340177347089,-5.708430529238774,-4.947637444529509,-5.186488752790316,-4.77184110943487,-4.706954420245365,-5.429760421189164,-5.062090986901231,-4.733905696962806,0.1096478196143185,108
-4.963219006344769,-5.721925875264628,-4.911312870256401,-5.2091139979097045,-4.722875816360738,-4.744525167101801,-5.451807213433279,-5.0863574034238574,-4.7283304945358005,0.06309573444801933,96
-5.02819778335101,-5.823211337625323,-4.9617319310188135,-5.285411995016344,-4.755609544246374,-4.69098752783776,-5.482378107264652,-5.087106929858796,-4.78943924420909,0.1096478196143185,221
-4.94936012993343,-5.654423461694398,-4.89492386562486,-5.138797657338325,-4.751666021984261,-4.711478628809205,-5.423585576508861,-5.070151315997055,-4.706381739372613,0.2754228703338166,154
