HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
-1.71308,-1.32435,-1.6429,-1.33134,1000,29763,8,1,37
-1.39327,-1.0923,-1.337,-1.09235,1000,100000,6,1,28
-1.37543,-1.06681,-1.31852,-1.06754,1000,100000,6,1,11
-0.444,-0.444,-0.444,-0.444,1000,11288,2,1,3
-0.873597,-0.88724,-0.873938,-0.888834,1000,23357,4,0,12
-1.34826,-1.45994,-1.36163,-1.5071,1000,2636,8,0,10
-1.02237,-0.860322,-0.987464,-0.860655,1000,61584,4,1,45
-1.33985,-1.35807,-1.34024,-1.36311,1000,29763,10,0,17
-1.12989,-1.14711,-1.1308,-1.1507,1000,29763,6,0,30
-0.829262,-0.850109,-0.829904,-0.85344,1000,18329,4,0,30
-1.9883,-1.60404,-1.90961,-1.65335,1000,4281,10,1,23
-1.87606,-1.38855,-1.79718,-1.39044,1000,29763,10,1,28
-1.99864,-1.56796,-1.91483,-1.60545,1000,3359,10,1,14
-1.08638,-1.22638,-1.09731,-1.25415,1000,1000,4,0,42
-1.31313,-1.35766,-1.31347,-1.36989,1000,11288,8,0,22
-1.66664,-1.24997,-1.59397,-1.25133,1000,100000,8,1,20
-0.873998,-0.929529,-0.876578,-0.93511,1000,5455,4,0,30
-0.867364,-0.888884,-0.86777,-0.891247,1000,14384,4,0,32
-1.05093,-0.917536,-1.01594,-0.924856,1000,14384,4,1,15
-1.64977,-1.247,-1.57659,-1.25975,1000,14384,8,1,0
-1.39888,-1.11786,-1.34151,-1.12191,1000,11288,6,1,43
-1.81478,-1.55623,-1.74493,-1.60526,1000,1274,8,1,11
-1.84764,-1.30768,-1.76294,-1.30853,1000,100000,10,1,7
-0.813549,-0.828351,-0.81445,-0.829982,1000,29763,4,0,49
-1.87503,-1.36947,-1.7953,-1.37133,1000,37926,10,1,42
-1.38876,-1.08832,-1.33337,-1.0893,1000,100000,6,1,33
-0.522651,-0.522651,-0.522651,-0.522651,1000,4281,2,0,14
-1.45006,-1.2759,-1.40047,-1.30238,1000,2069,6,1,11
-1.65905,-1.265,-1.59081,-1.26818,1000,18329,8,1,13
-0.895217,-0.904581,-0.89598,-0.907293,1000,37926,4,0,38
-1.12729,-1.15648,-1.12815,-1.16347,1000,18329,6,0,5
-1.4438,-1.46451,-1.44369,-1.46986,1000,18329,10,0,42
-1.4016,-1.42877,-1.40268,-1.43824,1000,18329,10,0,35
-0.434832,-0.434832,-0.434832,-0.434832,1000,23357,2,1,28
-1.8107,-1.50204,-1.72207,-1.53887,1000,1623,8,1,11
-1.34199,-1.43306,-1.3486,-1.47682,1000,2636,8,0,4
-0.422157,-0.422157,-0.422157,-0.422157,1000,78475,2,1,41
-0.5856,-0.5856,-0.5856,-0.5856,1000,1623,2,1,3
-0.440868,-0.440868,-0.440868,-0.440868,1000,29763,2,0,17
-1.39807,-1.10823,-1.34291,-1.1097,1000,78475,6,1,23
-0.412676,-0.412676,-0.412676,-0.412676,1000,48329,2,0,11
-1.00212,-0.855682,-0.969736,-0.857107,1000,48329,4,1,5
-2.1195,-1.78574,-2.05475,-1.87817,1000,1000,10,1,16
-1.94518,-1.56869,-1.85732,-1.62018,1000,2636,10,1,24
-0.930307,-1.03763,-0.937708,-1.0567,1000,3359,4,0,22
-0.978653,-0.820594,-0.944912,-0.821392,1000,100000,4,1,7
-1.13277,-1.26834,-1.14324,-1.31836,1000,2636,6,0,43
-0.494976,-0.494976,-0.494976,-0.494976,1000,8858,2,0,13
-1.05327,-0.94662,-1.0241,-0.955912,1000,11288,4,1,36
-1.0086,-0.850277,-0.974779,-0.850135,1000,100000,4,1,48
-1.92142,-1.48027,-1.84983,-1.48616,1000,29763,10,1,5
-1.39925,-1.11893,-1.3452,-1.11975,1000,48329,6,1,28
-1.23957,-1.39668,-1.25079,-1.43915,1000,1000,6,0,32
-1.42181,-1.62268,-1.43622,-1.69465,1000,1274,8,0,12
-1.9317,-1.47333,-1.85887,-1.47537,1000,61584,10,1,18
-0.424848,-0.424848,-0.424848,-0.424848,1000,61584,2,1,32
-1.02186,-0.901808,-0.987915,-0.91605,1000,5455,4,1,0
-1.124,-1.20892,-1.12521,-1.23661,1000,4281,6,0,37
-1.03691,-0.898349,-1.00213,-0.907381,1000,8858,4,1,33
-1.09314,-0.969266,-1.05693,-0.980405,1000,5455,4,1,35
-1.0054,-0.853512,-0.972096,-0.854374,1000,48329,4,1,4
-1.93894,-1.46102,-1.86057,-1.46578,1000,29763,10,1,18
-1.29267,-1.35,-1.29485,-1.36964,1000,8858,8,0,31
-0.589386,-0.589386,-0.589386,-0.589386,1000,1274,2,1,2
-0.859708,-0.867129,-0.860047,-0.868938,1000,37926,4,0,48
-0.416678,-0.416678,-0.416678,-0.416678,1000,100000,2,0,32
