HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
-10.3925,-13.7915,-10.4161,-14.9413,1000,29763,8,1,37
-6.32136,-8.35476,-6.33468,-8.59962,1000,100000,6,1,28
-6.30597,-8.31869,-6.31852,-8.5821,1000,100000,6,1,11
-0.444,-0.444,-0.444,-0.444,1000,11288,2,1,3
-2.09186,-2.1511,-2.0937,-2.16214,1000,23357,4,0,12
-7.84491,-8.8322,-7.92815,-9.35191,1000,2636,8,0,10
-2.9279,-3.58925,-2.93358,-3.67765,1000,61584,4,1,45
-10.6114,-11.1165,-10.6157,-11.4426,1000,29763,10,0,17
-4.56903,-4.70908,-4.57349,-4.76443,1000,29763,6,0,30
-2.06024,-2.14368,-2.06342,-2.1679,1000,18329,4,0,30
-15.037,-18.1629,-15.0719,-21.3989,1000,4281,10,1,23
-14.8515,-19.7198,-14.874,-21.4672,1000,29763,10,1,28
-15.1954,-17.9611,-15.2433,-21.2608,1000,3359,10,1,14
-2.7019,-2.93079,-2.74767,-3.01761,1000,1000,4,0,42
-7.51707,-8.10279,-7.52526,-8.44062,1000,11288,8,0,22
-10.3516,-14.2695,-10.3734,-14.8604,1000,100000,8,1,20
-2.12925,-2.33738,-2.14658,-2.38262,1000,5455,4,0,30
-2.09467,-2.19181,-2.09986,-2.21393,1000,14384,4,0,32
-2.96427,-3.51856,-2.97325,-3.74211,1000,14384,4,1,15
-10.3479,-13.1687,-10.3607,-14.7658,1000,14384,8,1,0
-6.37824,-7.85725,-6.3955,-8.63841,1000,11288,6,1,43
-10.996,-11.7981,-11.0888,-13.6311,1000,1274,8,1,11
-14.817,-20.6256,-14.8373,-21.5607,1000,100000,10,1,7
-1.99678,-2.05426,-1.99838,-2.05998,1000,29763,4,0,49
-14.8439,-19.7962,-14.8681,-21.2503,1000,37926,10,1,42
-6.31059,-8.2972,-6.32232,-8.53524,1000,100000,6,1,33
-0.522651,-0.522651,-0.522651,-0.522651,1000,4281,2,0,14
-6.55036,-7.16145,-6.61668,-8.03888,1000,2069,6,1,11
-10.3704,-13.4219,-10.3956,-14.8602,1000,18329,8,1,13
-2.13231,-2.17339,-2.13451,-2.18465,1000,37926,4,0,38
-4.48515,-4.72443,-4.48912,-4.8356,1000,18329,6,0,5
-10.8393,-11.4446,-10.8442,-11.8282,1000,18329,10,0,42
-10.7551,-11.4154,-10.7634,-11.8587,1000,18329,10,0,35
-0.434832,-0.434832,-0.434832,-0.434832,1000,23357,2,1,28
-10.8736,-11.6708,-10.9213,-13.4617,1000,1623,8,1,11
-7.64121,-8.78773,-7.69392,-9.2706,1000,2636,8,0,4
-0.422157,-0.422157,-0.422157,-0.422157,1000,78475,2,1,41
-0.5856,-0.5856,-0.5856,-0.5856,1000,1623,2,1,3
-0.440868,-0.440868,-0.440868,-0.440868,1000,29763,2,0,17
