HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
0.840074,0.840074,0.840074,0.840074,1000,4641,2,0,0
0.977171,0.808249,0.975177,0.800164,1000,2782,8,0,3
0.890096,0.758147,0.889547,0.757643,1000,1668,4,0,3
0.984501,0.799311,0.981001,0.793282,1000,2782,10,0,4
0.957115,0.740347,0.951355,0.732449,1000,1668,8,0,3
0.924977,0.713804,0.919303,0.705796,1000,1668,6,0,3
0.962944,0.739632,0.958696,0.729533,1000,1668,8,0,1
0.598424,0.598398,0.598383,0.598428,1000,1668,2,0,2
0.9004,0.9004,0.9004,0.9004,1000,7742,2,0,1
0.985342,0.865987,0.982965,0.863046,1000,4641,8,0,3
0.988548,0.921559,0.986187,0.915157,1000,7742,6,0,2
0.975762,0.810089,0.97291,0.798164,1000,2782,8,0,1
0.962114,0.828672,0.957932,0.82382,1000,2782,6,0,1
0.900913,0.900913,0.900913,0.900913,1000,7742,2,0,0
0.780328,0.631216,0.776489,0.631947,1000,1000,4,0,3
0.976567,0.804549,0.973017,0.796776,1000,2782,8,0,4
0.948658,0.598564,0.937986,0.593,1000,1000,10,0,4
0.973697,0.707674,0.970471,0.700003,1000,1668,10,0,4
0.884698,0.633729,0.876731,0.620791,1000,1000,6,0,4
0.989755,0.867156,0.987895,0.860812,1000,4641,10,0,3
0.976352,0.930047,0.974276,0.92556,1000,7742,4,0,4
0.936998,0.739943,0.929836,0.738712,1000,1668,6,0,0
0.795211,0.621048,0.790988,0.621281,1000,1000,4,0,4
0.99129,0.865348,0.98983,0.863695,1000,4641,10,0,0
0.736567,0.736567,0.736567,0.736567,1000,2782,2,0,1
0.961639,0.890807,0.960094,0.887078,1000,4641,4,0,3
0.976448,0.737856,0.971508,0.726204,1000,1668,10,0,0
0.949275,0.608742,0.94125,0.612207,1000,1000,10,0,2
0.987792,0.929393,0.986472,0.925336,1000,7742,6,0,0
0.986482,0.868569,0.983712,0.863413,1000,4641,8,0,4
0.993108,0.92264,0.991891,0.916442,1000,7742,8,0,0
0.960714,0.883387,0.957181,0.879177,1000,4641,4,0,1
0.981329,0.794692,0.977634,0.787347,1000,2782,10,0,1
0.503945,0.50349,0.503486,0.503652,1000,1000,2,0,3
0.937422,0.831926,0.934404,0.830019,1000,2782,4,0,0
0.71584,0.715843,0.715843,0.71584,1000,2782,2,0,0
