HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
0.646058,0.646058,0.646058,0.646058,1000,4641,2,0,0
0.8717,0.617918,0.866138,0.609381,1000,2782,8,0,3
0.708993,0.560392,0.70828,0.559544,1000,1668,4,0,3
0.895536,0.607624,0.884164,0.601762,1000,2782,10,0,4
0.827363,0.548873,0.814338,0.540601,1000,1668,8,0,3
0.768492,0.523916,0.761225,0.516649,1000,1668,6,0,3
0.835708,0.547323,0.825742,0.538286,1000,1668,8,0,1
0.420004,0.419988,0.419972,0.420008,1000,1668,2,0,2
0.723752,0.723752,0.723752,0.723752,1000,7742,2,0,1
0.897181,0.68408,0.888288,0.680276,1000,4641,8,0,3
0.908833,0.760705,0.899888,0.749986,1000,7742,6,0,2
0.869237,0.6198,0.86161,0.607023,1000,2782,8,0,1
0.833133,0.636873,0.825333,0.631812,1000,2782,6,0,1
0.723495,0.723495,0.723495,0.723495,1000,7742,2,0,0
0.587011,0.44987,0.582923,0.450066,1000,1000,4,0,3
0.870927,0.614318,0.860348,0.605257,1000,2782,8,0,4
0.807007,0.425654,0.789526,0.422258,1000,1000,10,0,4
0.863399,0.523856,0.853946,0.517193,1000,1668,10,0,4
0.710102,0.454154,0.700853,0.443271,1000,1000,6,0,4
0.915171,0.685878,0.907471,0.679027,1000,4641,10,0,3
0.867852,0.769161,0.862146,0.762462,1000,7742,4,0,4
0.785105,0.547612,0.773341,0.545113,1000,1668,6,0,0
0.599275,0.441453,0.595239,0.440633,1000,1000,4,0,4
0.921025,0.685822,0.914591,0.683383,1000,4641,10,0,0
0.540228,0.540228,0.540228,0.540228,1000,2782,2,0,1
0.831996,0.711163,0.827584,0.705489,1000,4641,4,0,3
0.868921,0.549502,0.855768,0.53841,1000,1668,10,0,0
0.809061,0.435868,0.794867,0.438066,1000,1000,10,0,2
0.905401,0.770362,0.901101,0.763696,1000,7742,6,0,0
0.901898,0.689662,0.892468,0.682246,1000,4641,8,0,4
0.928444,0.764148,0.922446,0.754527,1000,7742,8,0,0
