ho_likelihood,hol_likelihood,std_likelihood
-17.411780609637574,-25.518410934101684,-18.538429751544847
-17.49801864817009,-25.568481302276087,-15.48115883373272
-21.097074736986844,-27.258140038126715,-21.173748467603957
-17.590722090039904,-26.353001641362106,-15.655955375050855
-17.716979517228044,-25.17956664348637,-14.229894857394603
-16.895474400732546,-27.863790295791055,-17.579462348987185
-16.558144528520284,-29.49421210458733,-16.102223995246234
-16.04699152009168,-24.701421823274362,-15.483834150347269
-19.445691211978186,-28.169350585139032,-21.367924968425456
-26.74520139956123,-30.371613280622547,-29.8623446521458
-22.148423207254258,-28.117169588491222,-21.29413278011587
-20.241550439143335,-25.026677817516155,-19.19551049184553
-12.117969996581484,-24.338381543834096,-12.033418054269683
-22.105262026151596,-27.025952042718774,-22.049084017297922
-20.30397388271301,-28.84212516757891,-21.505273548071447
-15.341193657002663,-22.30341997338872,-16.002450736100005
-13.669812450095563,-23.041472581983356,-14.061188717618919
-13.17093829842878,-27.386165646160407,-10.541146233095967
-19.126074890918268,-23.14833950752109,-19.387010900991633
-14.860418957136986,-25.472432986915376,-11.504875009660596
-18.395422071069085,-25.115215045928252,-16.14727334633533
-19.359484224136285,-31.664528356662558,-18.761444716606796
-20.444169385404173,-29.00978019881091,-21.659189025739177
-17.89209092674824,-25.994246459339607,-17.594158060506384
-30.20695318062297,-27.205061356072196,-31.23082684651822
-21.90023426348279,-29.853311000465915,-22.592083440029242
-15.999262372905495,-28.218479894093782,-17.507748188253288
-17.1053582263194,-29.646220807209307,-16.623073649551127
-33.80120968456267,-35.67688981256948,-37.83807325715273
-21.782908748776617,-29.52628589551373,-19.814300572193336
-22.075879458943742,-26.939108130743705,-20.616867342587124
-16.776886472840854,-22.93087140982732,-15.684979924570134
-18.3527456832812,-24.416391612490873,-16.650114692154585
-15.365617517765141,-23.084605916505286,-10.197657714639945
-21.8437470505789,-27.14437303352781,-23.45573417894301
-28.92874998053814,-28.930308477004797,-29.628439370969787
-21.79615376766157,-27.863598347986844,-20.778680735088397
-26.793429790873713,-30.880471164222918,-25.619096515802262
-16.397952073793494,-25.78586987911167,-16.44471405366849
-15.086533648228977,-27.100798395376668,-11.275306675671207
-14.833385694504129,-28.572559878806388,-13.195853300710393
-22.923912218705937,-28.05314711605243,-22.039467561902782
-25.042952586570568,-26.146704896796813,-26.78336384135885
-10.075403358803005,-20.867484285824244,-8.375821713863427
-23.195583802308022,-28.557086956169154,-26.146341073538995
-18.83979395451174,-29.391378842749834,-19.718614293285377
-27.091115215962244,-25.906948969150932,-26.532856921234636
-15.99955233061925,-21.212514986056142,-16.889115382142812
-18.466069776166805,-29.723852162483006,-18.9599349597659
-21.64684211153445,-24.97426263557573,-21.514096006089492
-19.69005710945292,-28.584703134148768,-17.564883512854166
-19.41950128901447,-30.642296759492634,-18.984984206243627
-15.976601654757319,-24.72010354398401,-12.932390204348435
-22.78183780428498,-26.54307933751429,-23.632676962962098
-24.044201433336703,-26.706115780542255,-27.66871271997628
-10.35032615624897,-24.88288945656406,-8.219383960449019
-13.808207255925169,-19.768977521464624,-17.219616113841585
-13.130675455213144,-22.585496616003066,-13.780286811099653
-18.592011316140145,-25.143817219135165,-18.174776625166697
-19.626249138768976,-25.471799492542697,-18.727757178209792
-18.655552449161473,-22.405407382538225,-16.391881645020778
-24.687142732203796,-26.32454220232276,-24.428838430383603
-14.356152636650082,-25.42058630864885,-14.738898665800727
-16.525575595514038,-27.4490419785258,-14.832067054305421
-35.25413717737017,-31.507026935675253,-35.96263580988198
-19.442781304321148,-28.626968804567166,-23.163708300062055
-22.489032441053773,-28.76992342159937,-23.23396374212502
-16.64638715216142,-30.890830021936797,-15.061897230181286
-20.057421834391743,-27.40391793022735,-25.08417736131082
-23.011864636498423,-29.928922463372526,-24.008399759343774
-18.74829553368121,-24.54333755834427,-21.447659393494384
-21.686504644433036,-24.12460792040521,-22.002978222897042
-18.690555055610645,-26.17357061117319,-19.176561477644704
-21.068777270573605,-23.845753216506655,-19.934798712717306
-11.918806266423578,-28.90875810329507,-12.064189923909911
-23.87738777298826,-30.590434978021158,-23.255498155359856
-17.871912627843084,-29.536665244949635,-19.284331230823515
-18.762669812101233,-27.0670397718901,-17.84483816526468
-17.05591510746682,-28.082081204502074,-15.633437063394956
-23.417440865713665,-28.358258704569874,-23.767740676982505
-15.27364946375405,-25.167261435728136,-12.930266933095112
-13.294370551686644,-26.060391347760692,-13.428942621214734
-18.259895059336277,-28.23960679661526,-17.686529421356198
-22.031165643912964,-28.621070221929866,-22.83249312780316
-19.407130230870525,-22.624356897157064,-19.656352405745007
-21.903748502864676,-23.603681877842664,-26.247275589144976
-23.69432426555395,-28.076079572774596,-27.991892503395164
-23.778456553213296,-26.98713851851086,-24.29895746441319
-20.023615810560013,-26.72010121126292,-20.0499333520048
-16.9117774282062,-28.963977881581272,-16.77866762067549
-29.225665824275314,-29.662276898208464,-31.210663704441636
-15.686066465376593,-26.369622595385533,-14.886279679197541
-26.26924684613138,-30.492082268360754,-28.6174041258017
-15.266074443071844,-23.92754857144829,-14.666158395308313
-16.932432748508557,-21.41550559549202,-14.655970552170228
-20.3414761226967,-26.10571973051163,-21.94272279996466
-22.322195341256858,-29.13470607706925,-24.16404552967097
-19.70131864831531,-21.77635847061815,-19.530130030805296
-23.856904627710975,-29.81161127274509,-24.63305242186505
-17.21836261388809,-27.71664495920573,-14.422002475393684
-24.03818567368272,-25.202257289659208,-26.334866479176043
-19.643170187114666,-29.350515971911094,-16.701451720373313
-24.53621679567002,-26.60649407818675,-25.810342185392987
-15.923380758614142,-27.714031032681802,-15.711488701449047
-23.264855187501418,-26.924420287865363,-26.45153466663116
-21.543823901865057,-28.12598785487921,-22.197720409379194
-18.51426505613648,-24.150597867528912,-19.30823489913205
-19.578892865568225,-27.311384121203293,-19.48179451340008
-17.596556016773025,-25.695053802369202,-17.151400934015506
-15.975475781956353,-26.2442972212578,-15.58669695823634
-20.481745893393185,-31.816387914705725,-20.611628048830173
-24.500587960328517,-27.729177660826625,-21.635867397478812
-19.611260126352242,-30.233942917915723,-18.432094870120707
-19.350022321090147,-24.282137333132486,-22.328030894643913
-19.98945516969051,-25.15738437179916,-24.313103961127496
-25.749442063443023,-31.20760383260225,-25.926153085131375
-21.400401572307167,-29.094746899950348,-19.274678927708703
-25.82145167789462,-27.268914770200553,-26.631480741854652
-14.281878078112983,-23.096012105594866,-12.09041419240233
-16.61470060230521,-27.70337416002546,-15.859107874889025
-21.0359033660211,-27.062359525733147,-20.191482542169382
-17.163065350224198,-30.972700204714645,-16.61301344706775
-15.988975363199154,-24.820258981096373,-19.8747631383415
-23.289948781524526,-26.961427274242027,-24.13981256576015
-15.553366405824628,-27.739047243084123,-14.185556558886633
-14.26277617216311,-23.81904054079628,-12.587315943746468
-20.04117718494221,-23.490339509838762,-23.077524796648603
-16.06339571176199,-24.90609696808588,-14.029446514034522
-7.593120642335164,-21.822228186618094,-5.143625840191028
-19.89725420389436,-28.93430843150073,-19.361979966353534
-13.702960644746998,-24.15070895397135,-12.29615595053261
-20.74319047377164,-22.999492477866895,-18.409304913722977
-22.840512471976535,-30.114004351462537,-21.261686774415992
-16.331652194607475,-25.987497139879686,-12.610130091330731
-23.18627329780171,-27.146789271652175,-23.938067437384902
-22.08461697240868,-27.241299186064442,-22.014481680918113
-23.23295102982601,-25.33138350124079,-24.671200669764804
-16.3566166210085,-25.994830310972038,-16.235822694813347
-10.696713594206624,-24.11162411467438,-7.888597613689255
-22.849245643782638,-24.878602045080484,-23.40508491016813
-21.82915493192331,-28.42671102161608,-20.80985603455547
-12.508538984672208,-24.864051653080768,-12.332116152433326
-19.156833531102876,-30.604239746058184,-16.366370696834018
-15.769093508471972,-26.927077443831216,-15.900867941051356
-19.443810279406556,-24.850251090166974,-18.296593179985283
