std,stdl,ho,hol,point,spring_rank,N,M,K1,K2,rep
-3.875837522722985,-3.910363526603961,-3.847133450148751,-3.8752302366522335,-26.247881038975194,-3.785250025612093,1000,64,4,5,17
-3.7173756348246507,-3.7492753537489016,-3.705570844373777,-3.752213684892439,-32.55360365248812,-4.902636240199553,1000,64,4,5,0
-11.655497260680944,-11.65360054620361,-11.533705488207564,-11.674519938522879,-79.63730426285659,-11.62665494132462,1000,64,8,9,12
-1.058196855315647,-1.0807431611419245,-1.0618426554398406,-1.0841221640302545,-6.914648522014861,-1.0524582749636961,1000,64,2,3,6
-11.720725502258313,-13.013109104873726,-11.708572302500748,-12.49209284518106,-13.99165749135569,-13.54975988922001,1000,16384,10,11,1
-10.098750783538703,-11.186986868859092,-10.083771937789885,-10.653050480314748,-12.066258282279366,-11.70965382237678,1000,16384,9,10,18
-15.682160808147625,-15.70135208471089,-15.566139044582371,-15.82221245022991,-113.63231521705059,-15.907627332108426,1000,64,10,11,13
-11.74831561762368,-13.113570195786387,-11.736556054922492,-12.547831920804924,-13.980579939152321,-13.546103468626725,1000,16384,10,11,3
-3.7668753596145477,-3.8035089061719636,-3.747482975985747,-3.7957823333917298,-20.92693582202154,-3.815642990796711,1000,64,4,5,3
-9.994280960537738,-10.981417173698492,-9.984360272439488,-10.532334029169524,-12.001847397633282,-11.653815877114424,1000,16384,9,10,0
-16.697022960775023,-16.610534700442372,-15.952169585117174,-16.227699968306897,-111.50039802018324,-15.876260637025695,1000,64,10,11,14
-8.142180901410294,-7.957042692252738,-7.806844800452168,-7.832318024462851,-62.24311367268394,-7.588666184972324,1000,64,6,7,12
-10.017991034973083,-10.99845863834126,-10.009415937998824,-10.551687045835745,-12.03924904821806,-11.738277792479243,1000,16384,9,10,13
-10.019987674658914,-10.971307902143561,-10.010161264403942,-10.54553807478394,-12.009764166182977,-11.777840813675992,1000,16384,9,10,5
-11.400953971232855,-11.352902910350869,-11.145159238958065,-11.357216773293354,-92.1026925771595,-11.253127886754507,1000,64,8,9,7
-17.43585563974552,-16.458223733408623,-16.257630207005878,-16.37888215348344,-87.88013366482836,-16.371842329461284,1000,64,10,11,0
-12.24396818129593,-12.510019106120406,-11.628968422070425,-12.175716337047227,-89.68612521133595,-11.484386222358893,1000,64,8,9,6
-1.2721810414309422,-1.2679824974642289,-1.2789026616945809,-1.2763275060103387,-10.523817939531265,-1.2233431977885705,1000,64,2,3,11
-10.585389139805272,-11.087882675502366,-10.44384473863704,-11.093602201454091,-71.39866173612673,-10.929656019147586,1000,64,8,9,18
-3.697750850300809,-3.886196970023899,-3.7083443858500837,-3.86874224303172,-20.885535277181052,-3.8232024122266455,1000,64,4,5,19
