prop_ho_greater_std,prop_hol_greater_std,N,M,K1,K2,rep,model
0.42924528301886794,0.1280323450134771,1000,7419,10,11,6,ho
0.34782608695652173,0.43478260869565216,1000,689,8,9,4,hol
0.2691486115349405,0.4018919743667989,1000,16384,2,3,8,hol
0.6206896551724138,0.5517241379310345,1000,141,10,11,40,ho
0.3744278303326213,0.3973146170277693,1000,16384,2,3,22,ho
0.20689655172413793,0.2413793103448276,1000,141,2,3,15,hol
0.4568733153638814,0.08557951482479785,1000,7419,12,13,32,ho
0.3888140161725067,0.21361185983827494,1000,7419,6,7,21,ho
0.28125,0.3392857142857143,1000,3360,6,7,12,hol
0.2826086956521739,0.2246376811594203,1000,689,4,5,13,ho
0.32142857142857145,0.17559523809523808,1000,3360,6,7,0,ho
0.3492063492063492,0.47619047619047616,1000,312,8,9,34,hol
0.6153846153846154,0.5384615384615384,1000,64,12,13,20,ho
0.37398921832884097,0.1967654986522911,1000,7419,6,7,24,ho
0.38461538461538464,0.3076923076923077,1000,64,6,7,32,hol
0.3793103448275862,0.5172413793103449,1000,141,10,11,17,hol
0.25573770491803277,0.4163934426229508,1000,1521,10,11,36,hol
0.3169642857142857,0.15029761904761904,1000,3360,6,7,3,ho
0.15384615384615385,0.38461538461538464,1000,64,8,9,49,hol
0.39732142857142855,0.375,1000,3360,2,3,39,hol
0.2857142857142857,0.23809523809523808,1000,312,6,7,32,ho
0.2857142857142857,0.38095238095238093,1000,312,2,3,7,ho
0.41304347826086957,0.5072463768115942,1000,689,8,9,17,hol
0.3968253968253968,0.30158730158730157,1000,312,2,3,11,ho
0.28125,0.34970238095238093,1000,3360,6,7,41,hol
0.36507936507936506,0.4603174603174603,1000,312,4,5,49,hol
0.29508196721311475,0.35737704918032787,1000,1521,8,9,7,hol
0.26885245901639343,0.3475409836065574,1000,1521,8,9,2,hol
0.5384615384615384,0.3076923076923077,1000,64,8,9,41,ho
0.4461397619774184,0.24839792493133964,1000,16384,6,7,40,ho
0.6551724137931034,0.4827586206896552,1000,141,12,13,9,ho
0.21544095209032652,0.3967043027158987,1000,16384,6,7,9,hol
0.4482758620689655,0.1464754348489472,1000,16384,12,13,31,ho
0.380327868852459,0.35081967213114756,1000,1521,2,3,33,ho
0.39732142857142855,0.35119047619047616,1000,3360,2,3,42,hol
