newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.5055,0.5285,0.4885,0.3165,0.3165,0.3275,0.3275,0.3335,553
0.5165,0.5005,0.485,0.318,0.318,0.3345,0.3345,0.326,762
0.485,0.493,0.4885,0.309,0.309,0.311,0.311,0.31,106
0.497,0.4935,0.4925,0.3125,0.3125,0.3285,0.3285,0.3175,544
0.484,0.497,0.491,0.31,0.31,0.3195,0.3195,0.3325,234
0.4905,0.5015,0.484,0.3195,0.3195,0.3225,0.3225,0.332,465
0.5175,0.481,0.513,0.3275,0.3275,0.329,0.329,0.334,746
0.494,0.4935,0.5045,0.315,0.315,0.323,0.323,0.326,806
0.495,0.5085,0.5005,0.3065,0.3065,0.3335,0.3335,0.319,193
0.4935,0.5145,0.492,0.32,0.32,0.341,0.341,0.328,124
0.4945,0.489,0.478,0.3215,0.3215,0.339,0.339,0.339,264
0.5125,0.5085,0.5055,0.334,0.334,0.3405,0.3405,0.3345,316
0.497,0.5085,0.512,0.2935,0.2935,0.309,0.309,0.3095,239
0.5075,0.5005,0.482,0.312,0.312,0.3225,0.3225,0.3285,241
0.4875,0.502,0.49,0.309,0.309,0.317,0.317,0.313,789
0.502,0.508,0.493,0.313,0.313,0.3375,0.3375,0.3225,250
0.5125,0.4935,0.5085,0.314,0.314,0.326,0.326,0.33,343
0.518,0.508,0.4975,0.308,0.308,0.327,0.327,0.322,986
0.4995,0.509,0.5065,0.307,0.307,0.3185,0.3185,0.313,159
0.5185,0.51,0.499,0.3285,0.3285,0.338,0.338,0.3325,482
0.5025,0.508,0.493,0.3175,0.3175,0.342,0.342,0.33,841
0.5025,0.501,0.505,0.3045,0.3045,0.3155,0.3155,0.314,775
0.4895,0.484,0.502,0.318,0.318,0.331,0.331,0.332,867
0.4705,0.498,0.502,0.304,0.304,0.315,0.315,0.3195,671
0.5205,0.5015,0.5065,0.3235,0.3235,0.343,0.343,0.334,667
0.4925,0.482,0.485,0.3085,0.3085,0.3195,0.3195,0.3175,111
0.4965,0.4885,0.487,0.305,0.305,0.3235,0.3235,0.3175,342
0.4815,0.529,0.5185,0.316,0.316,0.327,0.327,0.3135,990
0.4985,0.497,0.5055,0.3095,0.3095,0.335,0.335,0.32,140
0.498,0.495,0.492,0.33,0.33,0.3365,0.3365,0.3365,760
0.495,0.503,0.499,0.309,0.309,0.333,0.333,0.321,640
0.5105,0.5325,0.4975,0.326,0.326,0.3275,0.3275,0.327,6
0.488,0.503,0.4955,0.3355,0.3355,0.348,0.348,0.341,722
0.485,0.4855,0.4985,0.303,0.303,0.314,0.314,0.3235,910
0.509,0.5015,0.488,0.3065,0.3065,0.3155,0.3155,0.3185,852
0.4975,0.504,0.497,0.298,0.298,0.3075,0.3075,0.317,410
0.5115,0.5055,0.4945,0.299,0.299,0.3025,0.3025,0.307,249
