newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.332,0.6175,0.3185,0.291,0.3145,0.248,0.2525,0.2805,553
0.3455,0.628,0.324,0.2785,0.2935,0.232,0.2505,0.2805,762
0.3575,0.595,0.344,0.2885,0.311,0.246,0.256,0.2855,106
0.35,0.6205,0.3295,0.283,0.313,0.253,0.257,0.284,544
0.3465,0.623,0.328,0.308,0.33,0.2715,0.274,0.307,234
0.34,0.619,0.314,0.2885,0.312,0.2625,0.2605,0.285,465
0.3395,0.616,0.32,0.29,0.3205,0.2515,0.26,0.2855,746
0.348,0.61,0.3345,0.308,0.3265,0.252,0.271,0.2965,806
0.309,0.6355,0.3005,0.267,0.304,0.254,0.248,0.271,193
0.346,0.6255,0.325,0.285,0.3215,0.246,0.2555,0.2875,124
0.336,0.6365,0.3155,0.279,0.314,0.2405,0.249,0.273,264
0.3425,0.6145,0.3205,0.2965,0.3255,0.2515,0.2515,0.283,316
0.3505,0.631,0.335,0.2915,0.3185,0.2485,0.2635,0.2965,239
0.3425,0.633,0.316,0.2865,0.316,0.2585,0.2635,0.2815,241
0.3385,0.608,0.324,0.289,0.3285,0.2635,0.2665,0.2905,789
0.3575,0.6335,0.3365,0.299,0.323,0.254,0.2675,0.297,250
0.356,0.6175,0.337,0.2855,0.3205,0.24,0.2565,0.288,343
0.3425,0.611,0.325,0.2985,0.3235,0.264,0.2735,0.295,986
0.348,0.639,0.3305,0.2865,0.3135,0.231,0.2405,0.2745,159
0.338,0.6325,0.319,0.279,0.2985,0.2335,0.2375,0.2705,482
0.3575,0.608,0.3475,0.2825,0.3205,0.2555,0.2605,0.2805,841
0.3515,0.621,0.333,0.2925,0.3145,0.258,0.26,0.2865,775
0.36,0.6195,0.3465,0.298,0.3245,0.2655,0.2635,0.2935,867
0.357,0.6325,0.3355,0.2915,0.3175,0.257,0.266,0.2905,671
0.3525,0.6095,0.346,0.31,0.3215,0.2735,0.2695,0.304,667
0.349,0.6305,0.33,0.28,0.3095,0.253,0.254,0.281,111
