newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
-1.2930118247178817,-1.185649016148809,-1.337162853933298,-1.1658128757652653,-1.4370837818579918,-1.3238745872490143,-2.029519539880564,-1.8058569927985728,-1.5237037609246966,553
-1.2737268651914706,-1.173646135973125,-1.319668671366224,-1.1581914745410404,-1.4412627590624238,-1.3164655039437805,-2.0506342769693524,-1.8199385102149976,-1.4699268528382041,762
-1.2825756022386667,-1.2192722623103587,-1.3175636707135718,-1.1842786375956107,-1.4502414921366216,-1.3471404375087963,-2.0789528582598606,-1.835081051155859,-1.4749530372458226,106
-1.295688801497412,-1.2055986118541944,-1.3397477759639083,-1.1838217534887667,-1.4571776730780115,-1.322636989253004,-2.032820491132889,-1.8135243046921028,-1.5148310209105023,544
-1.3113367792423107,-1.2247202735920308,-1.345829307477165,-1.20110395615481,-1.4444817026418795,-1.3358548712982437,-2.062135364131639,-1.8273053368164118,-1.4955541654571285,234
-1.2859158504364745,-1.195975781044177,-1.3279530548712162,-1.1715140783732028,-1.4457827112714898,-1.3416560824288504,-2.0480078913921824,-1.8112579296638678,-1.476616340226135,465
-1.2801428727413167,-1.1921634846880438,-1.3171059076291234,-1.1647062428801296,-1.432196099670996,-1.3343485556390382,-2.0603974082268905,-1.8220259116600688,-1.472818556448658,746
-1.2946002982690683,-1.21986317979325,-1.3321098580587947,-1.19429087232128,-1.428313930925137,-1.331403086748227,-2.0327273015358958,-1.7914499199505556,-1.4762746028034663,806
-1.307230741475008,-1.1813402835481424,-1.346131788847502,-1.1660139342865896,-1.448439981240897,-1.3246704200464483,-2.0427444737039466,-1.815299885759481,-1.491710649023781,193
-1.269296222861499,-1.175666309963264,-1.3151357032632383,-1.1580212030130026,-1.4240331049081085,-1.305213507317093,-2.0560770804508235,-1.8166531601464624,-1.4704643905137917,124
-1.2729933034225691,-1.1688260726058721,-1.3149680229539917,-1.1508520583788504,-1.4404669635931637,-1.3062569890486657,-2.0522478715778143,-1.816363674457243,-1.4737326274629694,264
-1.2813054339226133,-1.2008325458555977,-1.3215211244960947,-1.1740149702789076,-1.4411492665253887,-1.322096655006363,-2.0528857652830834,-1.8215586904108896,-1.476044061137918,316
-1.299376229124213,-1.2032277801172562,-1.3420155004929653,-1.187294448886346,-1.4625413605418713,-1.3380234699653317,-2.0563987357156104,-1.8336320820651417,-1.4921240059870784,239
-1.2977446166829376,-1.2027383537750047,-1.3426280059585551,-1.1841701722718472,-1.4504285073493917,-1.3511335805747544,-2.0274310837055487,-1.8063535471863688,-1.5031560747609887,241
-1.310929979607024,-1.2312457458952455,-1.3498038654683524,-1.1981648869038868,-1.4607129231452636,-1.3094517646007908,-2.0343628289604636,-1.794594223492846,-1.479499770770255,789
-1.2785340564312384,-1.2011466697239241,-1.3200417996756446,-1.1807674412782703,-1.4392829303212813,-1.3327354358413577,-2.0477382142892386,-1.7942853849121574,-1.4727654831426151,250
