BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,rep
-0.4755964100638521,-0.4755964100638521,-0.4755964100638521,-0.4755964100638521,-0.5806640353738821,-0.5806640353738821,-1.101736567539175,-1.101736567539175,-0.6302478365706206,553
-0.4543623837280386,-0.4543623837280386,-0.4543623837280386,-0.4543623837280386,-0.5700387910612846,-0.5700387910612846,-1.1433856424478237,-1.1433856424478237,-0.6258057402419106,762
-0.47645296213178,-0.47645296213178,-0.47645296213178,-0.47645296213178,-0.5766080720652149,-0.5766080720652149,-1.0914447139683228,-1.0914447139683228,-0.6297650762533421,106
-0.4788623792256117,-0.4788623792256117,-0.4788623792256117,-0.4788623792256117,-0.571815588017202,-0.571815588017202,-1.1000569470647823,-1.1000569470647823,-0.630216568564869,544
-0.4635247408454278,-0.4635247408454278,-0.4635247408454278,-0.4635247408454278,-0.5738622323423103,-0.5738622323423103,-1.12088623981004,-1.12088623981004,-0.6256281729298913,234
-0.454668872839359,-0.454668872839359,-0.454668872839359,-0.454668872839359,-0.5588956686848868,-0.5588956686848868,-1.0710860799577306,-1.0710860799577306,-0.6239672571089578,465
-0.4604428089614695,-0.4604428089614695,-0.4604428089614695,-0.4604428089614695,-0.5672943795427892,-0.5672943795427892,-1.1045719570490729,-1.1045719570490729,-0.626161152928717,746
-0.4964865793077802,-0.4964865793077802,-0.4964865793077802,-0.4964865793077802,-0.5743929623313139,-0.5743929623313139,-1.0901622715671295,-1.0901622715671295,-0.63169561694024,806
-0.4833785509067667,-0.4833785509067667,-0.4833785509067667,-0.4833785509067667,-0.5867383062845845,-0.5867383062845845,-1.0559159240531304,-1.0559159240531304,-0.6287937130115199,193
-0.4747365676903372,-0.4747365676903372,-0.4747365676903372,-0.4747365676903372,-0.5708093285649999,-0.5708093285649999,-1.0985827595571291,-1.0985827595571291,-0.6291086375403677,124
-0.4732866738247719,-0.4732866738247719,-0.4732866738247719,-0.4732866738247719,-0.5755996206093275,-0.5755996206093275,-1.0879991393577035,-1.0879991393577035,-0.6296142498349726,264
-0.4548431563809072,-0.4548431563809072,-0.4548431563809072,-0.4548431563809072,-0.587210040702622,-0.587210040702622,-1.0970469293030882,-1.0970469293030882,-0.6249255625388215,316
-0.4609402421946678,-0.4609402421946678,-0.4609402421946678,-0.4609402421946678,-0.5834405305323314,-0.5834405305323314,-1.1119515209045092,-1.1119515209045092,-0.6267009720118706,239
-0.4630008965652224,-0.4630008965652224,-0.4630008965652224,-0.4630008965652224,-0.5816087967256944,-0.5816087967256944,-1.0899201934366467,-1.0899201934366467,-0.6293968109020888,241
-0.4580229651628965,-0.4580229651628965,-0.4580229651628965,-0.4580229651628965,-0.5649083253505418,-0.5649083253505418,-1.1225454065247389,-1.1225454065247389,-0.6266644973848025,789
-0.468165957123504,-0.468165957123504,-0.468165957123504,-0.468165957123504,-0.5701100393828235,-0.5701100393828235,-1.1154454786855776,-1.1154454786855776,-0.6264168731361492,250
-0.4613636523832431,-0.4613636523832431,-0.4613636523832431,-0.4613636523832431,-0.56388735664136,-0.56388735664136,-1.1195272291580216,-1.1195272291580216,-0.624162035992804,343
-0.4517450255924337,-0.4517450255924337,-0.4517450255924337,-0.4517450255924337,-0.5756187761200017,-0.5756187761200017,-1.1218255635634329,-1.1218255635634329,-0.6259690728458916,986
-0.4687973945667537,-0.4687973945667537,-0.4687973945667537,-0.4687973945667537,-0.5642671451790393,-0.5642671451790393,-1.1099438348315631,-1.1099438348315631,-0.6268582844738771,159
-0.4626002759964241,-0.4626002759964241,-0.4626002759964241,-0.4626002759964241,-0.5761053981655264,-0.5761053981655264,-1.0729830976268493,-1.0729830976268493,-0.626946036149754,482
-0.472850626629119,-0.472850626629119,-0.472850626629119,-0.472850626629119,-0.5666202611823287,-0.5666202611823287,-1.1159458903750168,-1.1159458903750168,-0.6274045488311659,841
-0.4950845684914734,-0.4950845684914734,-0.4950845684914734,-0.4950845684914734,-0.586680789999252,-0.586680789999252,-1.0970389504623073,-1.0970389504623073,-0.6291114470740871,775
-0.4735694029891198,-0.4735694029891198,-0.4735694029891198,-0.4735694029891198,-0.5805749766608863,-0.5805749766608863,-1.0873239821448928,-1.0873239821448928,-0.630275075851748,867
-0.4587315297829363,-0.4587315297829363,-0.4587315297829363,-0.4587315297829363,-0.5684485602062691,-0.5684485602062691,-1.1007120677031,-1.1007120677031,-0.6261511740727904,671
-0.4515725745417686,-0.4515725745417686,-0.4515725745417686,-0.4515725745417686,-0.5602458159375836,-0.5602458159375836,-1.132417446084119,-1.132417446084119,-0.6260104301566126,667
-0.4866708087482951,-0.4866708087482951,-0.4866708087482951,-0.4866708087482951,-0.5888220098235748,-0.5888220098235748,-1.119996332079365,-1.119996332079365,-0.6296549266535706,111
-0.4653267850558157,-0.4653267850558157,-0.4653267850558157,-0.4653267850558157,-0.5669731111552467,-0.5669731111552467,-1.1130440821369247,-1.1130440821369247,-0.6260650027060428,342
-0.4607665398314088,-0.4607665398314088,-0.4607665398314088,-0.4607665398314088,-0.5736683634371457,-0.5736683634371457,-1.102355461539786,-1.102355461539786,-0.6284629363982445,990
-0.4557249959669318,-0.4557249959669318,-0.4557249959669318,-0.4557249959669318,-0.5760527492768683,-0.5760527492768683,-1.110330141386801,-1.110330141386801,-0.6239228428902719,140
-0.4587262575683778,-0.4587262575683778,-0.4587262575683778,-0.4587262575683778,-0.5603483338099321,-0.5603483338099321,-1.1134584716944684,-1.1134584716944684,-0.6262274709033452,760
-0.4836068446040488,-0.4836068446040488,-0.4836068446040488,-0.4836068446040488,-0.5593509071693863,-0.5593509071693863,-1.0762769055399712,-1.0762769055399712,-0.6282459966778806,640
-0.4955943790400981,-0.4955943790400981,-0.4955943790400981,-0.4955943790400981,-0.5873854121544247,-0.5873854121544247,-1.0830692211034552,-1.0830692211034552,-0.6337053005272267,6
-0.4815078474110035,-0.4815078474110035,-0.4815078474110035,-0.4815078474110035,-0.5712490357693669,-0.5712490357693669,-1.0984925971987698,-1.0984925971987698,-0.6302203648457516,722
-0.4693273066750476,-0.4693273066750476,-0.4693273066750476,-0.4693273066750476,-0.5730573133009504,-0.5730573133009504,-1.1109195918084327,-1.1109195918084327,-0.6285190320099937,910
-0.4708616608424542,-0.4708616608424542,-0.4708616608424542,-0.4708616608424542,-0.5821192550707452,-0.5821192550707452,-1.1175983406279704,-1.1175983406279704,-0.628252672233733,852
-0.4680322303419074,-0.4680322303419074,-0.4680322303419074,-0.4680322303419074,-0.590173801066092,-0.590173801066092,-1.111964003737601,-1.111964003737601,-0.6267843129410415,410
-0.4457417677832181,-0.4457417677832181,-0.4457417677832181,-0.4457417677832181,-0.5548886135699798,-0.5548886135699798,-1.108351940105542,-1.108351940105542,-0.6227721656074268,249
-0.4738685405229641,-0.4738685405229641,-0.4738685405229641,-0.4738685405229641,-0.5680955549340421,-0.5680955549340421,-1.091202094771523,-1.091202094771523,-0.6283424927479785,474
-0.4779826202111592,-0.4779826202111592,-0.4779826202111592,-0.4779826202111592,-0.5743745623706903,-0.5743745623706903,-1.0982018518704726,-1.0982018518704726,-0.6298167461901305,618
-0.4858433118176167,-0.4858433118176167,-0.4858433118176167,-0.4858433118176167,-0.5847777835286834,-0.5847777835286834,-1.0719006028503604,-1.0719006028503604,-0.6299537435721368,84
-0.481958273866519,-0.481958273866519,-0.481958273866519,-0.481958273866519,-0.5883927939793002,-0.5883927939793002,-1.1134354849275383,-1.1134354849275383,-0.6300112423727277,359
-0.490814940512905,-0.490814940512905,-0.490814940512905,-0.490814940512905,-0.5816270700923403,-0.5816270700923403,-1.0660494150786222,-1.0660494150786222,-0.6322511787740193,306
-0.4632003561265842,-0.4632003561265842,-0.4632003561265842,-0.4632003561265842,-0.5559238704917696,-0.5559238704917696,-1.122235560858847,-1.122235560858847,-0.6251880283088979,947
-0.4643980144489193,-0.4643980144489193,-0.4643980144489193,-0.4643980144489193,-0.5689145776991783,-0.5689145776991783,-1.1017584824393805,-1.1017584824393805,-0.6267618609737519,65
-0.4625244310382609,-0.4625244310382609,-0.4625244310382609,-0.4625244310382609,-0.574235816842128,-0.574235816842128,-1.0872567860641402,-1.0872567860641402,-0.6274991446811885,174
-0.4700546036411284,-0.4700546036411284,-0.4700546036411284,-0.4700546036411284,-0.5800763869171985,-0.5800763869171985,-1.0918053998490542,-1.0918053998490542,-0.6278685002822362,348
-0.4871084847433687,-0.4871084847433687,-0.4871084847433687,-0.4871084847433687,-0.5785106037945382,-0.5785106037945382,-1.1041082801791475,-1.1041082801791475,-0.6301920780137938,862
-0.4485723368018343,-0.4485723368018343,-0.4485723368018343,-0.4485723368018343,-0.569317362112069,-0.569317362112069,-1.0962462120610466,-1.0962462120610466,-0.625233294986019,781
-0.4774071520699379,-0.4774071520699379,-0.4774071520699379,-0.4774071520699379,-0.6016618888753938,-0.6016618888753938,-1.0683635882593765,-1.0683635882593765,-0.6314579916371591,318
-0.4592656465265324,-0.4592656465265324,-0.4592656465265324,-0.4592656465265324,-0.5718464247031542,-0.5718464247031542,-1.1134339033433145,-1.1134339033433145,-0.626397327116453,332
-0.4580785025910664,-0.4580785025910664,-0.4580785025910664,-0.4580785025910664,-0.5757057601828147,-0.5757057601828147,-1.111877309392038,-1.111877309392038,-0.6275872887221622,340
-0.4748013354157368,-0.4748013354157368,-0.4748013354157368,-0.4748013354157368,-0.5676121632518213,-0.5676121632518213,-1.103147652428193,-1.103147652428193,-0.6289613865018573,14
-0.4739861853150012,-0.4739861853150012,-0.4739861853150012,-0.4739861853150012,-0.5952133715550738,-0.5952133715550738,-1.1023502837051544,-1.1023502837051544,-0.6282964406695264,705
-0.4399244940974379,-0.4399244940974379,-0.4399244940974379,-0.4399244940974379,-0.5432410923689176,-0.5432410923689176,-1.1273132745667016,-1.1273132745667016,-0.6213893616066165,694
-0.4541716342385981,-0.4541716342385981,-0.4541716342385981,-0.4541716342385981,-0.5761066894085133,-0.5761066894085133,-1.1231455215750576,-1.1231455215750576,-0.625351338720056,368
-0.4816999503235261,-0.4816999503235261,-0.4816999503235261,-0.4816999503235261,-0.5965915060922629,-0.5965915060922629,-1.0731511681427532,-1.0731511681427532,-0.6309188189582189,833
-0.479291314794235,-0.479291314794235,-0.479291314794235,-0.479291314794235,-0.5818906496870223,-0.5818906496870223,-1.1093076763988037,-1.1093076763988037,-0.6272437193321253,587
-0.466885998181085,-0.466885998181085,-0.466885998181085,-0.466885998181085,-0.5744251117748407,-0.5744251117748407,-1.106750120715469,-1.106750120715469,-0.627305466087466,1
-0.4715269165309019,-0.4715269165309019,-0.4715269165309019,-0.4715269165309019,-0.569034654016952,-0.569034654016952,-1.06621142192386,-1.06621142192386,-0.6288196531289627,302
-0.4949416535564075,-0.4949416535564075,-0.4949416535564075,-0.4949416535564075,-0.6001359292187883,-0.6001359292187883,-1.0763517033928056,-1.0763517033928056,-0.6294453440062289,923
-0.4789049594585233,-0.4789049594585233,-0.4789049594585233,-0.4789049594585233,-0.5733112769749015,-0.5733112769749015,-1.0709113960510708,-1.0709113960510708,-0.6265593629978777,879
-0.4557408201722792,-0.4557408201722792,-0.4557408201722792,-0.4557408201722792,-0.5618336201395099,-0.5618336201395099,-1.1237677254628071,-1.1237677254628071,-0.6255653584820319,675
-0.4554010632667569,-0.4554010632667569,-0.4554010632667569,-0.4554010632667569,-0.5704318749295656,-0.5704318749295656,-1.1435016636364013,-1.1435016636364013,-0.6240547510510283,747
-0.4657754885300039,-0.4657754885300039,-0.4657754885300039,-0.4657754885300039,-0.5742398956285104,-0.5742398956285104,-1.0954553961001998,-1.0954553961001998,-0.6265167663601614,266
-0.4488444384733525,-0.4488444384733525,-0.4488444384733525,-0.4488444384733525,-0.5622097050411446,-0.5622097050411446,-1.1374423134850409,-1.1374423134850409,-0.6263658164312224,692
-0.4931904163127609,-0.4931904163127609,-0.4931904163127609,-0.4931904163127609,-0.5811143669262772,-0.5811143669262772,-1.0922013084025666,-1.0922013084025666,-0.6326458395780244,440
-0.4705772171494979,-0.4705772171494979,-0.4705772171494979,-0.4705772171494979,-0.5693750584953965,-0.5693750584953965,-1.115168182633898,-1.115168182633898,-0.6282255269110114,79
-0.4616279689478876,-0.4616279689478876,-0.4616279689478876,-0.4616279689478876,-0.5648301142498197,-0.5648301142498197,-1.1100579937597828,-1.1100579937597828,-0.625812026641625,148
-0.4489353911846528,-0.4489353911846528,-0.4489353911846528,-0.4489353911846528,-0.5528964205327513,-0.5528964205327513,-1.1197991520905464,-1.1197991520905464,-0.6271078677953049,933
-0.4705066446780194,-0.4705066446780194,-0.4705066446780194,-0.4705066446780194,-0.5699054342425026,-0.5699054342425026,-1.0835982349019029,-1.0835982349019029,-0.6286949065080847,814
-0.4511042656598745,-0.4511042656598745,-0.4511042656598745,-0.4511042656598745,-0.5657504946393984,-0.5657504946393984,-1.1213597184781343,-1.1213597184781343,-0.6255459395442772,81
-0.4606885867784464,-0.4606885867784464,-0.4606885867784464,-0.4606885867784464,-0.5755216468164364,-0.5755216468164364,-1.0970494775861297,-1.0970494775861297,-0.6254715470334931,42
-0.4545042945702145,-0.4545042945702145,-0.4545042945702145,-0.4545042945702145,-0.585201915526623,-0.585201915526623,-1.1448197907175226,-1.1448197907175226,-0.6271447105434016,325
-0.4784357497999938,-0.4784357497999938,-0.4784357497999938,-0.4784357497999938,-0.578544277417294,-0.578544277417294,-1.1038001051722952,-1.1038001051722952,-0.6307083306172734,256
-0.4974652907981494,-0.4974652907981494,-0.4974652907981494,-0.4974652907981494,-0.5664544313854863,-0.5664544313854863,-1.0922883614030354,-1.0922883614030354,-0.630512079522736,179
-0.4719267422564992,-0.4719267422564992,-0.4719267422564992,-0.4719267422564992,-0.5822249977640562,-0.5822249977640562,-1.07708711491054,-1.07708711491054,-0.628175094302081,506
-0.4885739478321608,-0.4885739478321608,-0.4885739478321608,-0.4885739478321608,-0.587398551982901,-0.587398551982901,-1.091414579022452,-1.091414579022452,-0.6310005614989219,430
-0.4437359627513099,-0.4437359627513099,-0.4437359627513099,-0.4437359627513099,-0.5587955873968389,-0.5587955873968389,-1.1191405604948892,-1.1191405604948892,-0.6230284140409112,352
-0.4423914382188213,-0.4423914382188213,-0.4423914382188213,-0.4423914382188213,-0.5557892399669756,-0.5557892399669756,-1.1156653405053665,-1.1156653405053665,-0.6219651529413132,734
-0.4666862560420708,-0.4666862560420708,-0.4666862560420708,-0.4666862560420708,-0.5870755857618718,-0.5870755857618718,-1.12411086804033,-1.12411086804033,-0.6286677517492419,283
-0.450567482069175,-0.450567482069175,-0.450567482069175,-0.450567482069175,-0.5766033786880568,-0.5766033786880568,-1.0916598976226193,-1.0916598976226193,-0.6253909329929438,633
-0.4606000424671288,-0.4606000424671288,-0.4606000424671288,-0.4606000424671288,-0.5959559198817301,-0.5959559198817301,-1.1277720706643453,-1.1277720706643453,-0.6254204066702121,813
-0.485443470650467,-0.485443470650467,-0.485443470650467,-0.485443470650467,-0.5702305132685352,-0.5702305132685352,-1.0981497237209472,-1.0981497237209472,-0.6309408131127499,189
-0.4647289211560143,-0.4647289211560143,-0.4647289211560143,-0.4647289211560143,-0.5641810292365997,-0.5641810292365997,-1.1107683576697078,-1.1107683576697078,-0.6265553782327216,408
-0.4733706744348173,-0.4733706744348173,-0.4733706744348173,-0.4733706744348173,-0.566087268943725,-0.566087268943725,-1.1341137884559298,-1.1341137884559298,-0.6276017031335196,149
-0.4865314715180874,-0.4865314715180874,-0.4865314715180874,-0.4865314715180874,-0.5904405704138566,-0.5904405704138566,-1.0654483069541325,-1.0654483069541325,-0.6297253158719801,197
-0.4795962777550402,-0.4795962777550402,-0.4795962777550402,-0.4795962777550402,-0.5815142125471555,-0.5815142125471555,-1.062054771502846,-1.062054771502846,-0.6315463296350555,156
-0.4997000452826905,-0.4997000452826905,-0.4997000452826905,-0.4997000452826905,-0.5729914962822156,-0.5729914962822156,-1.08436482286901,-1.08436482286901,-0.6318579715319058,756
-0.4788382526212277,-0.4788382526212277,-0.4788382526212277,-0.4788382526212277,-0.5607577044174263,-0.5607577044174263,-1.1341367179669533,-1.1341367179669533,-0.6298547588876586,718
-0.4626865494165695,-0.4626865494165695,-0.4626865494165695,-0.4626865494165695,-0.5750080917351074,-0.5750080917351074,-1.0955499281089467,-1.0955499281089467,-0.6265083146751605,637
-0.4464527186050885,-0.4464527186050885,-0.4464527186050885,-0.4464527186050885,-0.5597141601952844,-0.5597141601952844,-1.136383615082162,-1.136383615082162,-0.6233833810278749,44
