BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,rep
-1.226731807515856,-1.107016808082252,-1.2704414291429484,-1.0929133692550317,-1.2984352037654483,-1.2174443807258226,-1.9314940866734889,-1.9312060884381956,-1.4806635804150172,553
-1.212572659012788,-1.0884459502474344,-1.2584468892389835,-1.0717884403958011,-1.2781196032764066,-1.192317178330367,-1.9434352038909952,-1.955748861539672,-1.4753376742305475,762
-1.2224754019317818,-1.0927349821144394,-1.2664778867729445,-1.0788110047038986,-1.304977708351892,-1.239774912745736,-1.9245777009015677,-1.9369054815490383,-1.4780043252520894,106
-1.2158517243490234,-1.069795331917194,-1.2623516592450348,-1.0637725690617608,-1.2961355815431157,-1.2127752147477475,-1.9331847672878524,-1.9251504808738416,-1.4761642215112027,544
-1.217585991621044,-1.077393033106478,-1.2654848132740886,-1.0674293994597757,-1.308830583273104,-1.1999095910153523,-1.9396877038416789,-1.9364717178931223,-1.4781060015436267,234
-1.205062728219654,-1.0552272738463055,-1.2509100476341073,-1.049375274057619,-1.2756617013524505,-1.1945786748815628,-1.9637941783293829,-1.978748902483113,-1.4714877007045672,465
-1.1936955671822032,-1.0447686457981673,-1.2391536877224305,-1.0403363023199168,-1.2766799339629225,-1.1925171113497417,-1.945963741179462,-1.9533872055653088,-1.4709671953481218,746
-1.1779423151985318,-1.0199286007981818,-1.2224862071708311,-1.016182054770959,-1.3040171719839757,-1.1800013494351282,-1.974095897659152,-1.980916176772092,-1.4674386275877844,806
-1.1976302059349129,-1.0665338013339865,-1.2415823785278417,-1.0556558469759696,-1.286855068253456,-1.1891015246541357,-1.9630189580658912,-1.9545610783632168,-1.4709599522871308,193
-1.1845629677700336,-1.0420226311525935,-1.232543047870201,-1.0286369650068374,-1.3114248832783617,-1.17015478688531,-1.94705774873976,-1.9405852126706808,-1.468202345170643,124
-1.1908380024829224,-1.052857075645521,-1.238205235803639,-1.0426457014801624,-1.300532860953635,-1.2016841003306682,-1.9622935826770147,-1.9641122394524444,-1.4722783568092137,264
-1.1826884189752258,-1.0358864728785262,-1.2311760561294591,-1.0246536968682656,-1.305434743702986,-1.1717181911215633,-1.9530540466830852,-1.960989937558016,-1.4685155274057708,316
-1.2055111134306002,-1.0502898874654385,-1.2516520239818862,-1.0395692568705746,-1.265893935076612,-1.1849939876185471,-1.9398578655237368,-1.9297909378059777,-1.4743907585971674,239
-1.210376069987265,-1.0608932934381916,-1.2594357162208336,-1.0557079091757593,-1.299629593606359,-1.220231070385647,-1.9394040272159805,-1.9729601631826168,-1.474873045481042,241
-1.1731788121458415,-1.0114733769823607,-1.2196328497498423,-1.0035536008981831,-1.2976879531116925,-1.1618742693153008,-1.9752233580856928,-1.9694080188879863,-1.4662981707982858,789
-1.2159508284812903,-1.0820591764972038,-1.259651080441526,-1.067814414289026,-1.2965777743516664,-1.2148865462656626,-1.9458199279321011,-1.949354528298572,-1.4796877690706305,250
