newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
-4.92896860151908,-5.635284285028048,-4.891350791188171,-5.149910588260363,-4.712441778323234,-4.687018672538865,-5.497254414010084,-5.125365077380633,-4.7493160947233735,553
-4.940757675257063,-5.63188751724442,-4.8914704724535545,-5.129558210804155,-4.721788525546006,-4.713735800540812,-5.473647733852056,-5.060532903635751,-4.707557822092275,762
-4.963661380400839,-5.6543632463434,-4.9107774085498335,-5.157108723074526,-4.752274587539691,-4.693653578999662,-5.3846778664168085,-5.048592753807157,-4.718705013918275,106
-4.955971780890334,-5.644364890017294,-4.911029714222479,-5.136518097156695,-4.706920791672312,-4.692526629046273,-5.502921367329305,-5.127563814497684,-4.7422279940135885,544
-5.01833213863832,-5.73295765843054,-4.956000503666069,-5.207778660289876,-4.733389332344377,-4.679557900553943,-5.471726957628845,-5.096115969171225,-4.754348815618976,234
-5.002203979055094,-5.583571378385419,-4.948466399473466,-5.10575822653877,-4.721716511807312,-4.705784743316215,-5.508055525931197,-5.120451273125914,-4.73742581910139,465
-5.0038586392577455,-5.642917871114864,-4.943560219590196,-5.144085897776158,-4.731288105742538,-4.707731828113485,-5.43659443971764,-5.070201759237905,-4.740736551037501,746
-4.976576266666214,-5.632392897310284,-4.912189518616795,-5.127889730607395,-4.713387236221684,-4.652195892407286,-5.485062264629972,-5.0924431719319525,-4.733062963305097,806
-5.0291481462462615,-5.665053671667321,-4.970765288221732,-5.165239318543536,-4.734132829607384,-4.676804257020809,-5.434812892658967,-5.0689558712636025,-4.7225423062846,193
-4.972702631552377,-5.675057846522128,-4.915596485884827,-5.178777325214162,-4.730515854056031,-4.748401822984943,-5.394260902948369,-5.048358024975502,-4.717500728831829,124
-4.953763360722815,-5.657180840805311,-4.894175094066231,-5.157711374425675,-4.744937009360371,-4.693840488929105,-5.4677600957064,-5.075064050213508,-4.719317402628879,264
