std,stdl,ho,hol,point,spring_rank,dataset
-2.9804921312116828,-3.000351061674037,-2.978191606094411,-3.000312464616055,-3.03560902995994,-15.272287900428257,00004-00000145
-1.3275320870294471,-1.3222158152324839,-1.3290738949442784,-1.3225419356433223,-1.5416597218421244,-7.230745389494995,00004-00000086
-1.6368089843165297,-1.65523520791916,-1.6351883235173152,-1.655042321609411,-1.7050098714570332,-12.283678981742755,00004-00000026
-1.615010006524777,-1.653874451438823,-1.6125256620528001,-1.6531570564014468,-1.672412110506641,-9.838250437588185,00004-00000070
-2.778638319145716,-2.8935149469898453,-2.778081827273966,-2.8930294921904616,-2.955760542617083,-12.750352592064667,00004-00000101
-2.531528089063802,-3.0863822625203383,-2.5022186747448094,-3.0696120115000123,-2.8819744167251558,-14.379411755940838,00004-00000119
-1.3245579021150815,-1.3256075264478695,-1.3244525201921142,-1.3256072668432055,-1.5601157898957418,-10.31992328973755,00004-00000043
-5.529647862687329,-6.590388708932343,-5.536167403514907,-6.590485832718947,-7.37051177550905,-16.045526861261447,00009-00000002
-2.7473564347034216,-3.070162012628742,-2.7229753262760497,-3.0682238877002703,-2.9536217758504457,-16.351886866713134,00004-00000165
-1.8003411493127668,-1.8443285535186722,-1.795320710002921,-1.8442328628816897,-1.791139882603736,-15.686683138182246,00004-00000078
-1.7880602895340614,-1.839027388108916,-1.7821191979785846,-1.838563265305717,-1.783393831640254,-15.404899830860044,00004-00000077
-2.387671106345086,-2.489364669367952,-2.3829171226622257,-2.4896284131649886,-2.7591002984452815,-11.321152314439194,00004-00000110
-1.1740800515126821,-1.1819910985924025,-1.1793267165795283,-1.1808718909593563,-1.5076530407644655,-7.779687237816626,00004-00000035
-1.5951161149476014,-1.6279675309728274,-1.592861557860354,-1.6277460891842472,-1.6622948682678698,-9.063616703018742,00004-00000068
-14.33899876470997,-15.705396677682085,-14.278241482589628,-15.687626997719482,-14.514821033376851,-28.88491682486875,00014-00000001
-1.3687600645250095,-1.3868955624919188,-1.3678225422830124,-1.3868333713081662,-1.5479789097110326,-7.373127717094536,00004-00000046
-1.5839340469499033,-1.6100728281160095,-1.5806403198840913,-1.6099791953780325,-1.6834153477403775,-10.90893911974815,00004-00000098
-3.1020747236857904,-3.135639147360308,-3.1050770462329953,-3.1350579728943844,-3.1343493072198596,-17.662370045213503,00004-00000132
-2.881460843458834,-2.8953437719383466,-2.896461222983505,-2.8936921405121674,-3.0217948167405,-14.601252137985108,00004-00000151
-2.5961556248332798,-2.6884744121344615,-2.5745515397551606,-2.688089230834636,-2.8823734467895097,-15.10499065929692,00004-00000180
-2.240275742917306,-2.240579692830948,-2.253632404377429,-2.237772477880424,-2.6753879975315638,-8.067871304495204,00004-00000116
-1.3237834156035355,-1.3457131064126038,-1.3186142692894651,-1.3422984309960235,-1.466129873866796,-5.347594294727338,00004-00000067
-1.4084723022870862,-1.441415030963814,-1.402826424283909,-1.4417713091097808,-1.598164284167512,-7.628288004987825,00004-00000050
-1.2864843526010543,-1.2942464313838071,-1.2857395477103128,-1.294397237193061,-1.522321132449716,-8.468029827944626,00004-00000079
-2.807170488165075,-3.129152861151417,-2.8020196107061524,-3.118429918588601,-2.939578356654016,-16.082884396269872,00004-00000133
-2.720250092556557,-2.841138828804437,-2.7199234320924797,-2.838061439939326,-2.894196036645715,-11.85314570951968,00004-00000115
-1.6605269067096078,-1.7233938410002945,-1.6563181390326127,-1.723190179042701,-1.6883300017822624,-11.642140329648903,00004-00000051
-3.1624679413531953,-3.2189007498371343,-3.1557261376111,-3.218479691461936,-3.150101136775222,-16.526185273908876,00024-00000001
-1.6012858854338257,-1.6051497712200564,-1.6032926448392117,-1.6051202899361443,-1.689490068648253,-11.784168058352464,00004-00000082
-3.0203557599290276,-3.3026633777124954,-3.0083949206692084,-3.295939712457378,-3.0553687989090332,-13.988280015951588,00004-00000182
-2.957711841787141,-3.3521946989079856,-2.927613124902801,-3.34726363149873,-3.041263901302455,-11.670051122917714,00004-00000109
-2.154857602470243,-2.3057448161493768,-2.1523059377949045,-2.2858115745536742,-2.684833643725855,-11.744104109261777,00004-00000126
-1.6807938447620814,-1.7052580803803516,-1.6766520100013698,-1.7052248469207614,-1.726814506670734,-13.47326745624753,00004-00000093
-1.642903581533986,-1.6443931011134179,-1.6426043291228798,-1.6444065771295504,-1.7189728455347921,-11.593443573329393,00004-00000092
-3.127935538640627,-3.1604995597208716,-3.1241009932039647,-3.1603849930415744,-3.128769836558351,-16.15757580041564,00025-00000001
-1.707701790371773,-1.7469077169436342,-1.7118875962511322,-1.746420622000181,-1.7401085960519123,-11.807737360102642,00004-00000087
-1.514748117430822,-1.5212417194698096,-1.5141680025916737,-1.5211930876339437,-1.623872081788528,-9.324149785801646,00004-00000071
-1.5073022564787826,-1.5534648712549712,-1.5064442480957445,-1.5533249560774074,-1.6396091037528822,-11.421681461419247,00004-00000085
-1.3412921932893964,-1.3445097758382472,-1.3480094504566777,-1.3440862209322635,-1.5446677088883956,-6.977479659017962,00004-00000094
-1.615013008271353,-1.659913107691274,-1.6150420078928094,-1.6594995484880006,-1.6809564477888321,-10.16210327293676,00004-00000062
-1.5779739467158391,-1.6589532014640092,-1.575550229128665,-1.6589294024867156,-1.675712719324358,-12.208874056580788,00004-00000056
-1.3831739568608366,-1.4362955198861944,-1.379910400054166,-1.4353384237682811,-1.5327300510983812,-6.5374673073094804,00004-00000049
-2.783777228707669,-2.791080622081746,-2.7924052926170395,-2.790998142638574,-2.9902285810593896,-14.128962529017508,00004-00000152
-3.169858023203029,-3.198823474111407,-3.1819880336733606,-3.1984794490677277,-3.1690485510312567,-18.710690638945103,00004-00000161
-2.4647738780833617,-2.4372984414400616,-2.475153356476566,-2.4372576461627458,-2.793355625945151,-10.045555105109658,00004-00000125
-2.720338878394652,-2.860979795237789,-2.7510552513123283,-2.856202434102023,-2.92768706775981,-12.831299944116648,00004-00000129
-1.407194473682493,-1.429761932176265,-1.4048922292669732,-1.4293319455399245,-1.5350237629245271,-7.033343179498835,00004-00000038
-2.6925207797110984,-2.7836738510560943,-2.6933554189852384,-2.7793607845270136,-2.854229027908365,-10.700205684241412,00004-00000188
-2.363540441466706,-2.5739877580525987,-2.3623695390070583,-2.5676161663314403,-2.727647838610944,-9.775946464154979,00004-00000196
-1.3189867761266838,-1.3284559369473659,-1.3184291975342768,-1.3286884864712178,-1.5113873240207922,-6.227543111478382,00004-00000023
-2.9188563194632553,-3.0291430241935,-2.9142990871842764,-3.027509356511921,-2.9954263974620337,-13.176603314434974,00004-00000121
-2.3640971822784804,-2.3922246743625455,-2.364132611354059,-2.394273761313086,-2.7324118160673736,-9.635527613760512,00004-00000178
-2.9360698749171377,-2.9721855949859104,-2.932832162567741,-2.9718634065944025,-3.010826187176483,-13.139708827769748,00024-00000003
-1.3741700581341565,-1.4193365253290917,-1.3749817547591692,-1.4190518748931087,-1.5328987469303135,-6.245636460504689,00004-00000016
-1.4523065407279265,-1.459512807264193,-1.4527979387845515,-1.4593977810106944,-1.6186171365280868,-10.785047917091502,00004-00000074
-2.617037327614897,-2.6728024640825607,-2.6224441159178293,-2.6693589529560877,-2.8384346857817366,-10.683968802714253,00004-00000139
