newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
0.5208,0.4101,0.3802,0.2151,0.2395,0.0947,0.1225,0.204,50000,57
0.515,0.372,0.354,0.23,0.25375,0.10625,0.14175,0.2195,20000,58
0.535,0.465,0.47,0.415,0.405,0.205,0.22,0.26,1000,64
0.5194,0.4122,0.3809,0.213,0.2364,0.0975,0.1271,0.208,50000,65
0.54,0.35525,0.316,0.2105,0.237,0.0985,0.13175,0.209,20000,13
0.54,0.485,0.475,0.355,0.35,0.225,0.235,0.31,1000,85
0.562,0.356,0.3345,0.2375,0.2525,0.124,0.165,0.2465,10000,6
0.51,0.35875,0.343,0.22725,0.253,0.11225,0.14875,0.22975,20000,19
0.535,0.395,0.385,0.36,0.345,0.22,0.24,0.285,1000,76
0.5066666666666667,0.35533333333333333,0.3393333333333333,0.2786666666666667,0.298,0.158,0.20466666666666666,0.2966666666666667,7500,88
0.492,0.348,0.37,0.306,0.35,0.188,0.238,0.292,2500,33
0.53,0.366,0.344,0.2205,0.2445,0.10575,0.14775,0.22675,20000,3
0.5215,0.4146,0.3828,0.2215,0.2487,0.0928,0.1241,0.2056,50000,39
0.514,0.3987,0.3644,0.2128,0.2381,0.0853,0.1148,0.1946,50000,71
0.52025,0.3575,0.3255,0.215,0.23325,0.0975,0.1325,0.2115,20000,66
0.5386666666666666,0.354,0.32666666666666666,0.244,0.25933333333333336,0.12066666666666667,0.178,0.264,7500,63
0.5205,0.3425,0.313,0.2335,0.2355,0.1285,0.1725,0.252,10000,97
0.53625,0.37625,0.3525,0.22425,0.24525,0.106,0.14675,0.227,20000,2
0.5266,0.3982,0.3693,0.2171,0.237,0.089,0.1184,0.2006,50000,36
0.5159,0.4146,0.3783,0.215,0.237,0.0903,0.1191,0.1997,50000,84
0.5166666666666667,0.3393333333333333,0.33266666666666667,0.25333333333333335,0.2653333333333333,0.14,0.18666666666666668,0.266,7500,5
0.5286666666666666,0.344,0.3486666666666667,0.26266666666666666,0.2826666666666667,0.15266666666666667,0.19666666666666666,0.2786666666666667,7500,78
0.526,0.3475,0.3265,0.2355,0.2635,0.1295,0.1685,0.249,10000,52
0.5124,0.4063,0.3772,0.2127,0.2496,0.0972,0.12,0.2043,50000,89
0.524,0.3575,0.322,0.2445,0.249,0.133,0.182,0.2635,10000,4
0.518,0.4046,0.3681,0.2033,0.2342,0.0963,0.1233,0.1996,50000,66
0.504,0.33,0.32,0.302,0.298,0.176,0.242,0.288,2500,14
0.485,0.475,0.45,0.42,0.4,0.185,0.205,0.245,1000,42
0.5306666666666666,0.3433333333333333,0.332,0.226,0.23533333333333334,0.116,0.17,0.25733333333333336,7500,24
0.528,0.342,0.32866666666666666,0.2613333333333333,0.2713333333333333,0.14266666666666666,0.19733333333333333,0.2733333333333333,7500,54
0.545,0.515,0.495,0.385,0.385,0.205,0.21,0.285,1000,63
0.5185,0.345,0.3175,0.226,0.2275,0.1255,0.164,0.2425,10000,77
0.52325,0.36675,0.33625,0.218,0.2375,0.10475,0.13475,0.218,20000,55
0.53575,0.36,0.3305,0.21925,0.2445,0.1025,0.13525,0.21625,20000,15
0.466,0.342,0.346,0.346,0.344,0.184,0.246,0.264,2500,81
0.51825,0.37,0.34125,0.2145,0.2405,0.0975,0.12825,0.2125,20000,23
0.5211,0.4058,0.3747,0.2058,0.2386,0.0893,0.1183,0.1956,50000,38
0.48,0.47,0.46,0.41,0.365,0.135,0.14,0.305,1000,46
0.5303,0.4116,0.377,0.206,0.2279,0.0927,0.1206,0.1978,50000,26
0.535,0.485,0.485,0.4,0.38,0.17,0.195,0.28,1000,77
0.52875,0.37025,0.34825,0.2235,0.24875,0.10825,0.14375,0.222,20000,70
0.5195,0.337,0.309,0.2465,0.26,0.1215,0.169,0.2665,10000,95
0.54,0.3855,0.353,0.2385,0.25025,0.10775,0.1455,0.23075,20000,64
0.5275,0.359,0.333,0.2305,0.2505,0.118,0.16,0.2455,10000,23
0.5115,0.3605,0.34325,0.226,0.2535,0.11575,0.15,0.22525,20000,39
0.575,0.475,0.49,0.335,0.33,0.2,0.215,0.28,1000,86
0.5086,0.4086,0.3778,0.2128,0.2488,0.0959,0.124,0.2026,50000,86
0.506,0.354,0.352,0.362,0.352,0.166,0.206,0.258,2500,65
0.5234,0.417,0.3785,0.2114,0.2309,0.0887,0.1177,0.1979,50000,50
0.472,0.384,0.396,0.382,0.366,0.206,0.29,0.3,2500,9
0.5045,0.3305,0.327,0.2575,0.2665,0.126,0.179,0.264,10000,17
0.52575,0.3485,0.3245,0.223,0.241,0.10475,0.13925,0.2225,20000,78
0.52375,0.37,0.33975,0.22625,0.2525,0.10175,0.1415,0.227,20000,44
0.518,0.3466666666666667,0.3273333333333333,0.26,0.272,0.14,0.19733333333333333,0.272,7500,68
0.534,0.326,0.3115,0.2455,0.255,0.12,0.1725,0.2585,10000,19
0.5246666666666666,0.328,0.32,0.2633333333333333,0.2673333333333333,0.146,0.19333333333333333,0.27266666666666667,7500,86
0.5053333333333333,0.324,0.306,0.25733333333333336,0.2753333333333333,0.15666666666666668,0.20266666666666666,0.2773333333333333,7500,15
0.478,0.386,0.39,0.36,0.356,0.162,0.228,0.274,2500,22
0.5385,0.36425,0.337,0.20425,0.23775,0.09425,0.127,0.20475,20000,88
0.5195,0.3695,0.34325,0.22375,0.24275,0.10775,0.14175,0.222,20000,91
0.527,0.3285,0.305,0.2335,0.253,0.1155,0.161,0.242,10000,62
0.516,0.347,0.3255,0.235,0.2475,0.127,0.1675,0.2485,10000,67
0.527,0.37125,0.342,0.2255,0.23575,0.10425,0.1405,0.22175,20000,5
0.528,0.353,0.3265,0.25,0.2565,0.132,0.1735,0.2475,10000,91
0.523,0.345,0.341,0.247,0.2645,0.132,0.186,0.2685,10000,29
0.5255,0.367,0.3435,0.226,0.25225,0.10325,0.13975,0.2225,20000,30
0.53875,0.3795,0.337,0.21675,0.22925,0.109,0.138,0.2095,20000,49
0.53,0.39,0.4,0.365,0.335,0.19,0.21,0.26,1000,83
0.478,0.362,0.352,0.336,0.356,0.184,0.244,0.264,2500,89
0.5313333333333333,0.336,0.3313333333333333,0.24266666666666667,0.258,0.12666666666666668,0.17533333333333334,0.25733333333333336,7500,1
0.5127,0.4026,0.3685,0.202,0.2288,0.0907,0.1178,0.1991,50000,2
0.5285,0.3185,0.3,0.2465,0.262,0.1175,0.1715,0.263,10000,47
0.4995,0.3345,0.329,0.251,0.262,0.1365,0.178,0.2605,10000,22
0.5126666666666667,0.35733333333333334,0.33066666666666666,0.26266666666666666,0.272,0.13866666666666666,0.19933333333333333,0.284,7500,26
0.555,0.44,0.43,0.335,0.345,0.13,0.16,0.24,1000,91
0.49,0.348,0.35,0.348,0.354,0.212,0.268,0.302,2500,13
0.5302,0.4016,0.3681,0.2194,0.2417,0.0876,0.1181,0.1993,50000,79
0.53,0.42,0.455,0.415,0.38,0.21,0.245,0.295,1000,84
0.52975,0.36675,0.3445,0.2095,0.2395,0.10125,0.1385,0.22325,20000,41
0.521,0.3395,0.316,0.234,0.235,0.12,0.167,0.2325,10000,12
0.555,0.49,0.475,0.365,0.365,0.19,0.225,0.265,1000,93
0.46,0.43,0.475,0.445,0.41,0.155,0.19,0.285,1000,99
0.475,0.475,0.48,0.395,0.415,0.19,0.205,0.25,1000,92
0.5385,0.363,0.33525,0.2125,0.2345,0.10975,0.1505,0.2185,20000,25
0.564,0.366,0.344,0.316,0.324,0.144,0.186,0.248,2500,49
0.5186,0.4051,0.3715,0.2127,0.2433,0.094,0.1233,0.2049,50000,44
0.495,0.46,0.47,0.405,0.38,0.155,0.175,0.285,1000,38
0.494,0.396,0.388,0.362,0.384,0.196,0.246,0.276,2500,61
0.514,0.3435,0.328,0.243,0.2595,0.1315,0.1825,0.2575,10000,64
0.5453333333333333,0.35,0.3353333333333333,0.26866666666666666,0.286,0.138,0.18133333333333335,0.274,7500,64
0.523,0.353,0.3375,0.23,0.259,0.1265,0.1665,0.2515,10000,28
0.422,0.376,0.404,0.382,0.396,0.228,0.28,0.294,2500,26
0.5255,0.3325,0.321,0.233,0.2375,0.1155,0.161,0.247,10000,13
0.522,0.3506666666666667,0.338,0.2753333333333333,0.2733333333333333,0.142,0.19466666666666665,0.28933333333333333,7500,82
0.54175,0.3785,0.345,0.203,0.2265,0.1025,0.13975,0.21125,20000,42
0.514,0.31733333333333336,0.30533333333333335,0.23733333333333334,0.25466666666666665,0.13666666666666666,0.174,0.25466666666666665,7500,10
0.5175,0.361,0.3315,0.22375,0.23975,0.11125,0.14525,0.22425,20000,93
0.46,0.386,0.386,0.39,0.386,0.178,0.246,0.302,2500,67
0.485,0.43,0.435,0.37,0.365,0.205,0.23,0.3,1000,50
0.498,0.336,0.33,0.326,0.312,0.176,0.232,0.276,2500,98
0.5231,0.4134,0.3756,0.215,0.2321,0.0904,0.1168,0.2001,50000,24
0.51,0.41,0.435,0.39,0.385,0.19,0.21,0.245,1000,98
0.5285,0.3605,0.337,0.242,0.261,0.125,0.1755,0.2625,10000,8
0.5113333333333333,0.3466666666666667,0.3313333333333333,0.27266666666666667,0.2866666666666667,0.14866666666666667,0.19933333333333333,0.2793333333333333,7500,33
0.54425,0.3625,0.34325,0.21925,0.23025,0.09725,0.144,0.22025,20000,18
0.516,0.361,0.344,0.22775,0.24425,0.10675,0.14725,0.2275,20000,10
0.486,0.394,0.402,0.338,0.346,0.17,0.234,0.262,2500,41
0.5255,0.355,0.33775,0.22475,0.244,0.10125,0.14275,0.22375,20000,57
0.53275,0.35725,0.32975,0.218,0.22375,0.10475,0.14075,0.2155,20000,72
0.51,0.445,0.43,0.405,0.41,0.18,0.22,0.25,1000,47
0.495,0.465,0.475,0.4,0.4,0.24,0.26,0.305,1000,52
0.555,0.359,0.33,0.2425,0.2645,0.1215,0.164,0.246,10000,53
0.528,0.3333333333333333,0.31666666666666665,0.252,0.274,0.14466666666666667,0.19666666666666666,0.268,7500,81
0.5185,0.3415,0.328,0.22225,0.23225,0.10025,0.13825,0.217,20000,53
0.504,0.4,0.386,0.364,0.37,0.214,0.26,0.302,2500,78
0.5093333333333333,0.342,0.3466666666666667,0.26866666666666666,0.276,0.148,0.19466666666666665,0.2806666666666667,7500,66
0.496,0.384,0.38,0.34,0.35,0.162,0.214,0.254,2500,7
0.5129,0.3956,0.3663,0.2029,0.2203,0.089,0.1149,0.1907,50000,37
0.5593333333333333,0.358,0.3446666666666667,0.262,0.27066666666666667,0.136,0.17866666666666667,0.28,7500,96
0.504,0.422,0.436,0.36,0.372,0.164,0.21,0.31,2500,71
0.54,0.45,0.43,0.41,0.355,0.195,0.22,0.305,1000,62
0.5195,0.3385,0.323,0.245,0.259,0.131,0.1765,0.253,10000,51
0.5305,0.36525,0.348,0.219,0.2405,0.10475,0.13975,0.2215,20000,34
0.53,0.48,0.515,0.42,0.395,0.13,0.135,0.28,1000,87
0.518,0.36625,0.33875,0.2165,0.23175,0.099,0.1385,0.21375,20000,48
0.518,0.388,0.38,0.34,0.352,0.192,0.238,0.312,2500,21
0.5158,0.3978,0.3641,0.2091,0.2334,0.0902,0.1179,0.1943,50000,5
0.51925,0.37225,0.35075,0.223,0.25,0.10925,0.149,0.22925,20000,92
0.5266666666666666,0.33466666666666667,0.32266666666666666,0.25866666666666666,0.27,0.14466666666666667,0.19666666666666666,0.2806666666666667,7500,39
0.52,0.3433333333333333,0.3273333333333333,0.264,0.2786666666666667,0.15533333333333332,0.20133333333333334,0.2826666666666667,7500,18
0.5166,0.4022,0.3666,0.2165,0.2426,0.0926,0.1207,0.2053,50000,82
0.474,0.392,0.388,0.348,0.354,0.188,0.23,0.292,2500,54
0.5293333333333333,0.348,0.3313333333333333,0.25,0.274,0.138,0.19,0.2673333333333333,7500,98
0.5133333333333333,0.322,0.31,0.264,0.27666666666666667,0.14066666666666666,0.192,0.28,7500,36
0.5166,0.4059,0.3799,0.2109,0.2356,0.0924,0.117,0.201,50000,4
0.514,0.4061,0.371,0.2115,0.2318,0.0893,0.1166,0.1965,50000,73
0.5155,0.3365,0.314,0.2515,0.2515,0.1405,0.185,0.26,10000,75
0.5153333333333333,0.3313333333333333,0.31466666666666665,0.262,0.25733333333333336,0.13066666666666665,0.18266666666666667,0.27066666666666667,7500,95
0.5245,0.37125,0.34475,0.23075,0.2445,0.113,0.15025,0.22525,20000,80
0.521,0.4045,0.3654,0.2127,0.2319,0.0909,0.1219,0.198,50000,58
0.495,0.385,0.44,0.4,0.38,0.135,0.145,0.305,1000,22
0.43,0.49,0.505,0.455,0.425,0.205,0.23,0.27,1000,29
0.5246666666666666,0.33466666666666667,0.3273333333333333,0.25466666666666665,0.268,0.14866666666666667,0.19666666666666666,0.2633333333333333,7500,29
0.5133333333333333,0.3506666666666667,0.3473333333333333,0.2753333333333333,0.2826666666666667,0.14066666666666666,0.20533333333333334,0.27266666666666667,7500,100
0.5155,0.4003,0.3651,0.2161,0.2363,0.0938,0.1236,0.2032,50000,30
0.522,0.3425,0.3395,0.241,0.245,0.1165,0.158,0.2475,10000,98
0.492,0.414,0.412,0.348,0.36,0.192,0.244,0.258,2500,28
0.5219,0.4043,0.3708,0.2124,0.245,0.0966,0.1214,0.205,50000,96
0.506,0.368,0.36,0.356,0.344,0.188,0.248,0.318,2500,45
0.517,0.36975,0.345,0.233,0.24875,0.106,0.14325,0.227,20000,36
0.5278,0.4123,0.3768,0.205,0.2283,0.0899,0.1177,0.1997,50000,19
0.565,0.48,0.48,0.365,0.345,0.19,0.22,0.29,1000,72
0.496,0.356,0.362,0.344,0.326,0.168,0.212,0.248,2500,11
0.474,0.382,0.38,0.364,0.358,0.188,0.23,0.296,2500,74
0.52,0.4013,0.3667,0.2094,0.2418,0.09,0.1141,0.1959,50000,80
0.5265,0.369,0.34125,0.2195,0.25,0.10725,0.142,0.22125,20000,75
0.485,0.41,0.43,0.395,0.385,0.165,0.18,0.225,1000,23
0.526,0.346,0.3273333333333333,0.244,0.272,0.146,0.192,0.268,7500,90
0.5215,0.4048,0.3666,0.2103,0.2325,0.0845,0.1141,0.1952,50000,94
0.5035,0.3475,0.33,0.2655,0.2775,0.134,0.183,0.269,10000,82
0.5163,0.41,0.3743,0.2073,0.2285,0.0891,0.1168,0.1926,50000,61
0.529,0.3375,0.3235,0.238,0.2435,0.1245,0.1735,0.253,10000,81
0.525,0.372,0.3495,0.2135,0.24225,0.10325,0.1395,0.21425,20000,76
0.49666666666666665,0.3446666666666667,0.348,0.2673333333333333,0.28733333333333333,0.158,0.198,0.2806666666666667,7500,57
0.5162,0.4042,0.3712,0.2036,0.2273,0.0899,0.1188,0.1991,50000,64
0.508,0.3313333333333333,0.32666666666666666,0.2806666666666667,0.2946666666666667,0.15066666666666667,0.212,0.302,7500,13
0.525,0.36025,0.3295,0.2125,0.22275,0.09775,0.13775,0.21525,20000,86
0.555,0.42,0.41,0.325,0.31,0.155,0.195,0.3,1000,100
0.508,0.374,0.356,0.336,0.33,0.156,0.21,0.266,2500,99
0.5,0.455,0.485,0.385,0.355,0.165,0.18,0.26,1000,5
0.5033333333333333,0.3473333333333333,0.3413333333333333,0.27266666666666667,0.294,0.154,0.204,0.2826666666666667,7500,47
0.47,0.37,0.376,0.354,0.372,0.192,0.238,0.308,2500,62
0.5218,0.4064,0.3696,0.2095,0.2421,0.0898,0.1219,0.2053,50000,76
0.522,0.392,0.372,0.322,0.314,0.162,0.218,0.266,2500,80
0.5326666666666666,0.3353333333333333,0.32066666666666666,0.25,0.25733333333333336,0.13466666666666666,0.18533333333333332,0.26266666666666666,7500,49
0.514,0.331,0.3135,0.2305,0.24,0.128,0.1705,0.244,10000,57
0.5229,0.4025,0.3685,0.2074,0.2395,0.0906,0.1187,0.1951,50000,27
0.555,0.41,0.43,0.4,0.33,0.195,0.225,0.29,1000,45
0.505,0.475,0.495,0.42,0.43,0.18,0.205,0.245,1000,24
0.5,0.406,0.394,0.36,0.374,0.174,0.208,0.292,2500,29
0.522,0.374,0.382,0.302,0.334,0.178,0.24,0.268,2500,84
0.5101,0.3937,0.361,0.2159,0.2378,0.0938,0.1259,0.2036,50000,99
0.5033333333333333,0.3466666666666667,0.35,0.26266666666666666,0.2886666666666667,0.148,0.20266666666666666,0.2846666666666667,7500,87
0.5013333333333333,0.3333333333333333,0.31866666666666665,0.27266666666666667,0.26866666666666666,0.14,0.19,0.274,7500,17
0.474,0.4,0.396,0.372,0.38,0.204,0.242,0.266,2500,76
0.482,0.348,0.362,0.344,0.368,0.198,0.24,0.314,2500,36
0.529,0.3985,0.3631,0.1992,0.234,0.0898,0.1179,0.1923,50000,46
0.52,0.4029,0.3758,0.2216,0.2428,0.0924,0.121,0.2043,50000,28
0.488,0.388,0.386,0.368,0.338,0.178,0.238,0.3,2500,59
0.527,0.355,0.3435,0.259,0.2665,0.127,0.185,0.2655,10000,42
0.46,0.37,0.386,0.376,0.348,0.176,0.228,0.296,2500,25
0.5119,0.3999,0.372,0.2072,0.2439,0.0943,0.123,0.2009,50000,98
