newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
0.2482,0.6193,0.2393,0.2421,0.2532,0.2061,0.2023,0.229,50000,57
0.318,0.63075,0.307,0.267,0.28225,0.232,0.2325,0.25975,20000,58
0.455,0.61,0.465,0.405,0.4,0.46,0.46,0.445,1000,64
0.2481,0.6277,0.2417,0.2418,0.2558,0.207,0.2004,0.2255,50000,65
0.3115,0.638,0.30325,0.25875,0.273,0.2245,0.22575,0.24925,20000,13
0.45,0.665,0.42,0.355,0.335,0.445,0.45,0.455,1000,85
0.3895,0.62,0.3705,0.296,0.3115,0.257,0.2645,0.2915,10000,6
0.3155,0.6365,0.30125,0.2595,0.273,0.22825,0.22475,0.25475,20000,19
0.455,0.68,0.405,0.36,0.355,0.55,0.54,0.385,1000,76
0.408,0.6126666666666667,0.368,0.30866666666666664,0.324,0.24933333333333332,0.25933333333333336,0.30866666666666664,7500,88
0.48,0.564,0.444,0.38,0.42,0.318,0.322,0.454,2500,33
0.3015,0.63,0.29475,0.261,0.28,0.23275,0.22825,0.25675,20000,3
0.2437,0.6278,0.2378,0.2391,0.2555,0.2031,0.1964,0.2243,50000,39
0.2537,0.623,0.2503,0.2473,0.2608,0.2101,0.2081,0.2301,50000,71
0.30425,0.6265,0.29,0.26375,0.27925,0.23175,0.22425,0.25375,20000,66
0.41,0.6273333333333333,0.37733333333333335,0.2926666666666667,0.31866666666666665,0.25533333333333336,0.26066666666666666,0.2986666666666667,7500,63
0.3795,0.627,0.3465,0.3125,0.33,0.261,0.2675,0.2995,10000,97
0.31625,0.627,0.30475,0.2705,0.28575,0.234,0.2325,0.26225,20000,2
0.2447,0.6156,0.2384,0.2424,0.2564,0.204,0.2046,0.2257,50000,36
0.2479,0.6151,0.2433,0.2471,0.2576,0.2075,0.2022,0.2325,50000,84
0.43866666666666665,0.6026666666666667,0.41133333333333333,0.3253333333333333,0.348,0.2806666666666667,0.284,0.318,7500,5
0.43733333333333335,0.612,0.402,0.32,0.35,0.26466666666666666,0.28733333333333333,0.32466666666666666,7500,78
0.3855,0.6175,0.3605,0.312,0.3205,0.276,0.2835,0.3115,10000,52
0.244,0.6379,0.2372,0.2405,0.2597,0.2036,0.1999,0.2244,50000,89
0.405,0.6245,0.374,0.305,0.326,0.2675,0.2735,0.301,10000,4
0.2521,0.6133,0.2483,0.2416,0.2571,0.2102,0.206,0.2284,50000,66
0.462,0.564,0.41,0.378,0.41,0.32,0.33,0.402,2500,14
0.425,0.575,0.445,0.425,0.435,0.48,0.48,0.46,1000,42
0.426,0.6006666666666667,0.394,0.33266666666666667,0.3506666666666667,0.274,0.282,0.3253333333333333,7500,24
0.408,0.574,0.374,0.324,0.35,0.2673333333333333,0.2833333333333333,0.32,7500,54
0.44,0.65,0.415,0.385,0.485,0.49,0.495,0.445,1000,63
0.373,0.6095,0.355,0.2965,0.321,0.25,0.263,0.289,10000,77
0.303,0.6395,0.293,0.258,0.28,0.227,0.227,0.252,20000,55
0.3155,0.644,0.29675,0.264,0.2785,0.2325,0.22925,0.26075,20000,15
0.48,0.574,0.432,0.356,0.386,0.346,0.364,0.35,2500,81
0.33075,0.632,0.31925,0.27575,0.296,0.2395,0.2375,0.26775,20000,23
0.2454,0.6302,0.2423,0.2445,0.2579,0.2069,0.2004,0.2294,50000,38
0.46,0.615,0.43,0.405,0.46,0.465,0.47,0.47,1000,46
0.2482,0.6163,0.2426,0.2395,0.2574,0.2079,0.2024,0.2281,50000,26
0.43,0.63,0.445,0.355,0.38,0.48,0.48,0.425,1000,77
0.313,0.6275,0.304,0.28475,0.2965,0.2475,0.2415,0.27475,20000,70
0.398,0.609,0.376,0.306,0.3205,0.271,0.2725,0.3025,10000,95
0.30275,0.62,0.29325,0.2645,0.27775,0.22875,0.2275,0.2535,20000,64
0.381,0.6255,0.3545,0.292,0.2965,0.2535,0.255,0.2855,10000,23
0.31975,0.64375,0.307,0.26875,0.28375,0.2285,0.2275,0.2565,20000,39
0.415,0.685,0.385,0.305,0.435,0.43,0.425,0.485,1000,86
0.2499,0.6103,0.2453,0.2435,0.2582,0.2065,0.2016,0.2252,50000,86
0.484,0.534,0.458,0.404,0.446,0.362,0.356,0.416,2500,65
0.2537,0.6167,0.2482,0.2446,0.2591,0.2084,0.2022,0.23,50000,50
0.464,0.548,0.432,0.394,0.428,0.312,0.336,0.452,2500,9
0.386,0.63,0.362,0.281,0.3015,0.2335,0.24,0.282,10000,17
0.31325,0.63775,0.301,0.27025,0.2855,0.2325,0.23425,0.25825,20000,78
0.3135,0.634,0.30475,0.27125,0.2875,0.23075,0.22825,0.2575,20000,44
0.41533333333333333,0.6166666666666667,0.37933333333333336,0.30866666666666664,0.33466666666666667,0.266,0.292,0.30333333333333334,7500,68
0.391,0.626,0.356,0.2835,0.3105,0.249,0.2595,0.285,10000,19
0.436,0.6166666666666667,0.41133333333333333,0.318,0.3293333333333333,0.256,0.2786666666666667,0.30866666666666664,7500,86
0.41733333333333333,0.576,0.3953333333333333,0.32666666666666666,0.356,0.27466666666666667,0.294,0.31666666666666665,7500,15
0.462,0.57,0.436,0.352,0.384,0.312,0.316,0.38,2500,22
0.32475,0.63675,0.3065,0.27375,0.2845,0.2375,0.23675,0.2595,20000,88
0.30725,0.61575,0.29475,0.272,0.29075,0.23675,0.235,0.26475,20000,91
0.379,0.5945,0.355,0.3135,0.3295,0.2755,0.2835,0.3025,10000,62
0.3925,0.638,0.365,0.2815,0.2925,0.2535,0.252,0.271,10000,67
0.32075,0.629,0.30575,0.266,0.28175,0.2355,0.2355,0.25875,20000,5
0.398,0.607,0.379,0.3055,0.3145,0.2605,0.271,0.2995,10000,91
0.388,0.6125,0.36,0.308,0.3225,0.2645,0.2725,0.304,10000,29
0.30025,0.64,0.29025,0.273,0.286,0.234,0.236,0.26325,20000,30
0.3175,0.63025,0.3095,0.2735,0.2925,0.23425,0.23125,0.2645,20000,49
0.445,0.665,0.415,0.355,0.355,0.425,0.42,0.51,1000,83
0.49,0.546,0.462,0.412,0.436,0.324,0.332,0.406,2500,89
0.43933333333333335,0.6106666666666667,0.396,0.30133333333333334,0.3233333333333333,0.24266666666666667,0.2653333333333333,0.308,7500,1
0.261,0.616,0.2559,0.2548,0.2745,0.2166,0.2131,0.2398,50000,2
0.3885,0.624,0.3575,0.301,0.314,0.266,0.2645,0.291,10000,47
0.3915,0.609,0.372,0.3165,0.3365,0.268,0.281,0.3115,10000,22
0.45066666666666666,0.5906666666666667,0.402,0.326,0.3526666666666667,0.27666666666666667,0.298,0.32133333333333336,7500,26
0.49,0.6,0.405,0.39,0.415,0.44,0.44,0.5,1000,91
0.478,0.57,0.444,0.366,0.42,0.324,0.342,0.396,2500,13
0.2521,0.6192,0.2472,0.2419,0.2572,0.2091,0.204,0.2329,50000,79
0.51,0.6,0.485,0.45,0.45,0.405,0.415,0.495,1000,84
0.301,0.6225,0.2925,0.26575,0.2785,0.23525,0.2305,0.255,20000,41
0.418,0.608,0.396,0.3075,0.325,0.262,0.276,0.2965,10000,12
0.42,0.595,0.41,0.38,0.395,0.44,0.445,0.515,1000,93
0.44,0.61,0.44,0.395,0.435,0.505,0.495,0.42,1000,99
0.47,0.625,0.435,0.41,0.375,0.475,0.485,0.405,1000,92
0.306,0.6305,0.29175,0.26375,0.276,0.22325,0.22275,0.254,20000,25
0.514,0.596,0.466,0.38,0.384,0.332,0.332,0.416,2500,49
0.2519,0.6167,0.2471,0.2468,0.2533,0.2128,0.2045,0.23,50000,44
0.415,0.62,0.45,0.405,0.495,0.455,0.455,0.475,1000,38
0.452,0.57,0.44,0.388,0.404,0.342,0.358,0.386,2500,61
0.407,0.609,0.385,0.3055,0.3265,0.2735,0.28,0.2995,10000,64
0.4553333333333333,0.5926666666666667,0.42733333333333334,0.3273333333333333,0.348,0.27466666666666667,0.30333333333333334,0.32666666666666666,7500,64
0.41,0.6085,0.393,0.3165,0.329,0.2725,0.28,0.3115,10000,28
0.47,0.582,0.454,0.384,0.404,0.328,0.354,0.39,2500,26
0.392,0.6105,0.3735,0.3015,0.3125,0.2745,0.269,0.2985,10000,13
0.424,0.6226666666666667,0.37,0.31066666666666665,0.33,0.262,0.2786666666666667,0.30933333333333335,7500,82
0.3005,0.63525,0.291,0.25875,0.2715,0.22325,0.22325,0.25075,20000,42
0.444,0.6026666666666667,0.4086666666666667,0.3393333333333333,0.3506666666666667,0.2713333333333333,0.296,0.32466666666666666,7500,10
0.3105,0.61725,0.30175,0.278,0.29075,0.25075,0.2465,0.273,20000,93
0.478,0.57,0.448,0.382,0.41,0.33,0.348,0.396,2500,67
0.4,0.6,0.385,0.415,0.5,0.485,0.48,0.46,1000,50
0.494,0.57,0.476,0.398,0.394,0.344,0.344,0.428,2500,98
0.2544,0.6118,0.2485,0.2444,0.2642,0.2123,0.2055,0.2331,50000,24
0.495,0.635,0.45,0.39,0.395,0.46,0.465,0.48,1000,98
0.3945,0.6295,0.3555,0.308,0.3405,0.279,0.268,0.3075,10000,8
0.446,0.6233333333333333,0.4166666666666667,0.33,0.3393333333333333,0.2786666666666667,0.28933333333333333,0.32266666666666666,7500,33
0.30725,0.64225,0.2955,0.27,0.2835,0.236,0.23175,0.25975,20000,18
0.316,0.6175,0.3045,0.279,0.29625,0.238,0.2345,0.26675,20000,10
0.472,0.566,0.428,0.386,0.424,0.336,0.338,0.372,2500,41
0.303,0.62,0.293,0.26925,0.2815,0.23025,0.22975,0.26075,20000,57
0.3145,0.63975,0.30175,0.27025,0.283,0.23525,0.23,0.26325,20000,72
0.375,0.66,0.34,0.335,0.355,0.445,0.44,0.48,1000,47
0.53,0.63,0.475,0.39,0.485,0.495,0.495,0.41,1000,52
0.4115,0.6185,0.387,0.325,0.3435,0.278,0.2775,0.314,10000,53
0.41933333333333334,0.598,0.404,0.33666666666666667,0.3626666666666667,0.26466666666666666,0.2946666666666667,0.322,7500,81
0.323,0.638,0.31025,0.26725,0.28275,0.2305,0.23,0.26125,20000,53
0.45,0.56,0.426,0.398,0.41,0.306,0.346,0.442,2500,78
0.424,0.5966666666666667,0.4013333333333333,0.33,0.34933333333333333,0.2833333333333333,0.298,0.32133333333333336,7500,66
0.45,0.614,0.422,0.362,0.394,0.326,0.326,0.398,2500,7
0.2505,0.6113,0.248,0.2464,0.2592,0.2079,0.2022,0.2307,50000,37
0.4093333333333333,0.6253333333333333,0.37,0.298,0.336,0.2653333333333333,0.282,0.29933333333333334,7500,96
0.498,0.576,0.46,0.394,0.41,0.302,0.306,0.42,2500,71
0.43,0.63,0.4,0.39,0.39,0.435,0.435,0.445,1000,62
0.3895,0.622,0.3645,0.303,0.3215,0.2515,0.271,0.3,10000,51
0.30775,0.614,0.2995,0.26725,0.28975,0.23775,0.2345,0.25525,20000,34
0.43,0.62,0.39,0.355,0.405,0.475,0.47,0.435,1000,87
0.3065,0.64175,0.2955,0.26075,0.28125,0.22775,0.229,0.25825,20000,48
0.476,0.564,0.438,0.394,0.41,0.306,0.322,0.408,2500,21
0.2547,0.615,0.2489,0.2484,0.2706,0.2147,0.2072,0.2355,50000,5
0.32075,0.63375,0.30525,0.273,0.29525,0.23825,0.235,0.268,20000,92
0.432,0.5913333333333334,0.3953333333333333,0.342,0.36133333333333334,0.2813333333333333,0.3006666666666667,0.33466666666666667,7500,39
0.3953333333333333,0.5926666666666667,0.35733333333333334,0.32466666666666666,0.34933333333333333,0.26866666666666666,0.2806666666666667,0.31133333333333335,7500,18
0.2552,0.6233,0.2499,0.2521,0.2619,0.2127,0.2069,0.2356,50000,82
0.48,0.562,0.442,0.42,0.45,0.33,0.344,0.432,2500,54
0.44866666666666666,0.5813333333333334,0.4093333333333333,0.32666666666666666,0.346,0.24933333333333332,0.27466666666666667,0.32266666666666666,7500,98
0.422,0.5746666666666667,0.4053333333333333,0.342,0.36666666666666664,0.296,0.306,0.3373333333333333,7500,36
0.2511,0.6143,0.2455,0.2482,0.2625,0.2109,0.2065,0.2351,50000,4
0.247,0.6249,0.2411,0.2409,0.2579,0.2118,0.2064,0.2321,50000,73
0.4,0.5965,0.3745,0.3085,0.3335,0.268,0.2705,0.309,10000,75
0.42533333333333334,0.6086666666666667,0.39466666666666667,0.31,0.318,0.24533333333333332,0.26866666666666666,0.308,7500,95
0.32225,0.61925,0.3175,0.27925,0.29825,0.25,0.24875,0.26875,20000,80
0.2491,0.6256,0.244,0.2487,0.2585,0.2086,0.2048,0.2314,50000,58
0.485,0.6,0.455,0.435,0.5,0.44,0.445,0.475,1000,22
0.48,0.605,0.46,0.39,0.4,0.37,0.38,0.53,1000,29
0.43133333333333335,0.6173333333333333,0.39266666666666666,0.3393333333333333,0.3626666666666667,0.2846666666666667,0.298,0.3313333333333333,7500,29
0.436,0.6086666666666667,0.4066666666666667,0.34,0.35333333333333333,0.28,0.2926666666666667,0.32666666666666666,7500,100
0.2538,0.6154,0.2499,0.2487,0.2663,0.2119,0.2074,0.2338,50000,30
0.4155,0.6075,0.3895,0.2975,0.3145,0.255,0.257,0.3005,10000,98
0.482,0.606,0.436,0.362,0.406,0.312,0.334,0.404,2500,28
0.2497,0.6204,0.2421,0.2486,0.2651,0.213,0.21,0.2337,50000,96
0.486,0.568,0.438,0.406,0.43,0.364,0.37,0.398,2500,45
0.321,0.62875,0.317,0.27075,0.2815,0.2395,0.23525,0.262,20000,36
0.2422,0.6273,0.2396,0.2446,0.2617,0.2057,0.2003,0.229,50000,19
0.49,0.64,0.48,0.38,0.44,0.46,0.46,0.485,1000,72
0.488,0.556,0.434,0.416,0.408,0.33,0.326,0.442,2500,11
