newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
0.512,0.328,0.321,0.285,0.3,0.166,0.242,0.277,4,90
0.389,0.114,0.15,0.127,0.138,0.015,0.074,0.173,10,51
0.524,0.347,0.333,0.287,0.293,0.163,0.215,0.296,4,28
0.475,0.464,0.458,0.345,0.345,0.356,0.356,0.416,2,98
0.375,0.065,0.105,0.105,0.099,0.008,0.045,0.127,12,35
0.508,0.485,0.507,0.354,0.354,0.417,0.417,0.428,2,24
0.494,0.49,0.498,0.348,0.348,0.384,0.384,0.398,2,66
0.368,0.035,0.048,0.05,0.037,0.0,0.015,0.103,16,66
0.368,0.038,0.052,0.049,0.042,0.001,0.013,0.077,16,67
0.432,0.144,0.17,0.142,0.145,0.032,0.093,0.19,8,17
0.447,0.264,0.267,0.229,0.246,0.071,0.16,0.253,6,63
0.374,0.047,0.065,0.048,0.057,0.001,0.017,0.091,16,57
0.4,0.125,0.136,0.111,0.123,0.016,0.057,0.149,10,82
0.518,0.323,0.317,0.265,0.279,0.152,0.2,0.28,4,18
0.421,0.117,0.118,0.117,0.103,0.01,0.057,0.16,10,17
0.366,0.032,0.065,0.065,0.053,0.001,0.024,0.09,16,71
0.399,0.044,0.072,0.061,0.054,0.0,0.019,0.093,16,55
0.481,0.489,0.495,0.325,0.325,0.357,0.357,0.435,2,25
0.494,0.37,0.36,0.308,0.317,0.165,0.229,0.331,4,74
0.399,0.135,0.146,0.111,0.117,0.01,0.059,0.169,10,88
0.466,0.265,0.276,0.224,0.236,0.08,0.148,0.255,6,22
0.378,0.029,0.04,0.047,0.035,0.0,0.004,0.078,18,46
0.433,0.171,0.189,0.163,0.169,0.033,0.095,0.206,8,13
0.4,0.179,0.216,0.166,0.177,0.041,0.108,0.202,8,39
0.51,0.346,0.334,0.306,0.304,0.169,0.232,0.306,4,39
0.455,0.224,0.234,0.222,0.216,0.065,0.144,0.247,6,3
0.406,0.162,0.194,0.169,0.167,0.031,0.099,0.209,8,55
0.421,0.261,0.265,0.224,0.236,0.081,0.155,0.255,6,58
0.396,0.054,0.061,0.056,0.041,0.0,0.014,0.081,16,7
0.419,0.114,0.13,0.087,0.107,0.021,0.061,0.154,10,96
0.384,0.028,0.055,0.052,0.041,0.002,0.016,0.079,18,27
0.368,0.033,0.042,0.042,0.028,0.001,0.01,0.065,18,69
0.45,0.231,0.247,0.206,0.222,0.077,0.146,0.231,6,20
0.452,0.23,0.233,0.233,0.228,0.086,0.164,0.259,6,48
0.398,0.041,0.073,0.05,0.054,0.001,0.016,0.078,16,96
0.462,0.226,0.243,0.22,0.214,0.062,0.141,0.241,6,59
0.458,0.257,0.265,0.228,0.223,0.077,0.161,0.261,6,11
0.482,0.477,0.505,0.354,0.354,0.383,0.383,0.42,2,41
0.447,0.241,0.274,0.209,0.225,0.084,0.146,0.244,6,90
0.384,0.033,0.05,0.051,0.041,0.001,0.016,0.085,16,17
0.387,0.025,0.041,0.036,0.037,0.001,0.009,0.063,18,96
0.494,0.329,0.311,0.256,0.271,0.156,0.202,0.271,4,20
0.381,0.029,0.051,0.041,0.043,0.002,0.023,0.088,16,76
0.365,0.036,0.053,0.059,0.054,0.004,0.025,0.094,16,84
0.38,0.046,0.067,0.06,0.058,0.003,0.023,0.102,14,64
0.417,0.183,0.192,0.158,0.152,0.035,0.107,0.193,8,77
0.434,0.146,0.174,0.152,0.15,0.03,0.096,0.184,8,59
0.381,0.071,0.105,0.091,0.1,0.017,0.04,0.127,12,88
0.449,0.233,0.229,0.21,0.21,0.056,0.13,0.235,6,72
0.453,0.271,0.272,0.202,0.226,0.062,0.13,0.248,6,57
