newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
-0.093167682749755,-0.015090437210868496,-0.09389741415898914,-0.12830508438225385,-0.07446512542982259,-1.5328668584266856,-1.1952852894654638,-1.1790178593617562,4,90
-0.21478006726002327,-0.07478631639120795,-0.28154393495401714,-0.364365862742236,-0.1357296944534262,-0.9623273116956333,-0.7001666026367254,-0.40235855288752803,10,51
-0.10895853110143275,-0.025416133149744426,-0.09922646085534291,-0.114223125963997,-0.0655756920141942,-1.313142217743435,-0.9845404893897095,-1.1067700577600152,4,28
4.911113572064751e-11,2.0412750588449934e-10,-1.8739034363807193e-10,-0.025130883432154846,-0.025130883432154846,-1.3920803550249512,-1.3920803550249512,-3.4767336597769107,2,98
-0.2705850094595536,-0.07988673148904615,-0.346332127754191,-0.47533414254274087,-0.15340445116103676,-1.0383537797021403,-0.7610394155656396,-0.512788765571962,12,35
2.791849348787734e-10,-2.4666687604979474e-10,-4.6525746727477115e-11,-0.029111745229666575,-0.029111745229666575,-1.503429427404046,-1.503429427404046,-3.5442705284398097,2,24
3.003421824437913e-10,2.1783088770266358e-10,-7.192439618886048e-11,-0.022531859845513875,-0.022531859845513875,-1.2999038319158884,-1.2999038319158884,-3.755920159091236,2,66
-0.4045038885793425,-0.10961336595107408,-0.493106943419321,-0.611372217214215,-0.17918072741718286,-1.175487603561698,-0.9273321739199227,-0.6821414176745911,16,66
-0.3638163172898649,-0.11990308817922037,-0.45322093973297933,-0.5631195107240881,-0.2046111207884164,-1.142381965094519,-0.8897901092250168,-0.6482888916945592,16,67
-0.1780709609720459,-0.054567461119895674,-0.2344914725457633,-0.31290769889690123,-0.16369643500501632,-0.9201258816745607,-0.6242225753118734,-0.4450159985469919,8,17
-0.12570306040932577,-0.04642398806622225,-0.1333126859107714,-0.23027834721518897,-0.12645146770166538,-0.97954724956565,-0.6222629031498147,-0.436405532494594,6,63
-0.3854564698722026,-0.08892944704853693,-0.4735065080853407,-0.5791467891873867,-0.14482955553108495,-1.0971671848880964,-0.8740865123932192,-0.6438971605887686,16,57
-0.19296246405648337,-0.08101303303181058,-0.2578775196478536,-0.39090958847990626,-0.1454917463366619,-1.007576460527045,-0.711978170121604,-0.4281533076507155,10,82
-0.09501881727721323,-0.015273836970617363,-0.0895698622563686,-0.13598829406254448,-0.07858180010017174,-1.5145567920864016,-1.1934849740749682,-1.1869852436385826,4,18
-0.17751802112652457,-0.08429823810001381,-0.2429509078966589,-0.36970243537812963,-0.16107092620918118,-0.953056537763754,-0.6575575971574369,-0.40560824316840105,10,17
-0.3680392250727683,-0.1048151349880006,-0.4636877168791067,-0.5735287969615215,-0.17379423583136802,-1.1381993618743047,-0.9009806037744442,-0.6568682304648094,16,71
-0.39780709870220193,-0.09776252421249315,-0.5003281398679849,-0.5956107961486571,-0.17195334445747004,-1.1437987050755194,-0.9120354061762708,-0.6663416195326037,16,55
3.606837297165377e-10,5.522804257807046e-10,3.256108692811788e-10,-0.021704632500057188,-0.021704632500057188,-1.3172048281766693,-1.3172048281766693,-3.614818455687004,2,25
-0.09298744858131172,-0.00938276699960944,-0.09726968909948255,-0.13628585711293942,-0.09428877176542502,-1.4939804201254294,-1.15894814573613,-0.8313060483961455,4,74
-0.19481916309993444,-0.08277212473389209,-0.251903495483942,-0.34312739222831046,-0.13304335273488874,-0.8896184688193565,-0.6316415138358646,-0.3897807333830925,10,88
-0.15919205982684356,-0.03421124520265399,-0.1808082719264259,-0.2533057450104454,-0.1514597264027493,-1.0951195770372626,-0.7416776082364456,-0.3097276790560578,6,22
-0.41427340739927254,-0.13535841688072128,-0.5068566023229477,-0.6263922794527635,-0.1821233544668865,-1.190408470619499,-0.9352831745329836,-0.6966492420734673,18,46
-0.16988150364945598,-0.06127902551497619,-0.21142742261687322,-0.28719893390421714,-0.09963478017757867,-0.8961977712291441,-0.615281905807285,-0.3602354963383973,8,13
-0.1901705839967146,-0.05053939308919595,-0.2369956689698367,-0.34243247536183785,-0.1606378932715053,-0.9649345830329278,-0.6610799091335978,-0.3635949830281088,8,39
-0.06407523498097385,-0.02118739364873996,-0.06004213223074553,-0.12345509257421924,-0.06281548056984686,-1.502438612699053,-1.1343467881920173,-0.8288742034819814,4,39
-0.16208535146181538,-0.024877457240202662,-0.20684591793659987,-0.2993040058719632,-0.1557965376891301,-1.029756462120522,-0.7001689057016423,-0.5615907553067526,6,3
-0.18563116462400336,-0.06676816966597585,-0.23447083032557253,-0.32251230528374003,-0.1089349756511673,-0.9506126217417082,-0.6551205128097082,-0.4043371331025369,8,55
-0.13238040932160466,-0.03289152470057428,-0.15794093428374514,-0.24413007926358682,-0.11763077658508313,-1.1185174023022704,-0.760871905336028,-0.41149753418393337,6,58
-0.3659665973568565,-0.11399367804672056,-0.44890950230827936,-0.5483984617655299,-0.19552806045925936,-1.0974679422320337,-0.8592122692669872,-0.6259936360086326,16,7
-0.23652650547691173,-0.07343668501252441,-0.3098203809007782,-0.4175244457046552,-0.17387205099847922,-0.9754995734498714,-0.7023123969029856,-0.43951430502949373,10,96
-0.40817099395661194,-0.13611185179201277,-0.5059972108144719,-0.6302828346976903,-0.17709467331672712,-1.1360158205700917,-0.9190729421966186,-0.6864465281065759,18,27
-0.4612418296815922,-0.1194346267113196,-0.5596706645120748,-0.6482920443420813,-0.21022259209146765,-1.1513208091355454,-0.9467878078005514,-0.7148011695839285,18,69
-0.11963721559396842,-0.051834550512302124,-0.1321987203872597,-0.20444426400532545,-0.09814377019276091,-1.053211316947206,-0.6891236868023778,-0.3888033514402991,6,20
-0.15119497913206542,-0.0390542490522143,-0.17948067852412528,-0.24158675946608724,-0.11635980554622194,-1.0311776441198819,-0.7050514331827249,-0.3838935727757474,6,48
-0.3500560821148301,-0.10689068347824278,-0.43244210645933584,-0.5544356347733863,-0.14746537470345306,-1.10446698811227,-0.854324645540168,-0.616411266045801,16,96
-0.14338013206976666,-0.0349041622169284,-0.17148215204993766,-0.25612487235665404,-0.11192768694979403,-1.1259953449317666,-0.7988367622532578,-0.36009234040766663,6,59
-0.13245248879716207,-0.03943211059187162,-0.16608477178924452,-0.25435878548092666,-0.11617854738684803,-1.0452430615396586,-0.7067097999971413,-0.39998627596784625,6,11
1.3504518495133233e-10,-2.0108735440671488e-11,-3.712158168495128e-10,-0.021011753927385107,-0.021011753927385107,-1.1804386791574721,-1.1804386791574721,-2.9500267434527787,2,41
-0.13553703706729653,-0.03059152890628455,-0.15347642942184064,-0.25976704763638064,-0.12810351740882875,-1.152687941731143,-0.8107570516181237,-0.44562881236989516,6,90
-0.38430158580289786,-0.09920394846467157,-0.47450202965497024,-0.5816172694055501,-0.17537115251619725,-1.1047257731824274,-0.8733507454850796,-0.63851714162154,16,17
-0.4272850740679793,-0.11125292205396764,-0.5189757121358717,-0.6150892570987373,-0.13857223644914507,-1.1049983065118818,-0.8957743907635876,-0.6742047423111289,18,96
-0.10137364641653723,-0.011629915041895615,-0.10171011012795708,-0.14480087633682695,-0.08356135577777693,-1.457668037203137,-1.095869558413188,-1.0137332528191623,4,20
-0.3749840134196386,-0.1419626885106971,-0.46262028725277343,-0.5679780542608637,-0.2346080641510186,-1.1345964999395886,-0.9011093786845165,-0.6344079484901595,16,76
-0.3472782363177704,-0.1629371778690035,-0.43039664995751564,-0.5162104791317438,-0.12355385065860748,-0.9812631432281302,-0.7808861217318576,-0.5705611229636903,16,84
-0.30362767332584095,-0.12043034049003179,-0.378815260130115,-0.5170665719617313,-0.14158074457001749,-1.0287687990747714,-0.78812863873627,-0.5533019735466538,14,64
-0.17729064058709734,-0.04889107252462306,-0.22657066257768999,-0.34134451939489874,-0.1519460907987834,-0.9730617603825823,-0.6732484498674995,-0.4183443196741331,8,77
-0.18981869863870535,-0.052818682559126494,-0.249946738855891,-0.3238413596784114,-0.1471666719854141,-0.9358942037779552,-0.6644507592901787,-0.4638503094406775,8,59
-0.29539318520673336,-0.06747766452786322,-0.3812084093309798,-0.4841811885422508,-0.18804387531930855,-1.0436816604196146,-0.7831476937483717,-0.53077927331683,12,88
-0.13303749563058007,-0.021941285720981682,-0.17001261804084428,-0.2731975093603536,-0.12513671308942978,-1.1784705895332643,-0.8257976324845515,-0.4771601219714119,6,72
