newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
-1.254050365192353,-1.1759731196534662,-1.254780096601587,-1.160882682442598,-1.2891877668248517,-1.2353478078724207,-2.6937495408692835,-2.356167971908062,-2.339900541804354,4,90
-1.9776721040355698,-1.8376783531667544,-2.044435971729564,-1.7628920367755463,-2.127257899517782,-1.8986217312289728,-2.7252193484711795,-2.4630586394122718,-2.1652505896630747,10,51
-1.2984623774504227,-1.2149199794987344,-1.288730307204333,-1.18950384634899,-1.3037269723129872,-1.2550795383631839,-2.502646064092425,-2.1740443357386994,-2.2962739041090052,4,28
-0.6291911803090441,-0.6291911801540278,-0.6291911805455455,-0.6291911803581551,-0.65432206379031,-0.65432206379031,-2.0212715353831063,-2.0212715353831063,-4.105924840135066,2,98
-2.0863851640811966,-1.8956868861106895,-2.1621322823758344,-1.8158001546216433,-2.291134297164384,-1.9692046057826802,-2.854153934323784,-2.5768395701872833,-2.328588920193605,12,35
-0.6128340740152357,-0.6128340745410876,-0.6128340743409465,-0.6128340742944208,-0.6419458195240872,-0.6419458195240872,-2.1162635016984668,-2.1162635016984668,-4.157104602734231,2,24
-0.6275254706628225,-0.6275254707453337,-0.627525471035089,-0.6275254709631646,-0.6500573308086784,-0.6500573308086784,-1.9274293028790532,-1.9274293028790532,-4.383445630054401,2,66
-2.3402916285967166,-2.0454011059684487,-2.4288946834366953,-1.9357877400173742,-2.5471599572315893,-2.114968467434557,-3.111275343579072,-2.8631199139372967,-2.6179291576919654,16,66
-2.3332511141352907,-2.0893378850246465,-2.422655736578405,-1.9694347968454258,-2.5325543075695136,-2.174045917633842,-3.1118167619399446,-2.8592249060704424,-2.6177236885399853,16,67
-1.7902968908616252,-1.6667933910094752,-1.846717402435343,-1.6122259298895796,-1.9251336287864809,-1.7759223648945959,-2.53235181156414,-2.2364485052014533,-2.0572419284365715,8,17
-1.5490011547161038,-1.4697220823730004,-1.5566107802175497,-1.4232980943067783,-1.6535764415219671,-1.5497495620084438,-2.402845343872428,-2.045560997456593,-1.8597036268013725,6,63
-2.3657174638481484,-2.069190441024483,-2.4537675020612864,-1.980260993975946,-2.5594077831633326,-2.1250905495070307,-3.077428178864042,-2.8543475063691655,-2.624158154564714,16,57
-1.9072311018763524,-1.7952816708516797,-1.9721461574677226,-1.7142686378198688,-2.105178226299775,-1.8597603841565309,-2.721845098346914,-2.426246807941473,-2.1424219454705846,10,82
