newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
-13.001524931668683,-13.212845310239304,-12.973084725302323,-13.185527896770983,-3.0048116056044454,-3.0102706936000563,-9.274467892166912,-8.53346596271673,-12.865549950907225,2580,88
-2.267405142982311,-2.541448414148162,-2.24889694012496,-2.4888703973911466,-2.780345853760884,-2.729760404586512,-4.768304036383948,-3.680261447233225,-2.7573127164516835,16384,73
-24.316240456808337,-24.415421718413715,-24.31132872084202,-24.42179320529129,-3.0919584943517715,-3.1392101662621488,-10.911546244128978,-10.5806870475919,-23.812253584345797,1024,72
-2.0487201977615466,-2.0874088087258165,-2.0473315228612554,-2.0813142546129724,-2.556301779033318,-2.3667453539551957,-4.842749001937329,-3.990151393827968,-2.7382965440115203,262144,1
-2.063017525525324,-2.100853895353742,-2.061610853264268,-2.093830052297543,-2.557717486264984,-2.373410092856922,-4.832988289471398,-3.9906355767270982,-2.742322869002152,262144,60
-2.068359668623688,-2.152223515488795,-2.066242441022625,-2.13799681149192,-2.6408306258712497,-2.436313929797545,-4.852367270749987,-3.9456723535309743,-2.7404326297462105,104031,18
-15.05385383791545,-15.231240378309352,-15.05140450044339,-15.22131727645412,-2.9914601247115566,-2.971286975082645,-9.392140638400274,-8.618465786897742,-14.939450517537525,2580,82
-3.5177460091771264,-3.797980099395749,-3.4877328506258194,-3.750051126711112,-2.936813926673582,-2.8675177411749333,-5.342232096815395,-4.208477741688756,-3.8217805499834943,6501,28
-22.46938609416785,-22.45791074850685,-22.450371560121077,-22.438307850647256,-3.171037225297905,-3.2123267284477826,-6.436403210799624,-6.304767704677969,-21.831614562225703,406,4
-2.121154627648436,-2.304556725376177,-2.113333763355908,-2.2695203119194263,-2.6622197209135603,-2.562541431926516,-4.821682237208993,-3.827230046631773,-2.739975577139384,41285,21
-2.059478954478956,-2.096555574056062,-2.058651903383301,-2.09064652512684,-2.5414277449332703,-2.320931435997371,-4.85891490354546,-4.01182331525512,-2.7407759084338768,262144,66
-21.196645405248425,-21.35420837835754,-21.24383084750861,-21.394872322227314,-3.115766559515946,-3.126469196645498,-6.027815863797184,-5.905367035212095,-20.82893215538587,406,48
-2.2880887159847365,-2.5372871986400587,-2.2680202319423675,-2.4865427759291383,-2.8214113635501645,-2.7464056175198808,-4.781719109717191,-3.665353148199761,-2.7555362017148552,16384,56
-15.503506392044905,-15.784931739440594,-15.51580403573896,-15.795187458959392,-2.997901098347361,-3.0228927237133085,-9.41729664448448,-8.654624052477104,-15.4120952131173,2580,42
-2.1746374939127624,-2.3579169311414145,-2.1652503838803216,-2.3128693972307426,-2.750288819007643,-2.601252196495814,-4.784067286187497,-3.838977112205504,-2.759199313376494,41285,85
-14.031806899668329,-14.234044927235589,-14.03185487221087,-14.22148154513309,-2.995200844482461,-2.995039286729088,-9.139600670120847,-8.36798403067829,-13.911620094743588,2580,70
-8.761756862108102,-8.94417084249526,-8.761042284485269,-8.929691878074836,-3.14926302048256,-3.2029296671816243,-3.811834632391073,-3.7693628467208167,-8.536182428287894,64,58
-6.8961791068564935,-7.084986977500305,-6.910631205655648,-7.084921592365528,-3.0911063638038363,-3.1168250936187154,-3.476601525068681,-3.4417544086284684,-6.76496312597709,64,96
-22.68805633812506,-22.8063566744818,-22.71989273318664,-22.823436583159506,-3.1174203282707693,-3.128644115058475,-6.456848290172276,-6.351783848920666,-22.22617948703052,406,100
-2.057501279774149,-2.098195528870695,-2.056208112286419,-2.092553830620689,-2.5341218357399677,-2.328232413714312,-4.858254364078989,-3.993803213868046,-2.7414590805276937,262144,73
-2.262432956950722,-2.5161977105862787,-2.244831176428055,-2.4580905799352046,-2.7780193696325157,-2.7181021909637666,-4.79014961182979,-3.659130312285383,-2.753938178978068,16384,17
-2.16367976426154,-2.339422631249832,-2.155738046274723,-2.2944688888999742,-2.683062361528978,-2.5797226817054058,-4.773022078093126,-3.84016417890047,-2.756674025666883,41285,72
-2.061524078528719,-2.098211196864118,-2.0603962353831737,-2.0927808926510894,-2.5233259526499303,-2.317082402841979,-4.837004886750948,-3.972841294700916,-2.740887880710115,262144,48
-26.91698289360532,-27.13607523589417,-26.95467112494611,-27.162712474102875,-3.0965891102920544,-3.1198443307060653,-9.895519713402392,-9.540770002276163,-26.45253694079879,1024,91
-2.164795389926541,-2.3249317844456474,-2.157843379707845,-2.2909686810661904,-2.693968032564668,-2.6452114926535244,-4.818647186628712,-3.836725579745186,-2.753914548560351,41285,83
-2.0640049476189866,-2.1035791899690715,-2.062600231517985,-2.0969323446064303,-2.538687814637667,-2.3166257625190747,-4.860740767205111,-3.998199382212324,-2.7425855825786467,262144,63
-6.694831544168496,-6.9747094417321005,-6.725895322955664,-6.993924559288865,-3.2429030355222017,-3.191845272473599,-3.671895852963324,-3.7722386800046808,-6.658325098221713,64,60
-2.264203552255285,-2.513813319324488,-2.248616191514942,-2.464594093180814,-2.788002992941211,-2.733994680931869,-4.781772497983465,-3.6985110790061047,-2.755138253258599,16384,14
-3.5780214168147157,-3.869553275015531,-3.54779193284872,-3.8012830743530586,-2.899015847636782,-2.947281873605552,-5.16942889168259,-4.090778632717307,-3.7950108353106433,6501,98
-2.075288762008684,-2.1631842998113058,-2.071613347209091,-2.1469560717840026,-2.5738999237630136,-2.4325270857867776,-4.87416081946851,-3.9457510927522073,-2.741075061021918,104031,46
0.0,0.0,0.0,0.0,-3.1780538301722734,-3.1780538301590164,-3.1780538301935737,-3.1780538301929204,0.0,64,52
-2.2592933695814703,-2.514293080631673,-2.2456985687151625,-2.464854477373812,-2.802075088590845,-2.731553839686357,-4.756317086519096,-3.680406411708296,-2.762315575552245,16384,63
-2.046383586491024,-2.083927828751281,-2.045228880407765,-2.0786821776705136,-2.5639099306992192,-2.348770716773578,-4.871254542864159,-3.9911392683897615,-2.7373124070413364,262144,20
