newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,ratio,rep
-2.9575060649319345,-3.680470550261248,-2.9496950243301447,-3.527428353720325,-3.182096006499932,-3.0763974962237755,-3.562904408974321,-3.6804583802249735,-3.066133588066967,25,5
-3.1226931465456698,-3.642592229157826,-3.112684908936137,-3.394396238653248,-3.175115400932388,-3.1448228863172645,-3.64840448746924,-3.56125401988158,-3.085858719988096,5,73
-3.299485827659167,-3.5499462819947865,-3.26606984014474,-3.3908247242715555,-3.158441944595532,-3.116011753709558,-3.938448095371241,-3.548738352779343,-3.304041088967348,2,39
-2.933249428749982,-3.665147608998551,-2.924961927031931,-3.5239930374110284,-3.0804344512599693,-3.140812983077454,-3.6055213609765153,-3.7299596642760457,-3.059855128191901,25,82
-3.32463033046446,-3.354878200341234,-3.217532924962197,-3.199466332264705,-3.166329501821516,-3.14033531404022,-4.971581683604293,-4.369452321310216,-4.889505711149928,1,38
-3.0269130493222605,-3.5673396493015463,-3.02298613269497,-3.312910090868028,-3.133420723017309,-3.103048782057368,-3.687665926853336,-3.5901339603206006,-3.0631904254442865,5,64
-3.7473578716460474,-3.543019090114388,-3.615746448486308,-3.439399310858187,-3.262395968634316,-3.947386119411193,-8.376646562433205,-8.23909880040004,-26.081410981275088,0.25,38
-3.2700596298168367,-3.611453765641338,-3.230876661210065,-3.404420514092156,-3.1206779279662857,-3.094196266416521,-3.913166900156333,-3.565634122275298,-3.363050419463929,2,14
-3.4488545123147243,-3.2953401188886846,-3.3342235013267314,-3.205444967527801,-3.2071681327506254,-3.447001638125494,-8.306721374909268,-7.849828299602978,-15.033214536923111,0.5,90
-2.9609536354886203,-3.672167489925584,-2.953676266556123,-3.5334502301890462,-3.0797410543606256,-3.0780285592855687,-3.554888478141053,-3.679647503894512,-3.066635996488717,25,44
-3.4262249467741306,-3.2637858634939345,-3.3447751560262646,-3.2085629867502146,-3.543179650409175,-3.189594702116457,-9.98127906971138,-9.712090156681844,-23.3569979877181,0.25,32
-3.45824257939453,-3.278809582676457,-3.3449954624568066,-3.182217293696949,-3.1296269174962763,-3.113479646693482,-8.819806688536568,-8.24856931860023,-14.164236968476182,0.5,27
-3.007869971630176,-3.6476538955885536,-3.000114742088398,-3.43167039881567,-3.075908021948452,-3.069617205726179,-3.5943958998454484,-3.619094944104819,-3.0718675955522565,10,11
-3.5069442134602804,-3.1430097104340824,-3.3679343909287094,-3.0728227237918464,-3.1542536151945626,-3.0632552097860826,-8.367297759593896,-7.884052905414843,-15.991207112812193,0.5,63
-3.470447827092244,-3.4707506546830103,-3.345316371351962,-3.272957810150805,-3.1474573721561785,-3.105491728469853,-5.157273252002599,-4.548601793478162,-6.9730674860927175,1,73
-2.9859906168732104,-3.684433131398342,-2.9783435363341715,-3.4392075737610166,-3.0744184740599034,-3.0901542013705314,-3.599132375162549,-3.621925182356371,-3.0653358888096656,10,23
-3.344408269463353,-3.621310979063285,-3.290141236857276,-3.4253899873304103,-3.131006020426185,-3.07953104574422,-3.9919708669437775,-3.583793482849679,-3.315209939774836,2,61
-2.941756246831456,-3.655053056400388,-2.934922124996051,-3.51964278283979,-3.05991532018284,-3.1702850181701394,-3.555301406990233,-3.676794954083455,-3.064251577399898,25,17
-3.444395474087006,-3.312294552783525,-3.348530221288009,-3.1756344300513133,-3.1907274630435096,-3.121933604059399,-4.73898523250193,-4.139795920285365,-5.367889872331573,1,51
-2.9177043474105897,-3.600399765971364,-2.9145001248608,-3.458036087768952,-3.053541977805384,-3.09491249558538,-3.588106823857804,-3.721586678129378,-3.055193439364842,25,64
-3.4573776922010286,-3.3679767278472696,-3.335601307269385,-3.1987445317554744,-3.1165536280552457,-3.206413038430499,-4.696547580288212,-4.174356373001874,-5.496094433904137,1,27
-2.9322987243429823,-3.64655482342876,-2.924853452789361,-3.504689639637876,-3.0822396254454327,-3.1056419130828385,-3.5782595053656747,-3.692602603543069,-3.0599639375577627,25,79
-2.963486948162554,-3.6848331984801534,-2.957087435407869,-3.541531839490039,-3.129627710179877,-3.1344224658412307,-3.559518053528065,-3.669144693264177,-3.067731833487206,25,13
-2.976615750308979,-3.649447414255587,-2.9732361793596174,-3.419391816450149,-3.094486373957626,-3.134944167210056,-3.581153618996181,-3.615805754461353,-3.063828749435696,10,21
-3.5487268960512908,-3.2501816879862147,-3.447059767626177,-3.160271203543015,-3.1634658060092877,-3.2661082322864634,-7.501813447940231,-7.02353987231719,-16.541379054669168,0.5,25
-3.5649921016389645,-3.4302295511185203,-3.447721397216445,-3.3275630606818565,-3.357910568185446,-3.24200448386779,-7.242547982667949,-6.793799208737142,-12.656612007834312,0.5,16
