BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,K,rep
-2.184021632942616,-2.4150640055101285,-2.170772811597381,-2.3676706536439136,-2.7362936274518965,-2.6391744349069586,-4.852496051877797,-3.77664813606905,-2.744922058300165,4,90
-10.962855791368863,-13.09369369696155,-10.928531164177636,-12.219129112897347,-13.280077692602926,-12.905073496096202,-20.839578575232743,-15.770003152233354,-12.98779103883736,10,51
-2.160774739496095,-2.387167376610696,-2.150839688968761,-2.342204424029475,-2.8365546794617416,-2.7090962808991224,-4.85150530176677,-3.78014490811162,-2.745230433924167,4,28
-0.5082133550751347,-0.50821335491917,-0.5082133549607787,-0.5082133548824167,-0.6088980424584596,-0.6088980424584596,-1.0342319049374376,-1.0342319049374376,-0.62795843047795,2,98
-14.770984681816202,-17.83885506154498,-14.73545026038548,-16.45530456002107,-17.448376819360256,-17.123626818881736,-27.10441399252244,-20.65174568044657,-17.255674263442764,12,35
-0.5065655351177878,-0.5065655350906827,-0.5065655351471962,-0.5065655350947964,-0.6047995428732325,-0.6047995428732325,-1.0357239080331289,-1.0357239080331289,-0.6375188238192362,2,24
-0.5046428490577779,-0.5046428491217153,-0.5046428491839391,-0.504642849210474,-0.6006974185792147,-0.6006974185792147,-1.0444336656618611,-1.0444336656618611,-0.6477240001579614,2,66
-23.016039791475816,-28.352452274250005,-22.975627241558428,-25.725825164746134,-26.921646897559707,-26.598525488968416,-40.81366177152791,-31.32546470674554,-26.55238189077256,16,66
-23.001760705658874,-28.075804420191293,-22.960972710520892,-25.61534545922189,-26.84539996805513,-26.590249434743196,-40.87519610484226,-31.35003160040573,-26.549649983161856,16,67
-7.517679305863171,-8.83183776196207,-7.488536604561674,-8.371517808171465,-9.156583687948704,-8.976777942120322,-15.101411862993016,-11.255207390297782,-9.074352447665712,8,17
-4.6478969670384265,-5.317908843131868,-4.627065631553819,-5.110173736324901,-5.661318608362398,-5.508717388208736,-9.522331184759633,-7.218037277124388,-5.659229452765435,6,63
-23.17318596354565,-28.37662209913957,-23.129360475354037,-25.768451624245767,-27.054728763384645,-26.596656179529223,-40.52719942271044,-31.37166057059554,-26.639314888384614,16,57
-10.911298064952312,-13.003183333960392,-10.876162514149147,-12.183047894576973,-13.183077921480889,-12.837356141937867,-20.95862559223725,-15.776241670308751,-12.960665701128374,10,82
-2.14474478254061,-2.3692690807587167,-2.1328075445778656,-2.32866887491558,-2.7694537714466363,-2.642430053761648,-4.833557630972283,-3.778748542242054,-2.741314418351038,4,18
-10.880512845425368,-12.96815392444011,-10.846856789693389,-12.128252118655055,-13.169028401207708,-12.773281205497986,-20.96826186164494,-15.779859464585336,-12.956159120538471,10,17
-23.00474328148521,-28.257092283486976,-22.95704221029768,-25.691460906334708,-27.01224830259251,-26.61356165499349,-40.91248762368574,-31.34401928642377,-26.547264026422532,16,71
-23.1090851646545,-28.211760442813013,-23.06737585115613,-25.694804833916,-27.20972931935289,-26.525627568067563,-40.51058937891411,-31.32324618618101,-26.60404342504028,16,55
-0.5144221727418677,-0.5144221727862849,-0.5144221727352458,-0.514422172841127,-0.6029564851291933,-0.6029564851291933,-1.0418813302737566,-1.0418813302737566,-0.6416336766176987,2,25
-2.1835166806339465,-2.413552107148127,-2.1745713528133592,-2.3694419011270087,-2.750691148810545,-2.6644026065509583,-4.835802480657596,-3.7611728612106985,-2.753523893594014,4,74
-10.888117199140186,-12.98715917971501,-10.856817039447789,-12.175817884038358,-13.130457682848148,-12.918841458474368,-20.996159707094343,-15.750230544915937,-12.943372857372506,10,88
-4.585115581584269,-5.265271903188902,-4.560961004241939,-5.065375140959055,-5.696740613279213,-5.57233997672478,-9.611528615395384,-7.228611280127023,-5.636068704317254,6,22
-27.689066225816955,-34.11389292634702,-27.64660054362875,-30.79558484454127,-32.317984140157826,-31.647854145719915,-47.51261192541669,-37.05503380609323,-31.684610984040784,18,46
-7.485225259863853,-8.782439890101525,-7.458788707995421,-8.331954546022228,-9.44142694529804,-8.999458934922284,-15.117002890100732,-11.23718594779432,-9.06642101047203,8,13
-7.603777386384533,-8.905122371448343,-7.576589022894941,-8.432765200165747,-9.2172646292423,-8.955688740377168,-14.980517675483592,-11.256378630950374,-9.10083404717693,8,39
-2.192012964134745,-2.424735107882088,-2.182166238641175,-2.3759232073652767,-2.738082936550812,-2.6705242996182506,-4.811109503167274,-3.737912909909712,-2.749574181414564,4,39
-4.562629381660607,-5.23834268655839,-4.540228335909003,-5.041187313582661,-5.708145392739799,-5.555997308923147,-9.650181088308818,-7.226730735503184,-5.630666653693455,6,3
-7.587438160815361,-8.95703734360885,-7.559868299585968,-8.455168089316691,-9.296086792179524,-8.999226316963847,-14.888673261691409,-11.24674896712333,-9.10754574459607,8,55
-4.621973034739713,-5.312432180439608,-4.59836559270233,-5.1064120008265865,-5.748459390763376,-5.552180832133185,-9.522369307236383,-7.2331586619935875,-5.657077021290573,6,58
