newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
-2.210351176004769,-2.1229051594480457,-2.213249692356616,-2.1098731781925637,-1.2924591188286418,-1.247057193474567,-2.593071447469879,-2.251050067161616,-2.2167342749804395,4,90
-1.9540764280142748,-1.816271939458765,-2.0084723192525957,-1.7413598130666157,-2.127550550523206,-1.8759606038186247,-2.66523434659903,-2.4009264451041217,-2.161790006499688,10,51
-2.0943326452185977,-2.0094739801993216,-2.095763789748436,-1.9941458094594475,-1.28808043437333,-1.2193364361958077,-2.625612343683358,-2.2765353100848507,-2.119293068178484,4,28
-3.6811901266459977,-3.6811901266459977,-3.6811901266459977,-3.6811901266459977,-0.6596767025104557,-0.6596767025104557,-1.9256804902748157,-1.9256804902748157,-3.659707742337602,2,98
-2.127155046823145,-1.952426951211111,-2.199604778151369,-1.8531886395645225,-2.295241167359494,-1.990025592520172,-2.8436935571253303,-2.584662475088963,-2.365707688357967,12,35
-4.239555019674814,-4.239555019674814,-4.239555019674814,-4.239555019674814,-0.6487083566115511,-0.6487083566115511,-2.013777098053432,-2.013777098053432,-4.2257314277664255,2,24
-4.375978263940091,-4.375978263940091,-4.375978263940091,-4.375978263940091,-0.6587734853726587,-0.6587734853726587,-1.9480929440654875,-1.9480929440654875,-4.346399585743002,2,66
-2.3810606183458023,-2.123133155110813,-2.464850496708821,-2.009683574457308,-2.5842015854649643,-2.1771658529674123,-3.066286667322366,-2.851328356684736,-2.626585991352409,16,66
-2.362102863392679,-2.1071267240697344,-2.457995251448183,-1.9891353369761795,-2.5411909864929543,-2.1440395793427007,-3.0760418544379955,-2.8564484101077907,-2.6219286086992226,16,67
-1.836561022571518,-1.6837662387908707,-1.880311858676514,-1.6304384662704323,-1.9348172247898787,-1.752489949167508,-2.55430708030268,-2.2688947807112,-1.960733995543617,8,17
-1.898205078435613,-1.789953688294956,-1.915559033427382,-1.7615228225601378,-1.661117751150064,-1.5356836922860158,-2.5483128112799003,-2.1801338117133358,-2.0155056313669664,6,63
-2.3378278443146785,-2.081146603765549,-2.435498362136356,-1.9610499423931496,-2.566034692740366,-2.123936816458306,-3.098874119520165,-2.859617090126427,-2.615162022444466,16,57
-2.004976739652637,-1.84132233203122,-2.0718402392410247,-1.751601735191442,-2.1268386653044136,-1.8841680112521075,-2.6510744082698987,-2.4091322038235004,-2.1715566339705425,10,82
-2.1453679390426994,-2.072560492041161,-2.1506422861657017,-2.0578972857959754,-1.2785600337373235,-1.2492255162874375,-2.639635816917663,-2.28100457187404,-2.179033705666827,4,18
-1.963180404260104,-1.8053887853503845,-2.030229337972551,-1.7414712630175797,-2.1417719952267444,-1.882283789923772,-2.718182603054174,-2.431953173091687,-2.1567705001958672,10,17
-2.343364692012168,-2.1514620252421337,-2.426327257159122,-2.011433400133672,-2.5747879187358693,-2.183576892176453,-3.097158386697564,-2.854728514545996,-2.617597243062335,16,71
-2.368179137560418,-2.121440592234848,-2.461343130982269,-1.988741604005532,-2.55849312504758,-2.144808730780672,-3.0791318794652427,-2.8504449750761705,-2.623219955746374,16,55
-3.875244927857033,-3.875244927857033,-3.875244927857033,-3.875244927857033,-0.6448788751352046,-0.6448788751352046,-1.826234937183212,-1.826234937183212,-3.8640748200279633,2,25
-2.349007009368665,-2.2557487311713458,-2.348087954545168,-2.241712960844171,-1.285771202195479,-1.224700213575846,-2.729270695240625,-2.381644860202829,-2.36070211645284,4,74
-2.007487687388402,-1.831653364995648,-2.0670008728747558,-1.7641837051163212,-2.155780117350634,-1.8971325207952383,-2.669833505980584,-2.419242590407722,-2.170945813323637,10,88
-1.6070492106809198,-1.5038992312464083,-1.640716845843132,-1.4803301837980998,-1.6657038080514486,-1.5391425971520467,-2.625387491213016,-2.278509912298747,-1.7394552127377454,6,22
-2.457100429175074,-2.179540044762552,-2.5512668959606626,-2.051969512377521,-2.654217673896582,-2.203660264059765,-3.1973935686020893,-2.974870219145839,-2.738744578437765,18,46
-1.8065490633206904,-1.6578555046841377,-1.8588688635447783,-1.6155500738727946,-1.9196827892243624,-1.71742301664644,-2.5975623160521666,-2.307100540778674,-1.986023900415508,8,13
-1.8030095608163124,-1.6592151402693194,-1.8481488873560457,-1.6065339013473494,-1.931741884746968,-1.7219194189915557,-2.5535201835625787,-2.2449338224113,-1.9636117158862687,8,39
-2.3174255221250024,-2.2674169922622838,-2.3182393613679904,-2.254619531241503,-1.2838444864541156,-1.239414507561578,-2.6240344890255782,-2.2429315296022567,-2.353531783698907,4,39
-1.8310203650013448,-1.7241244339616726,-1.857319973669546,-1.6988665465596473,-1.634879339978217,-1.526698754266332,-2.516578824337814,-2.162317315208471,-1.9666132999821984,6,3
-1.8381169730278373,-1.69616024261327,-1.8824618554276351,-1.6359020750449569,-1.9285082305237933,-1.7375260278562306,-2.517735740870037,-2.232031782513492,-1.971386130521852,8,55
-1.7100619562778758,-1.6084872565737214,-1.7329361885394992,-1.5784644720598269,-1.6688530553976224,-1.5307923616467023,-2.4445490018985208,-2.0740639715671314,-1.8085061985250208,6,58
-2.350670703905537,-2.155140122961701,-2.4360596537691603,-2.01527387002513,-2.54484644152102,-2.168152864763756,-3.0932461888936484,-2.854628956816892,-2.6186890961010825,16,7
-2.023528160249554,-1.902317484824764,-2.086361941700964,-1.8134974770280887,-2.1371160558799267,-1.8995660404462196,-2.656789027292799,-2.4264936185426413,-2.1961888220369192,10,96
-2.4891798137914085,-2.211406610082964,-2.576505524404724,-2.07638192680777,-2.6834215273889237,-2.2257849566307533,-3.179019596137063,-2.970386739045545,-2.751331855875925,18,27
-2.522309542828981,-2.207869884381298,-2.613408388674669,-2.0843340351667887,-2.701968636304452,-2.2591204024833806,-3.164046070817314,-2.964162174069562,-2.7589483063738016,18,69
-1.7135407285395603,-1.6002709983937815,-1.734583387715237,-1.5649727514228855,-1.6649160682889346,-1.5669962068745744,-2.5544460196866954,-2.218978971080848,-1.7979179979879332,6,20
-1.747527663195553,-1.629325992964064,-1.7706486709410916,-1.5931429707878946,-1.656032233787334,-1.5233306259296595,-2.5686100940388097,-2.227433271870986,-1.8380300462537036,6,48
-2.351450285178439,-2.0649650267364383,-2.452905225820807,-1.9507806120623152,-2.538561482086405,-2.155447272731709,-3.0895984916205284,-2.8641966282597315,-2.617381210618075,16,96
-1.7337232081634004,-1.6355428468530029,-1.7543257131840315,-1.6048284778165922,-1.652795479189055,-1.5337039313844527,-2.4839149824003086,-2.122879036769278,-1.855781003139899,6,59
-1.707859895109595,-1.6167173084647566,-1.7236867317833875,-1.56629728169585,-1.664749900375505,-1.5405478106140575,-2.5077227711327703,-2.1592413790926823,-1.7742849459931895,6,11
-4.273022129461541,-4.273022129461541,-4.273022129461541,-4.273022129461541,-0.6433402041248573,-0.6433402041248573,-1.900961629758389,-1.900961629758389,-4.261219950614238,2,41
-1.7966291037307778,-1.668411663115506,-1.8196893219376111,-1.6133475684110286,-1.6833345211189967,-1.5381802676119931,-2.44169220239955,-2.1464813256971733,-1.8435861348401796,6,90
-2.3493507791424557,-2.131781249740238,-2.440757494954214,-2.0032042818454023,-2.554622660449573,-2.1611412946896307,-3.08426545224173,-2.851555710799926,-2.623488935398904,16,17
-2.4632155775047258,-2.164750391203859,-2.560575315924855,-2.028530855943845,-2.6626976201096366,-2.208780916828492,-3.1949304152482383,-2.96315556261325,-2.7368600824891125,18,96
-2.284318432387878,-2.1797552967081444,-2.2900016250527626,-2.174332422576811,-1.2748448119217024,-1.224880709821366,-2.7404289213881445,-2.396605283529267,-2.304929261515968,4,20
-2.3715143001594106,-2.05659954926554,-2.4617167101191164,-1.9586968937412028,-2.554394858747868,-2.109227670243909,-3.0776978083333777,-2.8578755519989665,-2.625115760193073,16,76
-2.378880655925733,-2.122479409539453,-2.467528013262631,-1.989552096161236,-2.558384158287305,-2.1377134637375974,-3.086294205090876,-2.8600251765332776,-2.6297314409114203,16,84
-2.3038774482073223,-2.129392091594553,-2.387044505157611,-2.0100606238237995,-2.4547188453006474,-2.1272634194952045,-2.93907240003801,-2.7257339809379757,-2.5223517086934844,14,64
-1.7985057174301289,-1.678754572932269,-1.8549359670712149,-1.6211018158019606,-1.911006600170884,-1.7328789432718787,-2.4875450527238825,-2.196214605377558,-1.9655406483689424,8,77
-1.836455706635834,-1.737904099189591,-1.8601522587653103,-1.6654379843313871,-1.9211473071816496,-1.7352027697398245,-2.570204979472909,-2.252371886368372,-1.994850078013832,8,59
-2.107406132288032,-1.9253155763307448,-2.185024679910416,-1.8213327834884816,-2.3094417693252085,-1.9870558268543317,-2.8499460683476547,-2.591553306774051,-2.33891763411018,12,88
-1.6037267530941377,-1.4586496546218743,-1.6265633905867625,-1.435106943538301,-1.6555615928095706,-1.509406024768967,-2.6366566205482984,-2.274781901467694,-1.726208921031086,6,72
-1.7449397750671196,-1.663487561745388,-1.7561793692505083,-1.6104508448325014,-1.6752927790160002,-1.5449157229540884,-2.462877862305924,-2.1186245122781804,-1.845601997503215,6,57
-1.934926027139048,-1.7851089803358609,-1.9847397381210488,-1.7340143284801883,-1.9370222250519864,-1.7374220640577924,-2.537784925273117,-2.2669908714387077,-2.0861802156735942,8,100
-2.0790010469248026,-1.962865097586911,-2.153996196965809,-1.847448391036865,-2.314258759179726,-2.001611767143451,-2.84408478677531,-2.5712200787806485,-2.333419001320356,12,57
-2.445596937455629,-2.149319438120762,-2.537647075235879,-2.029149051731128,-2.690252169004217,-2.209937766608862,-3.196450112517714,-2.973050593399833,-2.736534278665166,18,22
-1.7941285696695206,-1.6549643245971766,-1.8394450471378367,-1.5991882819033436,-1.9090254026359903,-1.7419958802769815,-2.558973374034879,-2.237515050421598,-1.9472838580701384,8,72
-1.9778238218900717,-1.7942175379123269,-2.05675073123388,-1.7310477754813265,-2.155341530607378,-1.88438619746732,-2.6874250170813023,-2.424727242884512,-2.1655530073220435,10,61
-2.0869883592557046,-1.949533154701322,-2.1572128173086704,-1.8569718252077183,-2.2874555237344003,-1.9950550194294447,-2.848764772843372,-2.576770677169753,-2.331859579212781,12,56
-3.881715140549721,-3.881715140549721,-3.881715140549721,-3.881715140549721,-0.6569845146989387,-0.6569845146989387,-2.091756504664814,-2.091756504664814,-3.880739602222766,2,3
-2.220235786798234,-2.114668920327833,-2.227661346446351,-2.106749816924118,-1.299423496960506,-1.2441487454295177,-2.4965055917994583,-2.147855721985975,-2.2539069984268068,4,87
-1.7984862535139312,-1.682317795222798,-1.8436329633704944,-1.638920634162167,-1.9241866802463925,-1.7534644976648288,-2.576414823062677,-2.2654103481090133,-1.981074525092429,8,18
-2.00395731214401,-1.855491391663916,-2.0631498157456214,-1.789061469690132,-2.124905327366466,-1.901519259984512,-2.6791776574668846,-2.4305571378348323,-2.1862209326560182,10,97
-1.8313715195147424,-1.7417227421606774,-1.853888265432197,-1.6956795216445606,-1.6801836871750708,-1.5510533736265115,-2.3597209413522537,-2.049382160378045,-1.92081299203274,6,40
-2.158148068133096,-1.9534106769950892,-2.233336022526907,-1.8749052142771403,-2.313051492305489,-1.9953778532348847,-2.7910721477025247,-2.577129948523488,-2.3542979727051625,12,7
-2.046013576009066,-1.992557351509443,-2.0444134549439816,-1.9726991596975127,-1.2910703023890036,-1.2265739902016168,-2.6989277488725465,-2.3340554772295974,-2.087624220326443,4,43
-2.015180921466741,-1.9071435882110133,-2.078652568796976,-1.8056843610871565,-2.1332812135188504,-1.909339806567748,-2.6873107120072284,-2.437472675544906,-2.1920368583103467,10,54
-4.242044383058007,-4.242044383058007,-4.242044383058007,-4.242044383058007,-0.6536137347844768,-0.6536137347844768,-1.927412686209882,-1.927412686209882,-4.221644444927249,2,57
-4.056186635013909,-4.056186635013909,-4.056186635013909,-4.056186635013909,-0.6346732135137737,-0.6346732135137737,-2.08488679252872,-2.08488679252872,-4.050161741494783,2,36
-2.394968233813262,-2.051837932326668,-2.493749352385357,-1.9701492865732089,-2.5984807389285325,-2.150182559715881,-3.0664107932527798,-2.852554769684901,-2.626683159060536,16,70
-1.9346558237133349,-1.7823713113683637,-2.0044993945525627,-1.7086915191397416,-2.1251064879010086,-1.8962540415301452,-2.700471637319487,-2.4190640631366787,-2.156258089701179,10,42
-1.925178618716804,-1.7972665882473813,-1.994382432886479,-1.7181611087993578,-2.1182618037388936,-1.8660693898345997,-2.68576842176272,-2.4022420240991957,-2.1534133360336822,10,16
-1.978829366853523,-1.885923769041939,-1.9782112683391555,-1.8719335480031076,-1.2910040335928554,-1.222126459811392,-2.50617416458136,-2.1716730527491555,-1.9955894357243784,4,68
-1.8724823818376304,-1.697514480334906,-1.9141683112898615,-1.6374988445750418,-1.9228692636854448,-1.7661115032128067,-2.53779095191731,-2.284947851159089,-2.0005465689576294,8,56
-2.4270100041992126,-2.179468782168536,-2.5202480924464865,-2.0488828757202167,-2.5986436402025057,-2.216695756210772,-3.0545483970096727,-2.850177459498149,-2.638418973740465,16,95
-1.985179092315764,-1.8046977103430015,-2.049646223644525,-1.7377863019534052,-2.131907107573143,-1.8911563856265023,-2.689438205573898,-2.43214562294795,-2.168986659935879,10,81
-2.12854948550067,-2.0080584299873534,-2.199072170449304,-1.887961444410452,-2.29977701472809,-2.031711124273256,-2.8165006144758395,-2.568224736510834,-2.3504552080815637,12,34
-2.498308152401797,-2.1921418236342256,-2.59253865423933,-2.0747964173063824,-2.680112847769944,-2.2613730844030697,-3.176530984563476,-2.966705334098896,-2.750695069406266,18,7
-2.4256037033129023,-2.1797537872068338,-2.515360424919433,-2.0475544014851392,-2.652119614601009,-2.2029707319222003,-3.245313017233396,-3.001240083122472,-2.7310035827097354,18,5
-4.167264667264274,-4.167264667264274,-4.167264667264274,-4.167264667264274,-0.6597137173896072,-0.6597137173896072,-1.9997408165263768,-1.9997408165263768,-4.135735892908159,2,8
-2.210628481572436,-2.0531864513685605,-2.301220733688765,-1.9281318351807395,-2.455871654445068,-2.0867120430133634,-2.9874929142241977,-2.7275911559752517,-2.4853518660187985,14,97
-3.9000035167359735,-3.9000035167359735,-3.9000035167359735,-3.9000035167359735,-0.6528742484385174,-0.6528742484385174,-1.9806412118207444,-1.9806412118207444,-3.873847831427866,2,29
-4.179821077996434,-4.179821077996434,-4.179821077996434,-4.179821077996434,-0.6453111339891836,-0.6453111339891836,-2.044739528853189,-2.044739528853189,-4.169294856105203,2,14
-2.219108667342088,-2.1463347923451903,-2.211647716743898,-2.122113609488204,-1.293164325554599,-1.2427905845435063,-2.620905792637752,-2.300951994624401,-2.2162840925002687,4,6
-2.3577386980919672,-2.116146262850972,-2.43683234528168,-1.9994102941688423,-2.572969427130672,-2.146746196061481,-3.1097382447768203,-2.859774797786176,-2.629415927919125,16,26
-2.1090067428299144,-1.8833928495618844,-2.185982339809058,-1.7984755949842488,-2.2953353462512305,-1.9714618077176849,-2.816308371175306,-2.5759725344708384,-2.343634142782181,12,1
-2.3051338499169582,-2.235793613667869,-2.3103775565082203,-2.2177679335324494,-1.3010720971287362,-1.238419018662251,-2.553645080526164,-2.221966601789806,-2.3187844182320845,4,21
-3.926560885810468,-3.926560885810468,-3.926560885810468,-3.926560885810468,-0.6543772347203429,-0.6543772347203429,-2.0366390294906327,-2.0366390294906327,-3.9136589712849617,2,4
-1.891347984189794,-1.8063897238598488,-1.9321021786207164,-1.734437445804307,-1.936378267031132,-1.7582213586073634,-2.5864516066549377,-2.286020009740173,-2.0565022529941723,8,60
-2.11994707279192,-1.9169727975470183,-2.1925581461680856,-1.833640735036212,-2.307142511992315,-2.0095262992782854,-2.833873269262342,-2.5800752206060795,-2.345433253538193,12,11
-1.9398092290725184,-1.829072238710928,-2.003374391748212,-1.7505743047674989,-2.115634471615268,-1.9087128901599544,-2.684103415910112,-2.414721938551572,-2.157978829494644,10,58
-4.516679620846299,-4.516679620846299,-4.516679620846299,-4.516679620846299,-0.6656737429067913,-0.6656737429067913,-1.934730247989536,-1.934730247989536,-4.491155672304394,2,15
-1.9705803859793107,-1.821182694581424,-2.0319322734072407,-1.7523108731654815,-2.1330995038561777,-1.8907655284553253,-2.6695816270947006,-2.4261570595861177,-2.165873857293761,10,71
-2.09507161047003,-1.8715359644394889,-2.171132443629369,-1.80403490073108,-2.27848936668649,-1.9817100319000096,-2.8481709726391724,-2.5803788780929686,-2.335897806172605,12,26
-2.4948077448940595,-2.1713374204510707,-2.582982250771904,-2.050246152168558,-2.691564311422101,-2.228562074492808,-3.180559914214289,-2.968214154383225,-2.7458606020101373,18,84
-1.951732612612232,-1.8658439002510456,-1.9522936368274768,-1.8513264110463348,-1.2909863657463578,-1.2330457045820815,-2.606936188697829,-2.2470889207571507,-1.984462496751544,4,89
-1.717107785620705,-1.613596254970962,-1.7408091453795134,-1.5802851753443157,-1.6498864694491358,-1.5251607933060294,-2.731694259945511,-2.3426359644501047,-1.867125361132012,6,62
-2.2142814539866573,-2.0238318909266084,-2.288781592853062,-1.8994080026542235,-2.4319156535729807,-2.067688849549683,-2.997574133988939,-2.7428410098940152,-2.489805466639756,14,27
-2.118475848042823,-2.033688857466194,-2.123982081397423,-2.022840203151475,-1.2923143322927166,-1.2342935259442545,-2.707639716241089,-2.34845908448196,-2.1304179447702043,4,51
-2.3540094851998083,-2.1388053832121496,-2.444475129979063,-2.014935286600084,-2.5675931376843337,-2.174043515490583,-3.0891526439400785,-2.8542457267199404,-2.625278725870874,16,44
-2.203377560584051,-2.118028653914312,-2.192358803517035,-2.098902040623542,-1.30211686812364,-1.2365222090669583,-2.573203324107657,-2.2431134689923216,-2.197345384467325,4,22
-2.3450780445241914,-2.067471696315124,-2.428287499817837,-1.953995574934103,-2.551285381905536,-2.1141715624214306,-3.105350739950114,-2.8588169480204524,-2.621052727685212,16,59
-1.7840644693865024,-1.6481832157124194,-1.834869425857904,-1.5979462955905976,-1.9225725958568247,-1.7551835748539606,-2.6030769961672418,-2.283762163807615,-1.9590434757781907,8,34
-2.3569513678044083,-2.1338446946354552,-2.4413549739753915,-2.022964645646,-2.5676069802472083,-2.1767573463646075,-3.085573093633014,-2.855341972884941,-2.6270894959478,16,36
-1.8269873966165115,-1.6570796161496797,-1.8747193696502595,-1.6079235948105148,-1.9136486243399708,-1.692462255010908,-2.557864277636144,-2.247689836742231,-2.008516346893938,8,58
-2.246646154977885,-2.0438827305867977,-2.3239824651071466,-1.9360817321448656,-2.4463535046956717,-2.1106883870566024,-2.978404211363468,-2.7346431141685144,-2.4959021556235284,14,28
-2.368740112742411,-2.1290865852639174,-2.4607575691171744,-2.0026393056097365,-2.5485644412574517,-2.1630079118117136,-3.0778295634483173,-2.8520577376715543,-2.626111220118074,16,48
-2.2589448325000063,-2.001628323769526,-2.351856146996638,-1.893573730523852,-2.4580916145882457,-2.0769741909795694,-2.946864378015049,-2.72572649991382,-2.496549695797862,14,100
-2.4908409610112576,-2.226977746789189,-2.583012992026252,-2.081218996628582,-2.6825652834659985,-2.266490810811651,-3.1783389109310103,-2.967206679714558,-2.746335862230316,18,95
-1.8862948487603857,-1.7500983904368763,-1.9272214836403967,-1.6869695917878296,-1.9272878523278767,-1.7468597867892206,-2.6064749477008777,-2.3076357333301165,-2.0205143020677387,8,78
-1.960625869101376,-1.7766209116257698,-2.043116546794748,-1.7061267676739131,-2.1239864114290845,-1.8650670537567715,-2.696418047174582,-2.433144120869777,-2.15828837603753,10,6
-2.1496188511985865,-1.9871806167870427,-2.2266495604222247,-1.8941988107434031,-2.3111447792586675,-2.012200160966624,-2.801159943165241,-2.569494156337307,-2.350419383675544,12,79
-4.559684993881783,-4.559684993881783,-4.559684993881783,-4.559684993881783,-0.645495074048004,-0.645495074048004,-1.8790152409642245,-1.8790152409642245,-4.549922273924328,2,17
-2.094018321691504,-1.920997775570928,-2.169733918857059,-1.844241162870844,-2.295066467707591,-1.999995681656732,-2.8496146538598217,-2.579704231641453,-2.3361625551224505,12,2
-2.209570465220255,-2.051952742815546,-2.2902170295555644,-1.9488259395264864,-2.4449310539127183,-2.101674733304327,-2.990329469211116,-2.7264280839019506,-2.483848309652959,14,5
-2.482468778582688,-2.167318069349165,-2.5759313323925594,-2.050678044305466,-2.6608392269293195,-2.2427881851648728,-3.176574696205253,-2.967419341649952,-2.7444279024004,18,33
-1.966341003037412,-1.8180024978024985,-2.028073761790946,-1.735490276911198,-2.1377073299396065,-1.8864717799567432,-2.656133010168933,-2.409350337086184,-2.163062678599053,10,56
