HO_BT,HOL_BT,BIN,BINL,dataset,epoch
-2.10344,-1.9886,-2.06087,-1.98876,00003,48
-0.774782,-0.828368,-0.770062,-0.821298,00001,48
-1.29955,-0.760843,-1.20429,-0.737953,00008,28
-0.908181,-0.452202,-0.788113,-0.416106,00008,35
-2.20083,-1.78051,-2.01297,-1.66335,00010,15
-0.802881,-0.789865,-0.800482,-0.788177,00002,32
-0.88324,-0.943584,-0.888167,-0.978786,00001,32
-2.0607,-1.9524,-2.02013,-1.95247,00003,6
-0.0468134,-0.0468134,-0.0468134,-0.0468134,00009,24
-1.23407,-0.767474,-1.14605,-0.743185,00008,26
-2.03832,-1.92565,-2.00393,-1.9311,00004,45
-0.701031,-0.69133,-0.703962,-0.694316,00002,47
-2.05172,-1.89602,-2.00164,-1.89586,00003,8
-0.731822,-0.764331,-0.73681,-0.776088,00002,6
-2.11398,-1.97496,-2.06604,-1.97502,00003,19
-0.81719,-0.817019,-0.824031,-0.837956,00001,30
-2.10651,-2.01001,-2.06514,-2.01024,00003,47
-0.00821753,-0.0109525,-0.00815102,-0.01085,00005,8
-2.06952,-1.98033,-2.03475,-1.98351,00004,46
-0.0614114,-0.0614114,-0.0614114,-0.0614114,00009,23
-1.39498,-0.765445,-1.28767,-0.741119,00008,37
-0.764841,-0.765232,-0.763935,-0.774541,00002,5
-1.12563,-0.614981,-1.00304,-0.584758,00008,21
-0.0428879,-0.0428879,-0.0428879,-0.0428879,00009,46
-0.805292,-0.778532,-0.797132,-0.777669,00002,17
-0.00821793,-0.0109525,-0.00815162,-0.01085,00005,44
-0.815949,-0.827422,-0.81809,-0.829927,00001,21
-1.177,-1.16231,-1.17475,-1.16331,00006,49
-2.05828,-1.98568,-2.02916,-2.00119,00004,7
-1.23407,-0.767473,-1.14605,-0.743185,00008,6
-0.817882,-0.89226,-0.821205,-0.909478,00001,43
-0.82479,-0.849137,-0.811699,-0.820134,00001,47
-2.64267,-1.5332,-2.35752,-1.43896,00010,2
-1.97122,-1.57637,-1.84138,-1.47896,00010,31
-0.882214,-0.868528,-0.880135,-0.865234,00002,9
-1.18865,-1.17882,-1.18709,-1.17949,00006,39
-0.722955,-0.754651,-0.720904,-0.759345,00002,40
-0.00821627,-0.0109525,-0.00815322,-0.01085,00005,10
-2.41234,-2.38967,-2.20109,-2.54608,00010,18
-0.853159,-0.833993,-0.881581,-0.857068,00001,22
-1.18368,-1.17101,-1.18194,-1.17218,00006,29
-1.17516,-1.16298,-1.17295,-1.16333,00006,3
-1.05327,-0.604552,-0.94703,-0.576914,00008,16
-0.769755,-0.769256,-0.770867,-0.771897,00002,34
-1.94136,-1.64967,-1.7724,-1.54174,00010,48
-2.08421,-1.94498,-2.03719,-1.94495,00003,12
-0.00821739,-0.0109525,-0.00815134,-0.01085,00005,35
-1.35576,-0.757298,-1.2573,-0.735076,00008,7
-0.817116,-0.79714,-0.829509,-0.815186,00001,39
-1.26954,-0.763726,-1.16876,-0.73989,00008,36
-2.48312,-1.48427,-2.19626,-1.39612,00010,28
-0.966404,-0.596999,-0.87615,-0.57215,00008,25
-0.00821706,-0.0109525,-0.0081518,-0.01085,00005,37
-2.57221,-1.78546,-2.26789,-1.66642,00010,42
-2.08039,-2.00156,-2.04768,-2.00562,00004,29
-0.757297,-0.785744,-0.753385,-0.786855,00002,10
-0.0542171,-0.0542171,-0.0542171,-0.0542171,00009,22
-0.931744,-0.576642,-0.851528,-0.557678,00008,48
