HO_BT,HOL_BT,BIN,BINL,dataset,epoch
-14.3295,-15.8485,-14.3899,-15.8668,00003,48
-1.38785,-1.45692,-1.38178,-1.44988,00001,48
-4.00813,-6.15181,-4.20113,-6.82602,00008,28
-2.90078,-4.027,-2.97013,-4.41232,00008,35
-38.4553,-46.7018,-39.8492,-52.5136,00010,15
-1.48805,-1.50402,-1.49809,-1.51765,00002,32
-1.39647,-1.43611,-1.39735,-1.46967,00001,32
-14.2569,-15.8375,-14.3289,-15.8545,00003,6
-0.0468134,-0.0468134,-0.0468134,-0.0468134,00009,24
-3.77272,-6.2909,-3.70527,-6.97009,00008,26
-14.2392,-15.2822,-14.2635,-15.6064,00004,45
-1.13087,-1.14304,-1.13362,-1.13423,00002,47
-14.2091,-15.4545,-14.2472,-15.4668,00003,8
-1.31986,-1.3739,-1.34306,-1.41571,00002,6
-14.249,-15.5677,-14.2819,-15.5834,00003,19
-1.35089,-1.36718,-1.36186,-1.39643,00001,30
-14.294,-15.8567,-14.3412,-15.8756,00003,47
-5.75654,-6.60441,-5.78719,-6.60439,00005,8
-14.2466,-15.4119,-14.2956,-15.6302,00004,46
-0.0614114,-0.0614114,-0.0614114,-0.0614114,00009,23
-3.97222,-5.45498,-4.01252,-6.01167,00008,37
-1.41243,-1.43118,-1.40218,-1.44004,00002,5
-3.71138,-5.04071,-3.74988,-5.50051,00008,21
-0.0428879,-0.0428879,-0.0428879,-0.0428879,00009,46
-1.39594,-1.40406,-1.39626,-1.42286,00002,17
-5.93683,-6.60523,-5.93793,-6.6051,00005,44
-1.36545,-1.42188,-1.3617,-1.42304,00001,21
-3.07224,-3.09046,-3.07185,-3.08442,00006,49
-14.2553,-15.4156,-14.3071,-15.7769,00004,7
-3.77272,-6.29093,-3.70527,-6.97009,00008,6
-1.21989,-1.31843,-1.22836,-1.33647,00001,43
-1.47459,-1.5369,-1.481,-1.54064,00001,47
-37.3436,-40.9173,-37.3149,-43.8547,00010,2
-38.0408,-48.9678,-39.1358,-56.8036,00010,31
-1.41539,-1.39642,-1.42015,-1.39449,00002,9
-3.10729,-3.13902,-3.10829,-3.13086,00006,39
-1.25928,-1.32361,-1.25536,-1.33959,00002,40
-6.07912,-6.59302,-6.11595,-6.59285,00005,10
-39.6158,-49.0641,-41.0967,-55.2407,00010,18
-1.39069,-1.37346,-1.42335,-1.40666,00001,22
-3.09878,-3.12142,-3.09845,-3.11449,00006,29
-3.08102,-3.10981,-3.08097,-3.10135,00006,3
-3.21301,-4.83564,-3.29415,-5.31855,00008,16
-1.30319,-1.32465,-1.30468,-1.32441,00002,34
-36.7108,-47.7489,-38.7546,-54.8518,00010,48
-14.2966,-15.6865,-14.3575,-15.7012,00003,12
-5.87099,-6.58362,-5.88587,-6.58332,00005,35
-3.02664,-3.9579,-2.97074,-4.34802,00008,7
-1.31051,-1.29986,-1.33973,-1.32384,00001,39
