,dataset,Ours,Zermello,higher_order_speedup,Ours_BIN,Zermello_BIN,binary_speedup
4,9,6.96,601.18,86.37643678160919,7.26,2992.84,412.236914600551
5,14,14.82,28.9,1.9500674763832657,14.28,98.46,6.894957983193277
2,28,7.24,17.08,2.3591160220994474,7.14,34.74,4.865546218487395
9,52,94.38,128.54,1.3619410892138164,153.28,964.2,6.2904488517745305
6,100,19.22,54.58,2.839750260145682,26.78,257.34,9.60941000746826
0,102,11.78,59.96,5.089983022071308,10.9,126.52,11.607339449541284
8,103,9.42,50.22,5.3312101910828025,9.08,87.1,9.592511013215859
1,104,17.04,84.6,4.964788732394366,23.32,376.48,16.144082332761577
3,105,19.0,2771.98,145.89368421052632,19.0,2771.98,145.89368421052632
7,106,14.08,23.22,1.6491477272727273,9.82,68.04,6.928716904276986
