HO_BT,HOL_BT,BIN,BINL,Spring_Rank,Page_Rank,Point_Wise,dataset,epoch
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,7
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,17
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,15
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,13
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,0
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,18
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,10
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,12
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,17
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,4
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,16
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,11
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,4
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,9
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,1
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,9
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,15
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,18
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,6
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,14
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,19
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,14
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,17
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,6
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,11
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,7
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,19
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,12
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,8
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,19
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,16
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,2
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,13
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,6
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,7
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,1
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,2
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,5
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,15
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,1
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,2
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,0
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,10
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,4
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,8
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,16
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,10
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,18
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,9
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,3
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,8
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,13
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,5
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,0
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,5
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,3
-2.120921986795232,-2.020955493980091,-2.0829277998442066,-2.0258947822472324,-2.1276389063577605,-2.306419702604177,-2.194516740638893,00014,14
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,12
-1.134478597830522,-1.1314347453864158,-1.1334863457211677,-1.131508731655482,-4.38932713810533,-1.1323274866620057,-1.1323354531660996,00028,11
-0.986864404302612,-0.0155639337425461,-0.8966396640397268,-0.0152932309530697,-1.3861542631652866,-2.8768983944703286,-1.687371172616274,00009,3
