HO_BT,HOL_BT,BIN,BINL,Spring_Rank,Page_Rank,Point_Wise,dataset,epoch
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,7
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,17
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,15
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,13
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,0
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,18
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,10
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,12
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,17
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,4
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,16
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,11
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,4
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,9
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,1
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,9
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,15
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,18
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,6
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,14
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,19
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,14
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,17
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,6
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,11
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,7
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,19
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,12
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,8
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,19
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,16
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,2
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,13
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,6
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,7
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,1
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,2
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,5
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,15
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,1
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,2
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,0
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,10
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,4
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,8
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,16
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,10
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,18
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,9
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,3
