BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,distribution,rep
-0.8561664256349305,-0.9008860450449528,-0.85632865722828,-0.8946634087866674,-1.1710717953115215,-1.1371911145161295,-2.2242002512774763,-1.7373953020880482,-1.184880749327753,logistic,39
-1.4257312754619014,-1.544453494920744,-1.4159351927640216,-1.4987377625294465,-1.4175555949805263,-1.4398500920379702,-1.4459430663559754,-1.4267327519359767,-1.3803871878809,uniform,15
-0.8781740159322825,-0.9399096372513918,-0.8747301850190313,-0.9294870443721378,-1.2065150427331386,-1.116356628205545,-2.1985377751032638,-1.7169381407954605,-1.1869284010294254,logistic,7
-0.893968993779665,-0.9642323846943326,-0.8866741537794535,-0.9496282653900272,-1.195312362095649,-1.11066729838545,-2.1747482202339308,-1.693972648528687,-1.19064123465452,logistic,86
-1.1951145253867552,-1.2903737290131572,-1.1896482454984378,-1.2466752516960211,-1.2566513187627322,-1.2673861739071592,-1.7973602609689194,-1.5735008686873555,-1.2796137838378008,normal,20
-1.123057078179255,-1.200456151929008,-1.1203142404049793,-1.1632910431854786,-1.231946371279197,-1.2069138517234768,-1.847442228946299,-1.6798622455717094,-1.273529795554186,exponential,34
-1.1286528345036813,-1.214185801267285,-1.1257107405958002,-1.1752960246993658,-1.2201162931815468,-1.2376550650482172,-1.838391909485608,-1.6647133236499272,-1.278238826032965,exponential,50
-1.4355059832590564,-1.514412663664534,-1.4289274926572944,-1.4857929120593665,-1.4247646920645685,-1.505059289809305,-1.4422492337105923,-1.43160487883711,-1.386361235522934,beta,37
-1.1238343978643224,-1.1970257324701896,-1.1169501037630027,-1.1647868386328646,-1.2173559161629437,-1.2101525188740834,-1.8269526028753784,-1.6547284679021848,-1.276001978938545,exponential,31
-1.4253735033088797,-1.5161530444593787,-1.414232675625476,-1.4701790542372677,-1.4407469527397625,-1.4263286201640637,-1.439354528546571,-1.4185986429891224,-1.380106868334322,uniform,79
-1.1191082418181977,-1.1948509775815437,-1.1131838565065075,-1.1531621307604054,-1.205973726233201,-1.1956801328926192,-1.843127192700888,-1.6653875988948204,-1.2723922445994735,exponential,72
-0.887684071787396,-0.9536547580623396,-0.8824120577612464,-0.9444029851861052,-1.2022903311520177,-1.1139716396169044,-2.172807345620342,-1.7005636392559509,-1.1888536397754417,logistic,48
-1.4221939477838852,-1.5004442708328114,-1.419068510493804,-1.4715443817801552,-1.4104813919842143,-1.4978608923557053,-1.4335662809833882,-1.4277057527127612,-1.3818246850891849,beta,52
-0.9155086932551516,-0.9887322657803076,-0.908452672588652,-0.9757824249862422,-1.197049235810157,-1.112920450520191,-2.1629923099252397,-1.711295140160341,-1.1912420357427662,logistic,76
-1.1475348421157192,-1.20509017206763,-1.1466685396964955,-1.173253342042207,-1.240920095976764,-1.2174694549949032,-1.814648691132843,-1.670276310877209,-1.2816543913772096,gamma,61
-1.195557946088193,-1.2549803634010075,-1.191684265656777,-1.2274605712409907,-1.266053043856696,-1.2569940864581932,-1.7962370643231598,-1.576061874110651,-1.283036672446709,normal,45
-1.4127446721000936,-1.5087766248656376,-1.404724255198346,-1.469967316594166,-1.4275452084456044,-1.449171995694061,-1.4541616899381284,-1.4313998381375164,-1.3774727395551536,uniform,84
-1.1485918225808456,-1.2523674030796186,-1.139941679183321,-1.2115544356917878,-1.2526980460161072,-1.2284462354527548,-1.8130836294679404,-1.6424339925993048,-1.2824041833313142,exponential,69
-1.4139296374068118,-1.5088271749861584,-1.4040077952881398,-1.4681391740890153,-1.385805867240763,-1.4362274224691989,-1.435058042872935,-1.4171614096787766,-1.3777917128638644,uniform,26
-1.4343293944966726,-1.5275318715949957,-1.4284813173276871,-1.4928378824922055,-1.4380112501178413,-1.4273232470068753,-1.4308702514767744,-1.4190646872066623,-1.3826463818510455,uniform,76
-1.4248499302990028,-1.5093153456953552,-1.4207875362050058,-1.4663486856278585,-1.4074624870887344,-1.4198466790708433,-1.4536008610068962,-1.4336492171491897,-1.3792000290304178,uniform,21
