BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,distribution,rep
-2.094338194965615,-2.332864622239694,-2.0828785273680213,-2.2892738012753235,-2.687141706181539,-2.6801076277332934,-4.960289661348081,-3.807004860356957,-2.7235628397283795,logistic,39
-3.242385429198214,-3.4909224604750344,-3.222143649560765,-3.387667763724317,-3.245776222366266,-3.261851672382725,-3.3582887138435176,-3.30750479827596,-3.153823017528824,uniform,15
-2.1286388148011324,-2.373288073748732,-2.112294042880108,-2.3262383873259327,-2.775815584624866,-2.6678871477440564,-4.940009512325423,-3.7786787257417993,-2.726938207907467,logistic,7
-2.1606814237051246,-2.378811888514277,-2.1488930670501443,-2.3305419947331565,-2.7431017396678588,-2.632103916985208,-4.895942284427548,-3.7726388374699584,-2.736255716364068,logistic,86
-2.74706481107282,-3.038161597343556,-2.7348716690280908,-2.908417817544416,-2.871761208912027,-2.9969918241638096,-4.091800789187254,-3.5870630945993027,-2.924857311796223,normal,20
-2.8072400209833863,-3.0560210038215483,-2.795692806225185,-2.9235361446523864,-2.9847722658585543,-2.9243470221956493,-3.991992375534434,-3.695376632395188,-2.984238079038992,exponential,34
-2.7916801165780574,-3.047529470934725,-2.784549744555778,-2.920195013842666,-2.945628135732408,-2.961487620851428,-3.982949835254037,-3.691020078216108,-2.9861699924617637,exponential,50
-3.2701742916738303,-3.468787277864345,-3.2549132160542804,-3.395736892321659,-3.2932399991606736,-3.448311009280072,-3.3242505796479227,-3.299677856298655,-3.167585102601425,beta,37
-2.768822073252339,-3.025129711290472,-2.752163523631141,-2.9019570992265797,-2.917748159139408,-2.93856889387924,-3.975391975986555,-3.663102466333236,-2.975709801997884,exponential,31
-3.2415244078285563,-3.453861946763108,-3.224238189571489,-3.347063352590412,-3.2329091366851,-3.2754756205000195,-3.325302476174464,-3.2759516399858897,-3.1517072471632868,uniform,79
-2.76397516454782,-3.0353826053836657,-2.7475662539284174,-2.884876994405067,-2.9333683279094016,-2.947492519466907,-3.982276916542812,-3.6600765154453248,-2.978171219144107,exponential,72
-2.123746801154783,-2.4081051247005485,-2.107547081899936,-2.356628406918861,-2.7755648996975872,-2.673609543725451,-4.86936016870044,-3.731539124422311,-2.724915187818284,logistic,48
-3.266581116412581,-3.440987369113863,-3.260879255813364,-3.362809276391552,-3.261512638113937,-3.38008982009067,-3.308966870527581,-3.2869052601611264,-3.1666711441011075,beta,52
-2.1832270014503714,-2.421176505079001,-2.1687156553313383,-2.3692706310048304,-2.7669622028968885,-2.660254205528048,-4.859844318135021,-3.7829600545592688,-2.737853695542841,logistic,76
-2.8364818791148294,-3.0077651604880407,-2.832121408795666,-2.904079343852666,-2.984701315695353,-2.953533851353746,-3.916536741205402,-3.665279745194361,-2.997882717146564,gamma,61
-2.74701837946168,-2.978888861473042,-2.7302904777748607,-2.8813588029520325,-2.888362508587808,-2.9055911246817447,-4.079534559024119,-3.5728713759734485,-2.930134704384108,normal,45
-3.2577467044916912,-3.4675133077027502,-3.241834864615384,-3.3747087811574,-3.2424882838949087,-3.326438171078592,-3.3389966602758467,-3.299853839255721,-3.1602440774969227,uniform,84
-2.8073153825554846,-3.14804712865027,-2.785072555789562,-2.9983923819624327,-2.9927485839396257,-3.0276960124482466,-3.9521846408334302,-3.6416386083462986,-2.9897124764063125,exponential,69
-3.241506344084977,-3.46438170136972,-3.224995975911549,-3.358679415194638,-3.2318916031182097,-3.3289619234047803,-3.3301048338377184,-3.276295118951408,-3.1540555472407377,uniform,26
-3.2611080872101144,-3.487049906482127,-3.2517508416783074,-3.398353467776874,-3.2876099121482816,-3.2741167691303525,-3.3237739034728806,-3.2788926018555107,-3.156859184969467,uniform,76
-3.279209283575983,-3.4820066340858986,-3.2700703208360253,-3.376366192600198,-3.2648798724311985,-3.3137686545523564,-3.335791441310652,-3.2996575608690675,-3.161049643790472,uniform,21
-2.792725045909697,-3.148308647286297,-2.7802444097938945,-2.9754350967702585,-3.0147784778268374,-2.984957506530247,-3.9600188504978577,-3.627588123687189,-2.9878367569503896,exponential,70
-3.276731247473003,-3.4560069151984143,-3.2634614624319584,-3.3779531782897343,-3.300923804561799,-3.3506308112456806,-3.3118712859898234,-3.2890640338023704,-3.166256625749585,beta,23
-2.785893809254284,-3.070255745506701,-2.771912828750708,-2.9391566317645883,-2.9664866003188823,-2.98343352352708,-3.974882170527241,-3.659734223819751,-2.97990633413485,exponential,26
-2.828237746112989,-3.0886140197368817,-2.819961703994469,-2.951463849755512,-3.003506250757624,-3.027494930126455,-3.958351488613968,-3.6203473109235382,-2.9879563551365704,exponential,49
-2.730649411010805,-2.993118758300336,-2.712717495384428,-2.880707741231468,-2.880698301896389,-2.872662692703853,-4.081669899310083,-3.572152329226241,-2.9262986096712,normal,4
-3.274600825295658,-3.4762224949292877,-3.2694077625377505,-3.381164273658209,-3.2444547838602977,-3.279438509918815,-3.3194095832301005,-3.2763614639203773,-3.1595544273303284,uniform,31
-3.283799358805806,-3.5110841838117697,-3.267802017895644,-3.4054753050116844,-3.370900229086829,-3.3561112102457376,-3.2916430106394023,-3.257298208278084,-3.170900490257356,beta,80
-2.8014989913202197,-3.096717494825606,-2.785786265469677,-2.959955319985568,-2.974308784978454,-2.991921086362721,-3.977724092085338,-3.666614998855716,-2.985177224237831,exponential,36
-3.3135075465803894,-3.5331359361174126,-3.2979039960510668,-3.4391168998257204,-3.2638396888704824,-3.389313965862938,-3.28140057020604,-3.269931184772822,-3.1783994544313514,beta,96
-2.854796641249602,-3.106202863203344,-2.844679511051014,-2.97463552931908,-3.069589904758061,-3.050506238349608,-3.9128242441104,-3.6578090224658175,-3.006913660586205,gamma,13
-2.7222697881328703,-2.9919397066212934,-2.696613125951316,-2.8748266029043674,-2.886671664538283,-2.9061181065052715,-4.066442225460632,-3.584971371741641,-2.920913579072319,normal,50
-2.1178778715026643,-2.3750676801570574,-2.10491213337125,-2.323191373542296,-2.738236532885547,-2.628261530620658,-4.846872074052566,-3.8098835012035264,-2.7351037867802908,logistic,96
-2.7163976867724187,-2.991861832188309,-2.698357727263156,-2.8848333136775084,-2.8725199778205357,-2.8988286316888,-4.091453943064405,-3.5734453873713234,-2.921022656368216,normal,12
-3.2563422777539515,-3.4441856947585885,-3.245847805295915,-3.347374465236613,-3.206106533617677,-3.248789018424083,-3.330376859761839,-3.2887851989524304,-3.1539355884974096,uniform,25
-2.8510249432094685,-3.0729111025670552,-2.843944457991121,-2.9517348319723533,-2.9715013726292216,-2.9477714465866827,-3.9482683162164913,-3.664886872058663,-2.9971173380071505,gamma,65
-2.784084930612115,-3.068548659519365,-2.767572222400648,-2.9247160792496985,-2.9458616250562564,-2.9606216131165617,-3.949472238511007,-3.657882148904294,-2.9861224563908384,exponential,33
-2.7876221058514834,-3.0567102729759816,-2.7754997965306702,-2.9188405986700814,-2.956574698432265,-2.966676430375875,-3.974309599755369,-3.678383273039552,-2.9853755784215226,gamma,9
-2.089270343823685,-2.318430555706771,-2.077954424314297,-2.2813136546588417,-2.711747397032864,-2.602784162562501,-4.887153724583631,-3.787484823897964,-2.7160594550280748,logistic,78
