,dataset,C,C_std
7,1,10000.0,0.0
25,2,802.25,93.0573535655919
6,4,146.65,10.544517158469759
8,6,662.25,36.917938871588106
24,7,14.35,1.460893742308382
3,8,10000.0,0.0
9,9,11.4,0.5982430416161187
16,12,11.6,0.5982430416161189
14,14,30.1,3.9323222012872807
19,18,3646.7,774.8114269733127
21,24,35.25,1.446411166701189
10,25,4940.4,348.671222002378
2,28,12.05,0.6863327411532597
13,30,16.2,1.6091841672756186
5,32,69.0,8.783956667518465
4,34,431.5,70.38577906606449
17,35,9.35,0.4893604849295929
23,38,20.6,1.759186414825121
15,42,6266.5,3961.817625123201
12,45,66.8,5.395904879970014
22,52,212.95,17.554351687199805
11,53,44.2,3.3497839678968773
18,100,40.85,1.496487114615601
0,102,23.35,2.007223796297028
20,103,21.8,2.2147828692435603
1,104,42.3,2.9217874846167646
