N,M,K1,K2,std_bt_likelihood,ho_bt_likelihood
1000,64,2,3,0.7535866500578142,0.7543141959766765
1000,64,2,3,0.9706273782023588,0.9873481645776109
1000,64,2,3,0.7724253317494507,0.7722231506588083
1000,64,2,3,0.7010936983449435,0.6969764707842165
1000,64,2,3,0.5481881574972681,0.5468241473588724
1000,64,2,3,0.8949064944170433,0.895381140519419
1000,64,2,3,0.5667610528851725,0.5621102000481213
1000,64,2,3,1.2602941659379236,1.2597830839798148
1000,64,2,3,0.706825227174858,0.7074787275655354
1000,64,2,3,0.5788346150199462,0.5785517275474001
1000,64,2,3,0.55416100049777,0.5541599378898747
1000,64,2,3,0.651157334036004,0.6518055438773774
1000,64,2,3,0.6592141629546264,0.660175323346302
1000,64,2,3,1.0597170714317505,1.0574497539884282
1000,64,2,3,1.2411670617523833,1.2534281402464857
1000,64,2,3,0.7126528281854375,0.7104843225300187
1000,64,2,3,0.6656101639831358,0.6645649226144245
1000,64,2,3,0.5020111488939244,0.4996892624538355
1000,64,2,3,0.9757675323134497,0.976611707484011
1000,64,2,3,0.9011969446170561,0.8997834550770432
1000,64,2,3,0.7489457320590418,0.7497607965154012
1000,64,2,3,2.5641986222205166,2.585564830332425
1000,64,2,3,0.7610108792729045,0.7602047921323563
1000,64,2,3,0.9288209577886876,0.9255898013388191
1000,64,2,3,0.7735825767504015,0.7727516816471179
1000,64,2,3,0.8728342748331983,0.8705306334059689
1000,64,2,3,0.7954323724549697,0.799909178277481
1000,64,2,3,0.8481895771904296,0.8510768029089546
1000,64,2,3,2.0060444483201056,2.007864737401928
1000,64,2,3,0.5893964656446751,0.5894841034919511
1000,64,2,3,1.3542484012689124,1.3536043407543192
1000,64,2,3,0.8760136386904791,0.8745937587698526
1000,64,2,3,0.6374360673234055,0.6367841689089114
1000,64,2,3,1.3116680733366772,1.311491109971777
1000,64,2,3,0.7873029171675724,0.7885691003837573
1000,64,2,3,0.880812657123629,0.8807084567143725
1000,64,2,3,0.6632648479540161,0.6656966998603889
1000,64,2,3,0.7800449133625877,0.780196041785511
1000,64,2,3,2.2823504002453867,2.2902146576341953
1000,64,2,3,1.5741195911660673,1.5759509397150706
1000,64,2,3,1.2894626184877243,1.2899747596590336
1000,64,2,3,0.7522686514241497,0.7595798408300934
1000,64,2,3,0.7603749779023388,0.7629013706808845
1000,64,2,3,16.60416230852061,16.602568300246023
1000,64,2,3,0.9529133435739173,0.942047705208527
1000,64,2,3,1.761696268478502,1.7616318666875797
1000,64,2,3,1.0519166152163228,1.0514680493486601
1000,64,2,3,0.6410787633237838,0.6413627892149323
1000,64,2,3,0.8046489772771733,0.8029615922597299
1000,64,2,3,0.7563140999743794,0.7492996880447662
1000,64,6,7,0.39032134733742857,0.3697393846960751
1000,64,6,7,0.24907988897649605,0.23515179737924838
1000,64,6,7,0.11185626654260047,0.12904703457756347
1000,64,6,7,0.315439061280036,0.3114592615133157
1000,64,6,7,0.24625098974610185,0.2681853908686676
1000,64,6,7,0.22639458755334302,0.20158159240340484
1000,64,6,7,0.03913384234548338,0.05069955023176713
1000,64,6,7,0.42694215353259296,0.509881935854042
1000,64,6,7,0.10636015163142129,0.12432264303447521
1000,64,6,7,0.26857062994482905,0.20471727093045133
1000,64,6,7,0.662951559874795,0.693676006172634
1000,64,6,7,0.24289930063351214,0.23662401905292782
1000,64,6,7,1.8553726929891388,1.6581661659612144
1000,64,6,7,0.30615153416365887,0.34457239398753675
1000,64,6,7,0.26851139886107356,0.3297129138631925
1000,64,6,7,0.5804686187741862,0.6994032324585704
1000,64,6,7,0.5402060970124084,0.5365506128548714
1000,64,6,7,0.30850837329595543,0.2778064598617344
1000,64,6,7,0.12974175192486914,0.12819725598357998
1000,64,6,7,0.28941646570398355,0.30359368450715396
1000,64,6,7,0.14695614553633726,0.13748870221307724
1000,64,6,7,0.17249199661913395,0.16228024484991763
1000,64,6,7,0.428501123400158,0.4468206995862556
1000,64,6,7,0.2063753651444723,0.19390066936457578
1000,64,6,7,0.07635300626404457,0.0851309766416461
1000,64,6,7,0.37204997667119905,0.5163489533539785
1000,64,6,7,0.2747689599624485,0.28160461978661916
1000,64,6,7,0.6547105330024722,0.7627386052347294
1000,64,6,7,0.3049249811829832,0.31271839390899864
1000,64,6,7,0.13642697805366907,0.1435032667215051
1000,64,6,7,0.14469588273128628,0.23449271221019602
1000,64,6,7,0.6508135594138325,0.653234609098784
1000,64,6,7,0.12833233357044008,0.12089949518274884
1000,64,6,7,1.0094431929138983,0.8439004204755053
1000,64,6,7,0.6213764068488943,0.6380934778029523
1000,64,6,7,0.45620707215604983,0.45846210219582323
1000,64,6,7,0.6200908069514526,0.4580751448891464
1000,64,6,7,0.46101645779077277,0.39175437557238774
1000,64,6,7,0.4512122517458698,0.4471172141680544
1000,64,6,7,0.1258441797633446,0.12694421688027566
1000,64,6,7,0.3636388197644656,0.34410644384070077
1000,64,6,7,0.20820996942730946,0.22600008703879018
1000,64,6,7,0.17847777223254416,0.21065086235891772
1000,64,6,7,0.20258430191416868,0.20688569003288546
1000,64,6,7,0.1250458374850554,0.13446785980414427
1000,64,6,7,2.4110396269711147,3.5509168740102846
1000,64,6,7,0.29034137005011895,0.25379285452473843
1000,64,6,7,0.48038673055069225,0.5970114966896455
1000,64,6,7,0.764461793517296,0.6246347611857204
1000,64,6,7,2.4808097277411685,2.3946445764624094
1000,64,10,11,0.48569868359515744,0.2618374870826326
1000,64,10,11,0.3306251364398255,0.4955963855741564
1000,64,10,11,0.04362942168250213,0.07089693152797269
1000,64,10,11,0.15269411872531893,0.1169305418884797
1000,64,10,11,0.1648089454882341,0.3363357485642689
1000,64,10,11,0.27648875052214966,0.1473094478288338
1000,64,10,11,0.8567357982942272,0.41886829825841926
1000,64,10,11,0.06671213725254552,0.04114542449202782
1000,64,10,11,0.26223119937899314,0.1705441814154889
1000,64,10,11,0.116979255691885,0.17855834998180478
1000,64,10,11,0.22293591747085645,0.28787389577317196
1000,64,10,11,0.16301740092450848,0.11797467284685431
1000,64,10,11,0.06393212978584245,0.07935892241822137
1000,64,10,11,0.043367919354326316,0.07312387519899212
1000,64,10,11,0.10402644028253395,0.1321429559837094
1000,64,10,11,0.23437303353352618,0.36879713993289687
1000,64,10,11,1.2124085223276433,0.8478729439985068
1000,64,10,11,0.4475308920582132,0.3895900720242713
1000,64,10,11,0.06661769332664173,0.08853989689791571
1000,64,10,11,0.43518069730680015,0.5663562502192104
1000,64,10,11,0.038915113888885036,0.03658979398280051
1000,64,10,11,0.07454407799147328,0.05536344491617165
1000,64,10,11,0.02488997420713717,0.0854171272103589
1000,64,10,11,2.076323382398866,1.355160883062887
1000,64,10,11,0.17168334456900355,0.16652672648349207
1000,64,10,11,0.08295869511615622,0.13564848334559426
1000,64,10,11,0.2620895478995511,0.3586705367722264
1000,64,10,11,0.44136810552205724,0.44373800181402095
1000,64,10,11,0.02734916694989328,0.03120165900425548
1000,64,10,11,0.04097404866301369,0.15543962234509998
1000,64,10,11,0.022149661919985002,0.04709474006137889
1000,64,10,11,0.015125086242865692,0.025312414334453723
1000,64,10,11,0.06117814376901198,0.07280607866521636
