N,M,K1,K2,train_size,graph_accuracy,hyper_graph_accuracy,loss_measurement
500,200,2,6,0.0,1.9304415246680606,1.9304415246680606,rms
500,200,2,6,0.1,1.8505837169683022,1.8586980319309905,rms
500,200,2,6,0.2,1.7939610120376777,1.803855380164473,rms
500,200,2,6,0.30000000000000004,1.7454122189863162,1.7612450427813477,rms
500,200,2,6,0.4,1.7102266731648004,1.7306627388844016,rms
500,200,2,6,0.5,1.6826458989678652,1.695317253531243,rms
500,200,2,6,0.6000000000000001,1.5577930424145654,1.583552869735486,rms
500,200,2,6,0.7000000000000001,1.597567021749212,1.6168345919290927,rms
500,200,2,6,0.8,1.5337569651989054,1.5555424554759287,rms
500,200,2,6,0.9,1.5171039712342815,1.532580193417079,rms
500,200,2,6,1.0,1.463807446758354,1.4845626097169196,rms
500,300,2,6,0.0,1.741130108763926,1.741130108763926,rms
500,300,2,6,0.1,1.6831538705711564,1.6841398277589466,rms
500,300,2,6,0.2,1.589997225032474,1.5979515245385651,rms
500,300,2,6,0.30000000000000004,1.5231536865834834,1.5339511373998826,rms
500,300,2,6,0.4,1.503332400813485,1.5075529317265686,rms
500,300,2,6,0.5,1.4162528986566227,1.4326738513076327,rms
500,300,2,6,0.6000000000000001,1.3774512242801031,1.392113612277939,rms
500,300,2,6,0.7000000000000001,1.3414420275930046,1.3490754011407948,rms
500,300,2,6,0.8,1.2792766418863615,1.2932213399068708,rms
500,300,2,6,0.9,1.205290585332745,1.2348034112093242,rms
500,300,2,6,1.0,1.1974613486803547,1.2193221132314467,rms
500,400,2,6,0.0,1.8164367296106518,1.8164367296106518,rms
500,400,2,6,0.1,1.7192063723353632,1.7213571777242915,rms
500,400,2,6,0.2,1.624677919575902,1.6322495714661662,rms
500,400,2,6,0.30000000000000004,1.533461710619277,1.5405266632163837,rms
500,400,2,6,0.4,1.4394075938548225,1.4539394692183387,rms
500,400,2,6,0.5,1.3907923848304473,1.4080754931054402,rms
500,400,2,6,0.6000000000000001,1.3222626052033661,1.334981987135168,rms
500,400,2,6,0.7000000000000001,1.2528624309217862,1.2741230864145914,rms
500,400,2,6,0.8,1.150159042383957,1.1810098008724863,rms
500,400,2,6,0.9,1.1029816560063024,1.1320336728507714,rms
500,400,2,6,1.0,1.0609236349808375,1.0937299165010659,rms
500,500,2,6,0.0,1.8094780363161196,1.8094780363161196,rms
500,500,2,6,0.1,1.6472791661444033,1.6599897641429113,rms
500,500,2,6,0.2,1.5735785408718155,1.5845660569550688,rms
500,500,2,6,0.30000000000000004,1.4499461299735206,1.4725717248866614,rms
500,500,2,6,0.4,1.4053609670809173,1.4123655856970452,rms
500,500,2,6,0.5,1.2910110379164403,1.302243666530839,rms
500,500,2,6,0.6000000000000001,1.2240694232505112,1.2365012627736223,rms
500,500,2,6,0.7000000000000001,1.16794665565559,1.1738826410872558,rms
500,500,2,6,0.8,1.1143782417513908,1.1238445932777084,rms
500,500,2,6,0.9,1.0551350658345044,1.0633674935675317,rms
500,500,2,6,1.0,1.0188277581775314,1.021870529248405,rms
500,600,2,6,0.0,1.7579936991470835,1.7579936991470835,rms
500,600,2,6,0.1,1.6192864138103131,1.623299748533895,rms
500,600,2,6,0.2,1.4540766012150224,1.4670909716518308,rms
500,600,2,6,0.30000000000000004,1.3332952152559407,1.3585909800691311,rms
500,600,2,6,0.4,1.2500614815781776,1.2557159974099477,rms
500,600,2,6,0.5,1.2063496092641488,1.205211421124141,rms
500,600,2,6,0.6000000000000001,1.0819525441378883,1.0876969824506801,rms
500,600,2,6,0.7000000000000001,1.0642182317922717,1.0662992645097698,rms
500,600,2,6,0.8,1.0286596456967607,1.0285887132718576,rms
500,600,2,6,0.9,0.9723333245560313,0.9661982120363721,rms
500,600,2,6,1.0,0.9106877877833216,0.9106625635177049,rms
500,700,2,6,0.0,1.7726351550816493,1.7726351550816493,rms
500,700,2,6,0.1,1.632820565237006,1.6352478274359252,rms
500,700,2,6,0.2,1.414327376292392,1.431813884586834,rms
500,700,2,6,0.30000000000000004,1.3423612657883623,1.3611605170592318,rms
500,700,2,6,0.4,1.1816511640524718,1.1915717414124796,rms
500,700,2,6,0.5,1.0952531255212234,1.105957465536248,rms
500,700,2,6,0.6000000000000001,1.0332818580727838,1.0540120568538596,rms
500,700,2,6,0.7000000000000001,0.9447424078800472,0.9691051168898468,rms
500,700,2,6,0.8,0.8974304949808727,0.9182226055767356,rms
500,700,2,6,0.9,0.8559639491241892,0.8758765944197358,rms
500,700,2,6,1.0,0.794919711044639,0.8080486747555786,rms
500,800,2,6,0.0,1.987045261625134,1.987045261625134,rms
500,800,2,6,0.1,1.7411984057923793,1.7628749306361577,rms
500,800,2,6,0.2,1.527106615109653,1.5665633326829662,rms
500,800,2,6,0.30000000000000004,1.3907863011339117,1.4328594103069798,rms
500,800,2,6,0.4,1.2447158097643172,1.2968989862305758,rms
