BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,train,rep
-1.2051539458431608,-1.0722007511293294,-1.2525171338949088,-1.060564422878657,-1.345431448071623,-1.1929112430599451,-1.9746897140265969,-1.9129972324206648,-1.471358761995203,0.47863009232263826,5
-1.389981480276803,-1.2865467063275244,-1.4163048581739797,-1.2673221814010351,-1.4808786542298584,-1.3599615082607082,-2.348799305544472,-2.00532791028685,-1.830420606579788,0.09120108393559097,23
-1.654181620878273,-1.5538401471758034,-1.615849505981234,-1.540199682764443,-1.6121465842300866,-1.543007327633665,-3.950991256841079,-3.765023811655552,-11.555560448814516,0.014454397707459272,25
-1.1770575799989638,-1.033002716127514,-1.22575235907356,-1.0255851148028825,-1.3040484212939476,-1.2001608058950564,-1.9779080664176456,-1.9598431328535768,-1.4651363120145795,0.5754399373371569,100
-1.1913963109267836,-1.0507936826079762,-1.2396509940505087,-1.038663780265983,-1.341164718947794,-1.2140391472068923,-1.99840676978685,-1.920174032815073,-1.466244486533486,0.3981071705534973,9
-1.3337925574697211,-1.2572478212086655,-1.3604412668442134,-1.2342978300270238,-1.4521529692613402,-1.359605684326176,-2.151664940098774,-1.830910842376502,-1.5134271060436753,0.1096478196143185,32
-1.1882925587889652,-1.041073110542604,-1.2348050753157724,-1.0307127992589136,-1.315678029736888,-1.228230537815467,-1.9797703595601504,-1.9579191440651964,-1.4673638014023307,0.5754399373371569,78
-1.519058762742618,-1.393171795135443,-1.4914808959639876,-1.376436488551463,-1.5174681592701045,-1.4461188271145522,-3.737864872240625,-3.384330317062469,-3.5920470600452736,0.04365158322401661,99
-1.2025400619696784,-1.080812705329108,-1.2449274213528512,-1.065209290127238,-1.3215752359280717,-1.2219374853810232,-1.95696719833166,-1.9225503088838984,-1.4735080894348649,0.5754399373371569,62
-1.203633587084838,-1.0720579528698164,-1.2505369800919768,-1.0585641813130326,-1.350972687439935,-1.2576524709252963,-1.989457426358745,-1.9096685054465563,-1.4702504237080396,0.3981071705534973,78
