BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,rep
-3.2171584431791884,-3.548713354941021,-3.2055973540550218,-3.4694465549958307,-3.935122606365709,-3.8248937824619618,-7.1387625485302335,-5.569842589226091,-4.113666580466437,553
-3.1450043378149752,-3.433498889947235,-3.136304225606669,-3.367935931504112,-3.992596304200699,-3.8345010829558888,-7.202686530279312,-5.532673404874611,-4.084432560566117,762
-3.267534926675697,-3.523670366438296,-3.2661979218025463,-3.459892956305796,-4.042121327578205,-3.8739877406315872,-7.109982107278938,-5.559373117795288,-4.116768399723127,106
-3.283668886834992,-3.6070127674265873,-3.271906704538036,-3.4976813451338917,-3.976273062915269,-3.855878849670331,-6.995088655861145,-5.47904510826165,-4.124902977597248,544
-3.1701653617208967,-3.4860390581490868,-3.1635689840924965,-3.403599250839775,-3.958091888333754,-3.716661537205972,-7.156392778279521,-5.519886784518911,-4.097769621784,234
-3.235630713743041,-3.521502136025596,-3.230184977607645,-3.451747660319078,-3.9554041204192414,-3.777817882323988,-7.063852198668474,-5.608726148786452,-4.122863849842738,465
-3.079208704393225,-3.382253621136033,-3.0736520193022847,-3.321320109911711,-3.923155305792984,-3.727713872660812,-7.346201490321944,-5.596626670086084,-4.068412094510827,746
-3.1535903895272077,-3.443003726705677,-3.146217566435869,-3.3693962458164544,-3.962426383722428,-3.761793797380888,-7.360463488004874,-5.550479412921423,-4.08232975653632,806
-3.2921145283209974,-3.596921658049076,-3.2878774585441577,-3.5254352034707117,-4.025686516957365,-3.833783267221272,-7.021492743362953,-5.467529116721958,-4.116652802259067,193
-3.213711681242812,-3.515328772577518,-3.2090218260183017,-3.4399703587773685,-3.946381799983448,-3.773511949089452,-7.081829031216118,-5.53724430465996,-4.101985304598399,124
-3.345208859414273,-3.708183906070616,-3.331372709107512,-3.5884990253429887,-4.019671968962511,-3.983265951733652,-6.952589464473308,-5.505189503784708,-4.145649442913938,264
-3.263207858450281,-3.545852884886957,-3.259782289262856,-3.4816009185760217,-3.985465728431936,-3.7770148394497354,-7.027265551103887,-5.54595847054542,-4.1158450924792005,316
-3.1377490741744536,-3.413856987195562,-3.13128857299102,-3.341785627108974,-3.991599491576949,-3.698643890539189,-7.261852971647039,-5.541704556881306,-4.083374932765573,239
-3.1613053756826828,-3.421644156135444,-3.1557519576484907,-3.3695240478876816,-4.054565990107707,-3.777041126914462,-7.249911003913645,-5.61502089027925,-4.092465230579748,241
-3.305836738774376,-3.5928369758909104,-3.3005798183070296,-3.512545898875865,-4.014379140759179,-3.859704488602061,-7.045506310410556,-5.532044443691128,-4.129395422683052,789
-3.2079358896366448,-3.50255545845168,-3.1998874329974205,-3.429776326908128,-3.9684824444482856,-3.821565933800309,-7.145701107385317,-5.546300401513682,-4.109621246284859,250
-3.1664925303912708,-3.453170375940956,-3.1642625465874152,-3.37972572334147,-3.933739918602791,-3.77526363018058,-7.235837031472982,-5.5618491317107965,-4.095451173231857,343
-3.2351207276390253,-3.510135348159009,-3.227592635195755,-3.436513147385552,-3.920488916849216,-3.781514778471344,-7.165529753804488,-5.566044476666395,-4.111383878748202,986
-3.2500466902093885,-3.5252618295682567,-3.2413025868021696,-3.46961911025662,-3.969845540649879,-3.8667717362837606,-7.0347275695806,-5.473396683189375,-4.118921354922905,159
-3.2688259752779496,-3.5119625466976623,-3.259930937013955,-3.4621710769622798,-3.952144070052387,-3.812515053698671,-7.0684509027178,-5.50225856272001,-4.115603015283574,482
-3.1758512964109995,-3.4491081485530297,-3.17007997447626,-3.39005728518848,-3.9649134515422513,-3.762475852078506,-7.302019403939844,-5.527833358075968,-4.091118199388081,841
-3.290061282801336,-3.614940799486992,-3.2777933200974045,-3.5184111373865736,-4.011541811684225,-3.8203261811102345,-6.966108199337287,-5.5502292702165335,-4.13957149708959,775
-3.133077614320963,-3.4404681790918503,-3.1258222391749584,-3.384119157972744,-3.920120889825777,-3.801448550738287,-7.128002543385274,-5.515829111414185,-4.074538795105111,867
-3.184286084629674,-3.503438877580733,-3.1742726832993795,-3.419818377574718,-3.9887285996327377,-3.830343894722911,-7.12846053985371,-5.584742125170137,-4.1131022551269885,671
