BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,rep
-1.174024153354596,-1.0412503481144486,-1.2211700912488783,-1.029816067677026,-1.28324032301572,-1.1952819334077716,-1.9810217682666933,-1.9974804273257216,-1.4674066334764435,553
-1.2169723376505908,-1.0875731279197136,-1.2612468806176302,-1.080821456155113,-1.3160101198248155,-1.2068265507286482,-1.9386946104128449,-1.9502211400001603,-1.476128545568144,762
-1.2144331574596017,-1.0843837562873622,-1.259903705515053,-1.073862338247847,-1.291036260409291,-1.2151522333484694,-1.931996548696212,-1.936583437407397,-1.4754811443595215,106
-1.1915100400183978,-1.0463970569581682,-1.240905368835581,-1.0374449241232504,-1.3088304422822143,-1.220234788073416,-1.967322160084812,-1.9777942035831064,-1.4692410181433668,544
-1.199996010724452,-1.0658608601941115,-1.2452611215900975,-1.0540052934303878,-1.2928348443787443,-1.185778523109004,-1.9492724535325523,-1.9602503108132976,-1.471015254188621,234
-1.1763907948009886,-1.0211725674965095,-1.2262744741174665,-1.0129126439539784,-1.2544786275939823,-1.1623444743117544,-1.9692373928657607,-1.9801647387982613,-1.4644077166960228,465
-1.1904456996355772,-1.0281259045181834,-1.2352754292821853,-1.019929906759017,-1.3181575405254022,-1.1592588607259633,-1.979465113337609,-1.9693758364257323,-1.4706859449054794,746
-1.199698116195738,-1.0407148967072202,-1.2441555173944254,-1.0346770159148422,-1.3409113060078297,-1.2034144754969696,-1.948049856801765,-1.9700604905969892,-1.4737523567141269,806
-1.23294721578242,-1.118361011211712,-1.27791657236767,-1.104084031908648,-1.301952566793403,-1.2153076054791578,-1.917365834961156,-1.915742894417615,-1.482618275632898,193
-1.190921830140215,-1.0422161909323988,-1.239713083713566,-1.0347317146540091,-1.2854331106116594,-1.1906497653113823,-1.968334669589695,-1.9564549858920093,-1.469364260536046,124
-1.187218283741255,-1.06093627500322,-1.2316181074752592,-1.0476558377949186,-1.2963269562687076,-1.184328964925915,-1.9739506790340229,-1.984301271398532,-1.4696229631895512,264
-1.199346271206253,-1.0476995997619152,-1.2461164088869765,-1.040122043397314,-1.3132916532421413,-1.1809234236654054,-1.937894012375359,-1.9507964711672072,-1.474788963075789,316
-1.1785770102569078,-1.0146542628636073,-1.2278400789509318,-1.0119920463914802,-1.2630239290223038,-1.144621734818288,-1.9657929601153816,-1.979821211899322,-1.464215169948384,239
-1.1830267268641288,-1.040384534589737,-1.2278059366502292,-1.0278459029914222,-1.2883459726915094,-1.190830159098524,-1.958916605986648,-1.966280797545326,-1.4665949593165255,241
-1.206443326364406,-1.0596566902138094,-1.2516850708745466,-1.0507602833062264,-1.319625407423149,-1.2151573354390084,-1.9430519047821404,-1.96864040190906,-1.4746757740603345,789
-1.1788160414818003,-1.0126092253229526,-1.225567901203143,-1.0116006652876608,-1.2899693077368537,-1.1878649046963516,-1.969165452784532,-1.9678042392593864,-1.4620823501698386,250
-1.143798683382089,-0.9954390035240224,-1.1865571102338228,-0.9876595642460378,-1.272882810996337,-1.1587721359318066,-2.009456547956395,-1.9949141183914771,-1.458607377508949,343
-1.16245403317093,-1.0229250648366002,-1.2068428776347906,-1.009320853454051,-1.2838011730298522,-1.17024133796988,-1.9966806142899176,-1.9819685202727568,-1.4628963385706055,986
-1.184215952723729,-1.038389798254439,-1.2295936324453576,-1.0294387208975095,-1.2921279508695367,-1.20372095480915,-1.961565994136504,-1.974993219826512,-1.469049166499245,159
-1.2275663949632756,-1.0988604872787036,-1.2723920172548455,-1.0880014926810528,-1.339244344698618,-1.2312774847725103,-1.9442667496272208,-1.9457049581312664,-1.4815385936357464,482
-1.1926194345521444,-1.0607938608577352,-1.2360437603136651,-1.0505789025710948,-1.2905940226662531,-1.190975025578818,-1.9637247040180108,-1.9560700202030803,-1.4695792218185886,841
-1.1978467127838346,-1.0572729870679345,-1.2415613969567687,-1.0466172495055113,-1.3159621174738254,-1.2079877573871192,-1.9598898258755384,-1.9692488494057567,-1.4717576185466117,775
-1.214588420144955,-1.060446733247431,-1.2624561151127174,-1.050443926392192,-1.3082618251079543,-1.1912981394368778,-1.9387923175297384,-1.9393087429178248,-1.4762073323488225,867
-1.1555301992270683,-1.0093568746188375,-1.1995670060735322,-0.9959296381218732,-1.2741046427937903,-1.178200608619397,-1.993354197012833,-1.9921247259680044,-1.4591849145378988,671
-1.178668805843717,-1.0235059323843951,-1.2241396194809997,-1.0182898607426574,-1.3121652846625635,-1.1902215314616618,-1.9834894598457853,-1.9744489667765,-1.4663457722480924,667
-1.211268222578438,-1.0547364050222376,-1.259357626696631,-1.0469967781299956,-1.2928851117666245,-1.1865218004361229,-1.9301771081707304,-1.9226173978763392,-1.4751958337555982,111
-1.1550251131250513,-1.0364077147367652,-1.1982242783909935,-1.0248229263373383,-1.2873154907108266,-1.1805929372640842,-2.011243324525817,-2.002732501950627,-1.4633794013856751,342
