BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,dataset,rep
-27.022753570825262,-28.657819660174116,-27.04644062137345,-28.53431478642902,-39.13328717845665,-40.73553076077151,-28.646913042667023,-27.89927138245728,-27.27017751908716,35,16
-1.429562002385854,-1.4331606815954527,-1.4293767418146195,-1.4332019045207212,-2.5824177300468745,-3.0242211426471246,-1.508621264755727,-1.4965174590701598,-1.4701648834311545,18,35
-44.9761165038065,-65.67434294478963,-44.50009792083982,-54.2967940625221,-46.3446416596066,-52.09674628884749,-52.6385486532402,-51.488016096609385,-46.50662816405808,52,34
-3.048307012561156,-3.0802388028928456,-3.044781013512444,-3.0762259435384305,-6.449604622794961,-6.472701631978741,-3.15418781572315,-3.1665894961259,-3.074681280527775,24,42
-3.166232535719309,-3.2733125809372523,-3.1626058163724315,-3.26718115763204,-3.280880555284106,-3.46879191521074,-3.27507813255287,-3.206531727103584,-3.202262508920984,8,9
-21.641221782853695,-37.54274665970754,-20.83846165000929,-33.50017185791527,-23.218974880305616,-29.454465862117573,-31.77036873553134,-26.33992578251295,-23.17216067826835,42,7
-263.6214661972723,-378.6784336949666,-257.2978349235788,-330.7249167766017,-263.8591915916064,-305.69029378754175,-298.55674117675113,-278.9420500618589,-264.24448239947344,45,4
-4.613530556807154,-4.963452955164661,-4.623172159532918,-4.922396615719644,-5.27562080559484,-5.236668533621675,-6.8922464595963575,-5.970528482412975,-4.970952923171097,2,7
-33.719010758813894,-37.189023943736686,-33.48158051708569,-36.95777086451544,-33.72067511929191,-34.8496125018259,-35.48658343885457,-34.92931141253572,-33.78720820743279,53,38
-14.437801863281948,-15.588283495386014,-14.390589901611955,-15.252041071182548,-14.50960941650764,-16.412137495940595,-15.752385370652403,-15.283752223828465,-14.597617711823435,14,40
-21.580533196861957,-36.58495214026183,-20.747256802437505,-32.84907577230881,-23.25344847571254,-29.69500133255129,-31.877449438722152,-26.4278745099553,-23.215297338262456,42,15
-46.77421454754629,-69.03549647978782,-46.31573893196603,-56.87946195342631,-48.38920948136536,-54.251988532963054,-53.27738922541265,-52.06542736262423,-48.200021457048166,52,39
-269.229723012912,-386.54369726057627,-262.6631160236885,-337.6609332882133,-269.1364942095939,-309.51646600242896,-304.20922525109216,-284.72580727915965,-269.586693452407,45,23
-6.152150340903526,-6.175504503010526,-6.149956609212043,-6.166764441783519,-6.272554679413733,-6.656644597093429,-6.21306526424115,-6.244056239075854,-6.161614115214659,7,36
-19.787330907102305,-42.59990199635175,-20.53186193953855,-42.15432287775482,-38.57222205431709,-48.08308708708573,-67.91750687255039,-44.80231017039016,-35.20061250089092,6,10
-21.57949864704122,-36.86895500737696,-20.79165960033651,-33.162206487175624,-23.37016832438909,-29.12227402270304,-32.019196994050965,-26.595880104529098,-23.20369721475393,42,45
-1.927668330176736,-1.985262465701308,-1.9254572075657388,-1.9835746873434863,-1.9979324230956683,-2.0281353268385707,-2.857239205198158,-2.6987793509889,-2.0881273654386385,4,42
-3.184120557049191,-3.293147875940992,-3.179526637438281,-3.2858541571103164,-3.300329741177991,-3.5200349227401744,-3.2901024223445594,-3.2240522562120644,-3.217202002170674,8,33
-9.2709969986954,-9.93428548820726,-9.222536735654591,-9.480417418895575,-25.03460499522936,-60.3705541428336,-11.73910999568196,-10.597665871608852,-9.967815301945956,9,33
-27.261913539477792,-29.84434244278324,-27.26273440722192,-29.58771539377221,-39.76576104686766,-48.29219586480181,-28.628504105963763,-27.89927138245728,-27.34013443291944,35,29
-3.7014898858740937,-3.710640208829517,-3.700922798913989,-3.7106846134650464,-15.1859971715324,-16.355111719815874,-3.70965062860002,-3.706590006671892,-3.703659903875451,28,30
-3.144770263801848,-3.249114930249388,-3.141970059669825,-3.2436823005841458,-3.25926199484673,-3.374079097353935,-3.2547050635657024,-3.1882220177365403,-3.18101780941506,8,29
-1.4285048266309546,-1.431779268106916,-1.4284184535837587,-1.4318204091330566,-2.486078789010856,-3.0575101980431745,-1.5105934887486074,-1.4939532755359066,-1.4774232565279637,18,10
-270.43230628835926,-390.6746631864096,-263.5848161631498,-340.7618811481576,-270.4402965718592,-310.7451736379269,-304.6528927674189,-284.91566770010974,-270.7297218574245,45,16
-2.955703435728505,-2.9790502018819467,-2.954197235830686,-2.979018381675717,-6.439029643499122,-6.582102673133453,-3.5153942646930485,-3.4075535037561715,-3.065488675085329,25,35
-5.024295063580105,-5.153332175663463,-5.015505785984758,-5.124924121391344,-5.595392629377927,-5.675451771352645,-5.175801095251292,-5.056701704946398,-5.061736486190222,1,36
-1.931991909535184,-1.9902355051572624,-1.9301218748267168,-1.9889047427138449,-2.0035207318102097,-2.0459828975803847,-2.87153455527059,-2.71261364019575,-2.09279445672478,4,8
-14.484350302385788,-15.65568212905439,-14.42603015634548,-15.3151147129302,-14.536219990995727,-15.523075166346556,-15.831617755418906,-15.37940241157326,-14.609593787570873,14,48
-1.4298213474048065,-1.4332648234136882,-1.4296568933779126,-1.4332420320959989,-3.2073882028564378,-3.002199697783656,-1.5052022961091007,-1.4902332203530009,-1.475490503893257,18,30
-3.153350416284733,-3.260796561974702,-3.1506360309561163,-3.256759072366031,-3.2609151105255747,-3.4763151344450405,-3.2614832376088234,-3.192320725737972,-3.19060296960258,8,39
-14.475878320725004,-15.75633851045655,-14.412208222398036,-15.335978765365397,-14.545228983064863,-16.442237219067582,-15.890971134084715,-15.416868440662933,-14.600692423582329,14,34
-27.138584912508005,-29.286304361592038,-27.129374617492005,-29.11666585100018,-38.03794378032124,-58.1569976182484,-28.62851908951564,-27.89927138245728,-27.304383483964525,35,12
-5.661430216147429,-6.380602383566036,-5.619575382636696,-5.851330909373628,-5.5172419068796135,-6.701774550217263,-5.503840184865311,-5.442589100964615,-5.918881912872234,38,15
-3.684617533793671,-3.694647255591877,-3.683939923180526,-3.694800541254568,-15.128754266209349,-16.32935001316208,-3.6933294281727056,-3.690149570416626,-3.6871163088904,28,25
