,K,Rep,Iterations_to_converge
0,2,0,40
1,2,1,38
2,2,2,39
3,2,3,39
4,2,4,41
5,2,5,44
6,2,6,41
7,2,7,37
8,2,8,42
9,2,9,39
10,2,10,42
11,2,11,39
12,2,12,44
13,2,13,39
14,2,14,40
15,2,15,44
16,2,16,40
17,2,17,40
18,2,18,41
19,2,19,38
20,2,20,40
21,2,21,40
22,2,22,43
23,2,23,38
24,2,24,38
25,2,25,43
26,2,26,39
27,2,27,40
28,2,28,40
29,2,29,41
30,2,30,37
31,2,31,40
32,2,32,41
33,2,33,48
34,2,34,39
35,2,35,39
36,2,36,42
37,2,37,45
38,2,38,39
39,2,39,40
40,2,40,42
41,2,41,44
42,2,42,39
43,2,43,40
44,2,44,40
45,2,45,42
46,2,46,41
47,2,47,41
48,2,48,39
49,2,49,38
50,2,50,43
51,2,51,43
52,2,52,38
53,2,53,40
54,2,54,42
55,2,55,40
56,2,56,42
57,2,57,40
58,2,58,39
59,2,59,41
60,2,60,40
61,2,61,38
62,2,62,39
63,2,63,42
64,2,64,41
65,2,65,42
66,2,66,43
67,2,67,42
68,2,68,39
69,2,69,39
70,2,70,37
71,2,71,43
72,2,72,40
73,2,73,42
74,2,74,40
75,2,75,39
76,2,76,41
77,2,77,40
78,2,78,39
79,2,79,40
80,2,80,39
81,2,81,42
82,2,82,40
83,2,83,39
84,2,84,42
85,2,85,40
86,2,86,42
87,2,87,39
88,2,88,41
89,2,89,39
90,2,90,41
91,2,91,42
92,2,92,40
93,2,93,39
94,2,94,40
95,2,95,40
96,2,96,37
97,2,97,38
98,2,98,41
99,2,99,45
100,5,0,33
101,5,1,30
102,5,2,31
103,5,3,34
104,5,4,31
105,5,5,31
106,5,6,30
107,5,7,32
108,5,8,29
109,5,9,30
110,5,10,31
111,5,11,34
112,5,12,32
113,5,13,30
114,5,14,31
115,5,15,30
116,5,16,30
117,5,17,31
118,5,18,31
119,5,19,32
120,5,20,34
121,5,21,32
122,5,22,31
123,5,23,29
124,5,24,28
125,5,25,33
126,5,26,31
127,5,27,29
128,5,28,31
129,5,29,31
130,5,30,36
131,5,31,32
132,5,32,33
133,5,33,29
134,5,34,33
135,5,35,33
136,5,36,30
137,5,37,31
138,5,38,32
139,5,39,29
140,5,40,35
141,5,41,30
142,5,42,31
143,5,43,33
144,5,44,31
145,5,45,31
146,5,46,30
147,5,47,30
148,5,48,33
149,5,49,34
150,5,50,32
151,5,51,33
152,5,52,31
153,5,53,34
154,5,54,31
155,5,55,30
156,5,56,39
157,5,57,31
158,5,58,31
159,5,59,29
160,5,60,32
161,5,61,30
162,5,62,30
163,5,63,30
164,5,64,30
165,5,65,32
166,5,66,31
167,5,67,30
168,5,68,40
169,5,69,35
170,5,70,32
171,5,71,34
172,5,72,29
173,5,73,32
174,5,74,30
175,5,75,33
176,5,76,32
177,5,77,32
178,5,78,29
179,5,79,33
180,5,80,32
181,5,81,31
182,5,82,32
183,5,83,32
184,5,84,32
185,5,85,32
186,5,86,32
187,5,87,29
188,5,88,35
189,5,89,31
190,5,90,28
191,5,91,35
192,5,92,30
193,5,93,32
194,5,94,33
195,5,95,29
196,5,96,31
197,5,97,33
198,5,98,31
199,5,99,29
200,10,0,35
201,10,1,35
202,10,2,34
203,10,3,36
204,10,4,34
205,10,5,37
206,10,6,35
207,10,7,35
208,10,8,33
209,10,9,37
210,10,10,36
211,10,11,36
212,10,12,37
213,10,13,37
214,10,14,35
215,10,15,34
216,10,16,35
217,10,17,36
218,10,18,33
219,10,19,35
220,10,20,34
221,10,21,34
222,10,22,34
223,10,23,34
224,10,24,36
225,10,25,38
226,10,26,33
227,10,27,33
228,10,28,34
229,10,29,38
230,10,30,33
231,10,31,34
232,10,32,36
233,10,33,37
234,10,34,36
235,10,35,33
236,10,36,37
237,10,37,35
238,10,38,35
239,10,39,34
240,10,40,32
241,10,41,35
242,10,42,36
243,10,43,36
244,10,44,35
245,10,45,32
246,10,46,35
247,10,47,38
248,10,48,33
249,10,49,34
250,10,50,37
251,10,51,36
252,10,52,33
253,10,53,34
254,10,54,36
255,10,55,34
256,10,56,33
257,10,57,35
258,10,58,36
259,10,59,36
260,10,60,36
261,10,61,34
262,10,62,34
263,10,63,34
264,10,64,38
265,10,65,34
266,10,66,34
267,10,67,36
268,10,68,33
269,10,69,33
270,10,70,36
271,10,71,36
272,10,72,38
273,10,73,35
274,10,74,33
275,10,75,35
276,10,76,36
277,10,77,37
278,10,78,32
279,10,79,32
280,10,80,35
281,10,81,32
282,10,82,34
283,10,83,37
284,10,84,36
285,10,85,34
286,10,86,33
287,10,87,33
288,10,88,33
289,10,89,36
290,10,90,34
291,10,91,34
292,10,92,35
293,10,93,33
294,10,94,34
295,10,95,35
296,10,96,34
297,10,97,34
298,10,98,35
299,10,99,33
300,15,0,40
301,15,1,39
302,15,2,40
303,15,3,36
304,15,4,38
305,15,5,37
306,15,6,39
307,15,7,38
308,15,8,38
309,15,9,36
310,15,10,37
311,15,11,38
312,15,12,40
313,15,13,40
314,15,14,41
315,15,15,38
316,15,16,37
317,15,17,40
318,15,18,37
319,15,19,38
320,15,20,38
321,15,21,39
322,15,22,38
323,15,23,38
324,15,24,39
325,15,25,38
326,15,26,37
327,15,27,37
328,15,28,38
329,15,29,39
330,15,30,40
331,15,31,39
332,15,32,39
333,15,33,41
334,15,34,39
335,15,35,37
336,15,36,37
337,15,37,36
338,15,38,41
339,15,39,39
340,15,40,39
341,15,41,40
342,15,42,37
343,15,43,40
344,15,44,42
345,15,45,37
346,15,46,40
347,15,47,38
348,15,48,36
349,15,49,38
350,15,50,37
351,15,51,38
352,15,52,39
353,15,53,40
354,15,54,37
355,15,55,37
356,15,56,38
357,15,57,34
358,15,58,40
359,15,59,36
360,15,60,36
361,15,61,40
362,15,62,39
363,15,63,39
364,15,64,35
365,15,65,40
366,15,66,37
367,15,67,37
368,15,68,38
369,15,69,36
370,15,70,38
371,15,71,37
372,15,72,38
373,15,73,37
374,15,74,40
375,15,75,38
376,15,76,39
377,15,77,34
378,15,78,39
379,15,79,39
380,15,80,39
381,15,81,38
382,15,82,37
383,15,83,37
384,15,84,41
385,15,85,39
386,15,86,37
387,15,87,40
388,15,88,38
389,15,89,41
390,15,90,41
391,15,91,37
392,15,92,34
393,15,93,36
394,15,94,40
395,15,95,37
396,15,96,39
397,15,97,40
398,15,98,36
399,15,99,33
400,20,0,38
401,20,1,38
402,20,2,39
403,20,3,43
404,20,4,40
405,20,5,38
406,20,6,42
407,20,7,45
408,20,8,38
409,20,9,39
410,20,10,39
411,20,11,38
412,20,12,38
413,20,13,36
414,20,14,39
415,20,15,39
416,20,16,41
417,20,17,40
418,20,18,42
419,20,19,39
420,20,20,38
421,20,21,39
422,20,22,38
423,20,23,43
424,20,24,40
425,20,25,41
426,20,26,40
427,20,27,39
428,20,28,41
429,20,29,37
430,20,30,41
431,20,31,38
432,20,32,37
433,20,33,38
434,20,34,40
435,20,35,41
436,20,36,43
437,20,37,42
438,20,38,39
439,20,39,39
440,20,40,39
441,20,41,43
442,20,42,37
443,20,43,38
444,20,44,38
445,20,45,40
446,20,46,40
447,20,47,40
448,20,48,38
449,20,49,38
450,20,50,43
451,20,51,41
452,20,52,39
453,20,53,40
454,20,54,43
455,20,55,37
456,20,56,40
457,20,57,41
458,20,58,38
459,20,59,42
460,20,60,43
461,20,61,41
462,20,62,43
463,20,63,43
464,20,64,40
465,20,65,43
466,20,66,39
467,20,67,42
468,20,68,41
469,20,69,40
470,20,70,42
471,20,71,39
472,20,72,42
473,20,73,45
474,20,74,42
475,20,75,38
476,20,76,42
477,20,77,38
478,20,78,42
479,20,79,36
480,20,80,39
481,20,81,39
482,20,82,45
483,20,83,42
484,20,84,39
485,20,85,40
486,20,86,43
487,20,87,35
488,20,88,44
